good jobs for those with education
Direct
0.6 0.6
432 388.8
Began 1046.191 346 340 -0.03240739 -0.1234569
Stationary 1046.222 346 340 -0.03240739 -0.1234569
Stationary 1046.253 346 340 -0.03240739 -0.1234569
Stationary 1046.283 346 340 -0.03240739 -0.1234569
Stationary 1046.314 346 340 -0.03240739 -0.1234569
Moved 1046.345 346 351.7946 -0.03240739 -0.09312084
Moved 1046.376 358.8673 363.0841 -0.002621959 -0.06408409
Moved 1046.406 400.8278 411.283 0.09450872 0.05988407
Moved 1046.437 450.6418 468.2457 0.2098191 0.2063931
Moved 1046.468 484.4467 504.4467 0.2880711 0.2995028
Moved 1046.498 502.7502 523.1002 0.3304402 0.3474799
Moved 1046.529 508.7993 529.7994 0.3444429 0.3647102
Moved 1046.56 511.771 533.771 0.3513217 0.3749253
Moved 1046.591 513.2023 535.2023 0.354635 0.3786067
Moved 1046.621 514 537 0.3564815 0.3832304
Moved 1046.652 514 538 0.3564815 0.3858024
Moved 1046.683 514 539 0.3564815 0.3883744
Moved 1046.714 515.374 539 0.3596619 0.3883744
Moved 1046.744 515 540.3236 0.3587963 0.3917787
Stationary 1046.775 515 540 0.3587963 0.3909464
Moved 1046.806 515 541.0577 0.3587963 0.3936669
Stationary 1046.837 515 541 0.3587963 0.3935184
Moved 1046.867 516.5 541 0.3622685 0.3935184
Moved 1046.898 516 542.134 0.3611111 0.396435
Stationary 1046.929 516 542 0.3611111 0.3960905
Stationary 1046.96 516 542 0.3611111 0.3960905
Moved 1046.99 511.3808 542 0.3504186 0.3960905
Moved 1047.021 496 526.5 0.3148148 0.3562242
Moved 1047.052 479.513 509.5131 0.2766505 0.3125335
Moved 1047.083 454.2975 489.238 0.2182812 0.2603857
Moved 1047.113 428.2302 470.0764 0.1579402 0.2111017
Moved 1047.144 403.2338 453.3961 0.1000783 0.1681998
Moved 1047.175 380.247 438.9482 0.04686803 0.1310395
Moved 1047.205 352.9109 421.2739 -0.01641005 0.085581
Moved 1047.236 327.0925 404.0514 -0.07617478 0.0412844
Moved 1047.267 306.8285 389.5524 -0.1230821 0.003992716
Moved 1047.298 293.7907 379.2326 -0.1532622 -0.02254996
Moved 1047.328 283.0494 370.3663 -0.1781264 -0.04535424
Moved 1047.359 277.8061 364.8061 -0.1902637 -0.05965512
Moved 1047.39 275.1988 363 -0.1962992 -0.06430049
Moved 1047.421 274 362 -0.199074 -0.06687243
Moved 1047.451 273 360.5136 -0.2013889 -0.07069552
Stationary 1047.482 273 361 -0.2013889 -0.06944452
Ended 1047.513 273 361 -0.2013889 -0.06944452
Began 1048.25 450 345 0.2083333 -0.1105968
Stationary 1048.281 450 345 0.2083333 -0.1105968
Stationary 1048.312 450 345 0.2083333 -0.1105968
Stationary 1048.343 450 345 0.2083333 -0.1105968
Stationary 1048.373 450 345 0.2083333 -0.1105968
Stationary 1048.404 450 345 0.2083333 -0.1105968
Stationary 1048.435 450 345 0.2083333 -0.1105968
Stationary 1048.466 450 345 0.2083333 -0.1105968
Moved 1048.496 450 364.6626 0.2083333 -0.06002425
Moved 1048.527 458.7478 388.7477 0.2285828 0.001923125
Moved 1048.558 468.3239 417.9716 0.2507497 0.07708734
Moved 1048.589 480.0681 446.9634 0.2779353 0.1516547
Moved 1048.619 492.368 470.1889 0.3064075 0.2113911
Moved 1048.65 503.6816 495.3633 0.3325964 0.27614
Moved 1048.681 511.3174 509.0898 0.3502717 0.3114448
Moved 1048.711 519.134 519.701 0.3683658 0.3387372
Moved 1048.742 523.4241 526.8481 0.3782965 0.3571196
Moved 1048.773 526 530.3074 0.3842592 0.3660169
Moved 1048.804 528.8097 532.8097 0.3907632 0.3724528
Moved 1048.834 530.5 535.5 0.3946759 0.3793723
Moved 1048.865 531 537.5 0.3958333 0.3845164
Moved 1048.896 532.3729 538.3729 0.3990113 0.3867614
Moved 1048.927 532 539.2376 0.3981481 0.3889855
Moved 1048.957 532 540 0.3981481 0.3909464
Stationary 1048.988 532 540 0.3981481 0.3909464
Moved 1049.019 532 541.1501 0.3981481 0.3939046
Stationary 1049.05 532 541 0.3981481 0.3935184
Stationary 1049.08 532 541 0.3981481 0.3935184
Stationary 1049.111 532 541 0.3981481 0.3935184
Moved 1049.142 515.8195 520.9474 0.3606933 0.3419428
Moved 1049.172 501.1279 498.1919 0.326685 0.2834153
