this is too much to handle
Direct
0.6 0.6
432 388.8
Began 451.5433 335 512 -0.05787035 0.31893
Stationary 451.574 335 512 -0.05787035 0.31893
Stationary 451.6048 335 512 -0.05787035 0.31893
Stationary 451.6355 335 512 -0.05787035 0.31893
Stationary 451.6662 335 512 -0.05787035 0.31893
Stationary 451.697 335 512 -0.05787035 0.31893
Stationary 451.7277 335 512 -0.05787035 0.31893
Stationary 451.7584 335 512 -0.05787035 0.31893
Stationary 451.7892 335 512 -0.05787035 0.31893
Stationary 451.8199 335 512 -0.05787035 0.31893
Moved 451.8506 335 496.8376 -0.05787035 0.2799322
Moved 451.8813 345.9793 475.7046 -0.03245533 0.2255775
Moved 451.9121 361.1237 449.7526 0.002601246 0.1588286
Moved 451.9428 375.0154 423.3723 0.03475795 0.09097797
Moved 451.9736 384.808 406.3359 0.057426 0.04716029
Moved 452.0043 392.4712 394.0576 0.07516483 0.01558021
Moved 452.0351 399.1852 384.2223 0.09070635 -0.009716332
Moved 452.0658 403.0712 377.7863 0.09970188 -0.02626976
Moved 452.0965 407.396 372.2081 0.1097129 -0.04061718
Moved 452.1273 409 370.733 0.113426 -0.04441116
Moved 452.158 410.8652 369.1348 0.1177434 -0.04852161
Moved 452.1887 412.2558 369 0.1209626 -0.04886839
Moved 452.2195 414.5 369 0.1261574 -0.04886839
Moved 452.2502 417.0107 369 0.1319692 -0.04886839
Moved 452.2809 431.257 417.0904 0.1649467 0.07482089
Moved 452.3116 452.2411 497.137 0.213521 0.280702
Moved 452.3423 462.0861 524.4436 0.2363104 0.3509351
Moved 452.3731 468.3132 544.783 0.2507249 0.4032482
Moved 452.4038 469.7155 551.431 0.2539711 0.4203472
Moved 452.4346 470 555.5927 0.2546296 0.431051
Moved 452.4653 470 557 0.2546296 0.4346707
Stationary 452.496 470 557 0.2546296 0.4346707
Moved 452.5268 454.9818 547.35 0.2198653 0.4098508
Moved 452.5575 423.5441 519.2897 0.1470929 0.3376793
Moved 452.5882 393.1497 493.7724 0.07673532 0.2720483
Moved 452.619 363.9589 467.0536 0.009164215 0.2033271
Moved 452.6497 318.9779 423.978 -0.0949585 0.09253584
Moved 452.6805 292.0135 397.8868 -0.157376 0.02542908
Moved 452.7112 268.4823 373.4823 -0.2118465 -0.03733992
Moved 452.7419 255.5087 359.5087 -0.2418781 -0.07328025
Moved 452.7726 247.3899 349.39 -0.2606714 -0.09930574
Moved 452.8034 245.9505 349 -0.2640034 -0.1003086
Moved 452.8341 245 346.5 -0.2662037 -0.1067387
Moved 452.8648 242.5527 344.5527 -0.2718687 -0.1117472
Stationary 452.8956 242.5527 344.5527 -0.2718687 -0.1117472
Moved 452.9263 241.8505 345 -0.2734941 -0.1105968
Moved 452.957 242 343.6879 -0.2731481 -0.1139716
Ended 452.9878 242 344 -0.2731481 -0.1131688
Began 453.9099 478 515 0.2731481 0.326646
Stationary 453.9406 478 515 0.2731481 0.326646
Stationary 453.9713 478 515 0.2731481 0.326646
Stationary 454.002 478 515 0.2731481 0.326646
Moved 454.0328 461.8179 503.8722 0.2356896 0.2980251
Moved 454.0636 443.2261 494.5577 0.1926529 0.2740682
Moved 454.0943 419.1083 481.0602 0.1368248 0.2393523
Moved 454.125 392.674 461.9391 0.07563412 0.1901727
Moved 454.1558 360.6622 433.6622 0.001532833 0.1174439
Moved 454.1865 336.7686 405.0248 -0.0537764 0.04378801
Moved 454.2173 316.256 381.132 -0.1012593 -0.01766464
Moved 454.248 302.9337 363.2559 -0.132098 -0.06364226
Moved 454.2787 291.9119 347.8237 -0.1576114 -0.1033341
Moved 454.3094 283.7657 336.3543 -0.1764682 -0.1328336
Moved 454.3401 277.4113 328.4113 -0.1911775 -0.1532631
Moved 454.3709 273.3605 324.1802 -0.2005545 -0.1641455
Moved 454.4016 270.3046 320.3046 -0.2076283 -0.1741138
Moved 454.4324 269 318.4323 -0.2106481 -0.1789295
Moved 454.4631 268 318 -0.212963 -0.1800412
Moved 454.4939 266.5 317 -0.2164352 -0.1826131
Moved 454.5246 264.1124 317 -0.2219621 -0.1826131
Moved 454.5553 256.3181 316 -0.2400043 -0.1851853
Moved 454.5861 250.5277 316 -0.2534081 -0.1851853
Moved 454.6168 248.3857 316 -0.2583665 -0.1851853
Ended 454.6475 248 316 -0.2592593 -0.1851853
