exercise is good for the mind
Direct
0.6 0.6
432 388.8
Began 832.21 235 526 -0.2893518 0.3549381
Stationary 832.2407 235 526 -0.2893518 0.3549381
Stationary 832.2715 235 526 -0.2893518 0.3549381
Stationary 832.3022 235 526 -0.2893518 0.3549381
Moved 832.3331 242.6538 511.533 -0.2716348 0.3177288
Moved 832.3638 252.5012 481.6212 -0.2488399 0.2407952
Moved 832.3945 261.8842 445.5792 -0.22712 0.1480944
Moved 832.4252 272.8693 408.0184 -0.2016915 0.05148758
Moved 832.456 280.3831 381.0048 -0.1842983 -0.01799195
Moved 832.4868 287.8272 351.5184 -0.1670666 -0.09383143
Moved 832.5175 292.7159 328.7787 -0.1557504 -0.152318
Moved 832.5482 296.1266 311.2405 -0.1478551 -0.1974268
Moved 832.579 298 301.7197 -0.1435185 -0.2219143
Moved 832.6097 299.3348 294.3304 -0.1404287 -0.2409199
Moved 832.6404 299 289.8903 -0.1412037 -0.2523398
Moved 832.6712 299 287.3715 -0.1412037 -0.2588181
Stationary 832.7019 299 287 -0.1412037 -0.2597736
Stationary 832.7327 299 287 -0.1412037 -0.2597736
Moved 832.7634 285.7127 316.6242 -0.1719612 -0.1835798
Moved 832.7942 277.4933 342.6889 -0.1909877 -0.116541
Moved 832.8249 265.0533 382.787 -0.2197841 -0.01340803
Moved 832.8557 254.297 418.5903 -0.2446829 0.07867876
Moved 832.8864 245.475 453.1 -0.2651042 0.1674382
Moved 832.9172 239.2221 477.2596 -0.2795785 0.2295772
Moved 832.9479 237 496.1454 -0.2847222 0.2781517
Moved 832.9786 237 506.8299 -0.2847222 0.3056324
Moved 833.0093 237 516.4992 -0.2847222 0.330502
Moved 833.0402 248.943 523.943 -0.2570764 0.3496475
Stationary 833.0709 248.943 523.943 -0.2570764 0.3496475
Moved 833.1016 256.6944 527.2314 -0.2391334 0.3581055
Moved 833.1323 264.265 529 -0.2216088 0.3626543
Moved 833.1631 272.3387 530 -0.2029196 0.3652262
Moved 833.1938 278.4261 531 -0.1888284 0.3677982
Moved 833.2246 283.9621 531 -0.1760136 0.3677982
Moved 833.2554 286.291 531 -0.1706227 0.3677982
Moved 833.2861 289.1656 531 -0.1639684 0.3677982
Moved 833.3168 290.9302 531 -0.1598837 0.3677982
Moved 833.3477 293.5 531 -0.1539352 0.3677982
Moved 833.3784 294.3113 531 -0.1520571 0.3677982
Moved 833.4091 295.2735 531 -0.1498299 0.3677982
Moved 833.4398 296.1013 531 -0.1479135 0.3677982
Moved 833.4706 297 531 -0.1458333 0.3677982
Stationary 833.5013 297 531 -0.1458333 0.3677982
Moved 833.5321 298.0599 531 -0.1433799 0.3677982
Stationary 833.5628 298.0599 531 -0.1433799 0.3677982
Stationary 833.5936 298.0599 531 -0.1433799 0.3677982
Stationary 833.6243 298.0599 531 -0.1433799 0.3677982
Stationary 833.6551 298.0599 531 -0.1433799 0.3677982
Stationary 833.6859 298 531 -0.1435185 0.3677982
Stationary 833.7166 298 531 -0.1435185 0.3677982
Moved 833.7473 298 520.5306 -0.1435185 0.3408709
Moved 833.7781 280.7696 471.6161 -0.1834037 0.2150619
Moved 833.8088 269.3228 420.4208 -0.209901 0.08338685
Moved 833.8395 268 374.3361 -0.212963 -0.03514396
Moved 833.8703 268 341.0771 -0.212963 -0.1206866
Moved 833.9011 278.5294 308.3528 -0.1885893 -0.2048538
Moved 833.9318 285.5 283 -0.1724537 -0.2700618
Moved 833.9626 288.9647 270.1766 -0.1644337 -0.3030437
Moved 833.9933 292.7133 261.5734 -0.1557563 -0.3251713
Moved 834.024 294.4645 258.5355 -0.1517026 -0.3329848
Moved 834.0548 295.9117 258 -0.1483526 -0.3343622
Moved 834.0855 307.0837 267.5319 -0.1224915 -0.3098461
Moved 834.1163 337.3972 306.5964 -0.05232141 -0.2093715
Moved 834.147 402.3421 407.0596 0.09801408 0.04902161
Moved 834.1778 424.2869 450.5738 0.1488122 0.1609408
Moved 834.2086 438.8702 480.7405 0.18257 0.2385299
Moved 834.2393 448.5212 497.7819 0.2049102 0.2823607
Moved 834.27 453.8881 505.7762 0.2173335 0.3029222
Moved 834.3007 456.3256 509.6512 0.2229759 0.3128888
Moved 834.3315 458.0853 511 0.2270494 0.3163579
Moved 834.3622 458 512.4625 0.2268519 0.3201194
Moved 834.3929 458 513 0.2268519 0.321502
