my watch fell in the water
Direct
0.6 0.6
432 388.8
Moved 865.1227 350.5 263.5 -0.02199074 -0.3202162
Moved 865.1535 367.8127 283.8127 0.01808494 -0.2679715
Moved 865.1842 380.8953 297.8953 0.04836867 -0.2317508
Moved 865.215 391.9379 311.4224 0.07393042 -0.196959
Moved 865.2457 400.7974 327.5947 0.09443828 -0.1553634
Moved 865.2764 406.6694 341.6776 0.1080309 -0.1191421
Moved 865.3071 409.4309 352.7236 0.1144234 -0.09073147
Moved 865.3379 410 360.5291 0.1157407 -0.07065573
Moved 865.3687 411 366.8051 0.1180555 -0.0545139
Moved 865.3994 411 371.3723 0.1180555 -0.04276676
Moved 865.4301 412.1172 376.1171 0.1206416 -0.03056294
Moved 865.4608 412 378.5 0.1203704 -0.02443423
Moved 865.4916 412 380.3611 0.1203704 -0.01964734
Moved 865.5223 413 382.1267 0.1226852 -0.01510628
Stationary 865.553 413 382 0.1226852 -0.01543218
Moved 865.5838 413 383.2627 0.1226852 -0.01218443
Moved 865.6146 413 384.0217 0.1226852 -0.01023234
Stationary 865.6452 413 384 0.1226852 -0.01028807
Moved 865.676 413 385.207 0.1226852 -0.007183639
Stationary 865.7067 413 385 0.1226852 -0.007716127
Stationary 865.7374 413 385 0.1226852 -0.007716127
Stationary 865.7682 413 385 0.1226852 -0.007716127
Moved 865.799 413 386.0978 0.1226852 -0.004892467
Stationary 865.8297 413 386.0978 0.1226852 -0.004892467
Stationary 865.8604 413 386.0978 0.1226852 -0.004892467
Moved 865.8912 413 387 0.1226852 -0.002572055
Ended 865.9219 414 388 0.125 -3.924585E-08
Began 866.5981 334 356 -0.06018519 -0.0823046
Stationary 866.6288 334 356 -0.06018519 -0.0823046
Stationary 866.6595 334 356 -0.06018519 -0.0823046
Moved 866.6903 322.7728 369.4726 -0.086174 -0.04765287
Moved 866.721 304.5569 396.6647 -0.1283405 0.02228556
Moved 866.7517 288.0625 422.4063 -0.166522 0.08849352
Moved 866.7825 274.7328 448.1011 -0.1973777 0.1545809
Moved 866.8132 264.9949 467.0101 -0.2199191 0.2032152
Moved 866.8439 253.7341 489.5319 -0.2459859 0.2611416
Moved 866.8746 247 501.5 -0.2615741 0.2919238
Moved 866.9054 247 509.4914 -0.2615741 0.3124778
Moved 866.9362 247 512.6595 -0.2615741 0.3206262
Moved 866.9669 258.4751 515.4344 -0.2350113 0.3277633
Moved 866.9976 287.3907 516 -0.1680771 0.329218
Moved 867.0284 332.8142 490.558 -0.06293014 0.2637809
Moved 867.0591 382.5589 465.1624 0.05221973 0.1984628
Moved 867.0898 420.1372 445.9314 0.1392065 0.1490005
Moved 867.1205 451.9659 430.5171 0.2128839 0.1093546
Moved 867.1512 482 414 0.2824074 0.06687239
Moved 867.182 507.7871 398.4753 0.3420998 0.02694252
Moved 867.2128 527.7404 388.4724 0.3882879 0.001214895
Moved 867.2435 540.3643 382.4089 0.4175099 -0.01438039
Moved 867.2742 548.1174 379.9609 0.4354568 -0.02067684
Moved 867.305 553.5933 378 0.4481327 -0.02572024
Moved 867.3357 558 377 0.4583333 -0.02829226
Moved 867.3664 560.2947 376 0.4636452 -0.03086435
Moved 867.3972 562 375.2746 0.4675925 -0.03273002
Moved 867.4279 564.4758 375 0.4733236 -0.03343629
Moved 867.4586 565.3571 375 0.4753638 -0.03343629
Moved 867.4894 566.299 375 0.477544 -0.03343629
Moved 867.5201 567.2135 375 0.4796609 -0.03343629
Moved 867.5508 568 373.8818 0.4814814 -0.03631223
Moved 867.5816 569.3581 374 0.4846252 -0.03600823
Stationary 867.6123 569.3581 374 0.4846252 -0.03600823
Moved 867.6431 570.1567 374 0.4864738 -0.03600823
Stationary 867.6738 570.1567 374 0.4864738 -0.03600823
Moved 867.7045 571 374 0.4884259 -0.03600823
Stationary 867.7352 571 374 0.4884259 -0.03600823
Stationary 867.766 571 374 0.4884259 -0.03600823
Stationary 867.7968 571 374 0.4884259 -0.03600823
Stationary 867.8275 571 374 0.4884259 -0.03600823
Stationary 867.8581 571 374 0.4884259 -0.03600823
Stationary 867.8889 571 374 0.4884259 -0.03600823
Ended 867.9196 571 374 0.4884259 -0.03600823
Began 868.5037 479 536 0.275463 0.3806583
Stationary 868.5344 479 536 0.275463 0.3806583
Stationary 868.5651 479 536 0.275463 0.3806583
Moved 868.5958 479 523.5335 0.275463 0.3485943
Moved 868.6266 471.322 508.2537 0.2576897 0.3092944
Moved 868.6573 467.6606 483.9457 0.2492145 0.2467738
Moved 868.688 459.597 451.7909 0.2305485 0.1640711
