the collapse of the Roman empire
Direct
0.6 0.6
432 388.8
Began 479.0117 349 489 -0.02546296 0.2597736
Stationary 479.0421 349 489 -0.02546296 0.2597736
Stationary 479.0732 349 489 -0.02546296 0.2597736
Stationary 479.1039 349 489 -0.02546296 0.2597736
Moved 479.1346 383.7986 455.8215 0.0550895 0.174438
Moved 479.1653 412.6494 417.6009 0.1218736 0.07613394
Moved 479.1961 430.4509 387.8236 0.1630809 -0.0004537606
Moved 479.2269 440.5 367 0.1863426 -0.05401234
Moved 479.2576 444.0953 354.6187 0.1946651 -0.08585721
Moved 479.2884 444 348.1403 0.1944444 -0.10252
Moved 479.3191 429.2714 346 0.1603504 -0.1080248
Moved 479.3498 406.3657 354.5074 0.107328 -0.08614347
Moved 479.3806 375.4544 375.8364 0.03577411 -0.03128499
Moved 479.4113 343.6153 404.7693 -0.03792763 0.043131
Moved 479.442 320.2814 429.107 -0.09194121 0.1057277
Moved 479.4728 302.5237 448.4763 -0.1330471 0.155546
Moved 479.5035 289.1125 460.3099 -0.1640913 0.1859823
Moved 479.5343 279.9771 466.6819 -0.1852383 0.2023712
Moved 479.565 274.7889 470.1055 -0.1972478 0.2111767
Moved 479.5958 273 471.53 -0.2013889 0.2148403
Ended 479.6265 273 472 -0.2013889 0.2160493
Began 480.6102 292 197 -0.1574074 -0.4912551
Stationary 480.641 292 197 -0.1574074 -0.4912551
Stationary 480.6718 292 197 -0.1574074 -0.4912551
Moved 480.7025 292 203.8394 -0.1574074 -0.4736643
Moved 480.7332 309.4333 221.8428 -0.1170527 -0.4273592
Moved 480.7639 339.7327 263.6213 -0.04691506 -0.319904
Moved 480.7947 382.9114 323.7688 0.05303561 -0.1652037
Moved 480.8254 423.5 380 0.1469907 -0.02057613
Moved 480.8561 455.1522 418.921 0.2202596 0.07952917
Moved 480.8869 483.8814 451.5696 0.2867625 0.163502
Moved 480.9176 504.1821 474.6367 0.3337548 0.2228308
Moved 480.9484 514.8357 486.7809 0.3584159 0.2540661
Moved 480.9791 523.3786 495.3786 0.3781912 0.2761795
Moved 481.0099 527.4521 499.4521 0.3876205 0.2866566
Moved 481.0406 531.2206 501.2206 0.3963439 0.2912052
Moved 481.0714 532.6622 503 0.3996811 0.2957818
Moved 481.1021 534.0413 503 0.4028735 0.2957818
Moved 481.1328 536.0933 503 0.4076233 0.2957818
Moved 481.1636 537 492.3914 0.4097222 0.2684964
Moved 481.1943 538 469.4922 0.4120371 0.2095992
Moved 481.2251 538 433.7927 0.4120371 0.1177794
Moved 481.2558 538 405.6387 0.4120371 0.04536703
Moved 481.2865 538 389 0.4120371 0.002572016
Moved 481.3173 538 375.3015 0.4120371 -0.03266079
Moved 481.348 539.879 367.2419 0.4163866 -0.05339014
Moved 481.3788 541 361.7163 0.4189815 -0.06760217
Moved 481.4095 541 357.9481 0.4189815 -0.07729401
Moved 481.4402 541 355.164 0.4189815 -0.0844548
Moved 481.4709 541 351.3973 0.4189815 -0.09414288
Moved 481.5017 530.1133 347.2783 0.3937808 -0.1047368
Moved 481.5324 514.5197 344.1689 0.3576845 -0.1127344
Moved 481.5632 490.6382 342 0.3024034 -0.1183128
Moved 481.5939 455.6556 342 0.221425 -0.1183128
Moved 481.6247 410.1492 352.3702 0.1160861 -0.09164048
Moved 481.6554 367.2816 357.6924 0.0168557 -0.07795177
Moved 481.6862 324.2417 362.6345 -0.08277386 -0.06524058
Moved 481.7169 289.0716 365.0774 -0.1641861 -0.05895732
Moved 481.7477 265.5 369 -0.21875 -0.04886839
Moved 481.7784 237.6816 371.2576 -0.2831445 -0.04306173
Moved 481.8091 217.878 373 -0.3289861 -0.03858032
Moved 481.8399 204.8548 373 -0.3591323 -0.03858032
Moved 481.8706 196.2883 373 -0.3789624 -0.03858032
Moved 481.9014 191.0152 374 -0.3911686 -0.03600823
Moved 481.9321 186.2458 374 -0.4022087 -0.03600823
Moved 481.9628 185 374 -0.4050926 -0.03600823
Moved 481.9936 183 374 -0.4097222 -0.03600823
Moved 482.0243 181.5 374 -0.4131944 -0.03600823
Moved 482.0551 182 374 -0.412037 -0.03600823
Stationary 482.0859 182 374 -0.412037 -0.03600823
Moved 482.1165 207.1488 376.3664 -0.3538222 -0.0299219
Moved 482.1473 258.0672 389.7202 -0.2359555 0.004424225
