electric cars need big fuel cells
Direct
0.6 0.6
432 388.8
Began 151.5995 269 491 -0.2106481 0.2649176
Stationary 151.6302 269 491 -0.2106481 0.2649176
Moved 151.6609 306.3134 480.442 -0.1242746 0.2377623
Moved 151.6917 350.6709 466.6456 -0.02159521 0.2022777
Moved 151.7224 399.4702 449.8433 0.09136627 0.1590618
Moved 151.7532 435.8682 434.8781 0.1756207 0.1205712
Moved 151.7839 469.0973 417.3926 0.25254 0.07559831
Moved 151.8147 485.4534 406.5466 0.2904013 0.04770216
Moved 151.8454 489 402.424 0.2986111 0.03709856
Moved 151.8762 489 399.6747 0.2986111 0.03002743
Moved 151.9069 437.3525 415.2814 0.1790567 0.07016806
Moved 151.9376 398.192 437.993 0.08840749 0.1285827
Moved 151.9684 360.2304 471.5178 0.0005334616 0.2148089
Moved 151.9991 336.8744 490.0897 -0.05353157 0.2625763
Moved 152.0299 325.6951 495.7683 -0.07940958 0.2771818
Moved 152.0606 316.1874 496 -0.1014179 0.2777777
Moved 152.0913 294.2357 443.707 -0.1522323 0.1432792
Moved 152.1221 288 349.8998 -0.1666667 -0.09799439
Moved 152.1528 298.3435 288.9249 -0.1427234 -0.2548229
Moved 152.1836 300.7617 264.8339 -0.1371256 -0.3167854
Moved 152.2144 302.6274 252.1179 -0.132807 -0.349491
Moved 152.2451 304.3845 247.6155 -0.1287396 -0.3610713
Moved 152.2758 305.8807 247 -0.125276 -0.3626543
Moved 152.3066 316.9312 288.6558 -0.09969643 -0.2555149
Moved 152.3373 331.6676 366.3388 -0.06558419 -0.05571294
Moved 152.3681 344.3597 414.4387 -0.03620446 0.0680007
Moved 152.3988 355.0835 447.2506 -0.01138071 0.1523934
Moved 152.4296 364.8575 478.8582 0.01124412 0.2336886
Moved 152.4604 367 498.2451 0.01620372 0.2835522
Moved 152.4911 367 510.2214 0.01620372 0.3143555
Moved 152.5218 358.563 515.4106 -0.003326287 0.327702
Moved 152.5525 346.1103 519.978 -0.03215209 0.3394494
Moved 152.5833 332.0359 521 -0.06473173 0.3420781
Moved 152.614 320.0492 521 -0.09247865 0.3420781
Moved 152.6448 319 521 -0.09490739 0.3420781
Moved 152.6754 329.9223 521.6826 -0.06962424 0.3438338
Moved 152.7063 376.1197 526.89 0.0373141 0.3572271
Moved 152.737 409.7606 529.8967 0.1151866 0.3649607
Moved 152.7678 429.5095 530 0.1609016 0.3652262
Moved 152.7985 435.3925 530 0.1745198 0.3652262
Moved 152.8293 423.4344 500.6516 0.1468388 0.2897415
Moved 152.86 377.5948 417.5634 0.04072885 0.07603739
Moved 152.8908 343.2229 341.2556 -0.03883595 -0.1202275
Moved 152.9215 328.3119 295.6603 -0.07335216 -0.2374993
Moved 152.9523 317.4904 266.226 -0.0984019 -0.3132049
Moved 152.983 312.4031 251.2095 -0.1101779 -0.3518275
Moved 153.0137 308.9508 241.9016 -0.1181695 -0.3757674
Ended 153.0445 308 240 -0.1203704 -0.3806585
Began 153.5057 289 240 -0.1643519 -0.3806585
Stationary 153.5365 289 240 -0.1643519 -0.3806585
Moved 153.5672 271.2629 259.1015 -0.20541 -0.3315291
Moved 153.5979 245.2447 291.5682 -0.2656372 -0.2480242
Moved 153.6287 206 336.5 -0.3564815 -0.1324588
Moved 153.6594 188.3778 357.8925 -0.3972735 -0.07743694
Moved 153.6902 178.975 368.0333 -0.4190394 -0.05135462
Moved 153.7209 176.6581 375.3676 -0.4244026 -0.0324907
Moved 153.7516 200.6791 408.8704 -0.3687984 0.05367903
Moved 153.7824 239.3406 443.4348 -0.2793041 0.1425792
Moved 153.8132 269.6673 464.5421 -0.2091035 0.1968673
Moved 153.8439 281.3428 473.2285 -0.1820769 0.2192091
Moved 153.8746 284.8781 476 -0.1738934 0.2263374
Moved 153.9054 285 477 -0.1736111 0.2289094
Stationary 153.9361 285 477 -0.1736111 0.2289094
Moved 153.9669 260.2012 440.9219 -0.2310157 0.1361161
Moved 153.9977 237.8436 401.3185 -0.2827694 0.03425547
Moved 154.0284 226.4764 379.3337 -0.3090824 -0.02228984
Moved 154.0591 221.2903 371.4354 -0.3210873 -0.04260436
Moved 154.0899 214.8916 362.8916 -0.3358991 -0.06457921
Ended 154.1206 212 359.6935 -0.3425926 -0.07280491
Began 154.3973 388 256 0.06481478 -0.3395062
