the collapse of the Roman empire
Direct
0.6 0.6
432 388.8
Moved 1083.236 412.9462 391.5807 0.1225606 0.009209628
Moved 1083.267 415.0185 388.9815 0.1273575 0.00252445
Moved 1083.298 415 387.5 0.1273148 -0.001286047
Moved 1083.328 401.9602 388 0.09713003 -3.924585E-08
Moved 1083.359 367.0483 413.0472 0.01631558 0.06442172
Moved 1083.39 327.2618 440.0746 -0.07578278 0.1339368
Moved 1083.421 294.114 464.5277 -0.152514 0.1968304
Moved 1083.451 270.4887 478.4445 -0.207202 0.2326247
Moved 1083.482 254.6019 486.699 -0.2439771 0.2538555
Moved 1083.513 248.2101 490.79 -0.258773 0.2643774
Moved 1083.544 245.6485 493.3515 -0.2647026 0.2709658
Ended 1083.574 246 493 -0.2638889 0.2700616
Began 1085.173 274 500 -0.199074 0.2880658
Stationary 1085.204 274 500 -0.199074 0.2880658
Stationary 1085.235 274 500 -0.199074 0.2880658
Moved 1085.265 289.3578 500 -0.1635237 0.2880658
Moved 1085.296 326.006 500 -0.07868995 0.2880658
Moved 1085.327 358.4746 500 -0.003530979 0.2880658
Moved 1085.358 379.2185 506.2185 0.04448732 0.3040599
Moved 1085.388 394.9246 508 0.08084396 0.3086419
Moved 1085.419 407.1752 509 0.1092019 0.3112139
Moved 1085.45 417.1006 509 0.1321772 0.3112139
Moved 1085.48 428.3031 509 0.1581091 0.3112139
Moved 1085.511 436.2657 501.535 0.1765409 0.2920139
Moved 1085.542 443.9389 499.3537 0.1943031 0.2864035
Moved 1085.573 450.3989 494.6011 0.2092567 0.2741798
Moved 1085.604 457.9786 479.0643 0.2268022 0.2342187
Moved 1085.634 461.0576 465.7117 0.2339298 0.1998758
Moved 1085.665 462 390 0.2361111 0.005143954
Moved 1085.696 454.4913 357.1279 0.2187298 -0.07940363
Moved 1085.726 448.1215 328.4861 0.203985 -0.1530707
Moved 1085.757 444.1654 308.7442 0.1948272 -0.2038473
Moved 1085.788 441.5722 291.0052 0.1888244 -0.2494723
Moved 1085.818 440 280.0262 0.1851852 -0.2777105
Moved 1085.849 440 275 0.1851852 -0.2906379
Moved 1085.88 439 272.1629 0.1828703 -0.297935
Moved 1085.911 439 269.6552 0.1828703 -0.3043847
Moved 1085.942 439 268 0.1828703 -0.308642
Moved 1085.972 436.5315 268 0.1771562 -0.308642
Moved 1086.003 419.3073 274.322 0.1372855 -0.2923818
Moved 1086.034 382.3524 295.9048 0.0517416 -0.2368705
Moved 1086.065 328.3012 328.1993 -0.07337689 -0.1538084
Moved 1086.095 279.784 356.0089 -0.1856852 -0.08228168
Moved 1086.126 237.4243 376.918 -0.28374 -0.02850324
Moved 1086.157 204.0269 390.7892 -0.3610488 0.007173946
Moved 1086.188 191.0272 395.4864 -0.3911408 0.01925504
Moved 1086.218 185.4134 396 -0.4041357 0.02057605
Moved 1086.249 184.6703 397.3297 -0.4058559 0.02399613
Stationary 1086.28 185 397 -0.4050926 0.02314815
Moved 1086.311 242.3955 366.1426 -0.2722327 -0.05621772
Moved 1086.341 346.2772 304.8152 -0.03176575 -0.2139528
Moved 1086.372 364 291.5 0.009259283 -0.2481996
Moved 1086.403 390.3093 275.3837 0.07016042 -0.289651
Moved 1086.434 407.8811 265.0792 0.1108359 -0.3161542
Moved 1086.464 416.1072 261.9285 0.1298777 -0.324258
Moved 1086.495 422 259.5 0.1435185 -0.3305041
Moved 1086.526 425.6631 257.1685 0.151998 -0.3365009
Moved 1086.557 430.7799 254.61 0.1638424 -0.3430814
Ended 1086.587 433 255 0.1689814 -0.3420782
Began 1088.555 228 542 -0.3055556 0.3960905
Stationary 1088.586 228 542 -0.3055556 0.3960905
Stationary 1088.616 228 542 -0.3055556 0.3960905
Moved 1088.647 253.4388 511.5613 -0.2466696 0.3178016
Moved 1088.678 283.5583 484.7673 -0.1769484 0.2488869
Moved 1088.708 311.5356 454.4644 -0.1121862 0.1709475
Moved 1088.739 341.5752 420.0089 -0.04265011 0.0823274
Moved 1088.77 368.4751 391.5726 0.01961827 0.009188867
Moved 1088.801 396.1904 357.3715 0.08377403 -0.07877703
Moved 1088.832 416.3086 336.6914 0.1303439 -0.1319666
Moved 1088.862 431.8759 313.1862 0.1663794 -0.1924225
Moved 1088.893 442.6091 295.7819 0.1912247 -0.2371866
Moved 1088.924 449.2775 285.6301 0.2066608 -0.2632972
Moved 1088.954 453.6371 280.363 0.2167525 -0.2768443
Moved 1088.985 456.1957 276.8043 0.2226752 -0.2859972
Moved 1089.016 464.6465 277 0.2422372 -0.2854939
Moved 1089.047 478.0206 299.0353 0.2731958 -0.2288188
Moved 1089.078 489 333 0.2986111 -0.141461
Moved 1089.108 496.3889 374.8475 0.3157152 -0.03382852
Moved 1089.139 503.9502 406.7512 0.3332181 0.04822833
Moved 1089.17 511.5685 430.5978 0.3508531 0.1095621
Moved 1089.2 518.3585 449.6227 0.3665707 0.1584945
Moved 1089.231 526.965 469.8775 0.3864931 0.2105902
Moved 1089.262 532 485 0.3981481 0.2494856
Moved 1089.293 533.8263 495.1314 0.4023756 0.2755437
Moved 1089.323 535.3683 503.1048 0.4059451 0.2960513
Moved 1089.354 535 507.8243 0.4050927 0.30819
Moved 1089.385 535 511.9173 0.4050927 0.3187172
Moved 1089.416 535 514.7039 0.4050927 0.3258845
Moved 1089.446 526.2726 517.2468 0.3848903 0.3324248
Moved 1089.477 516.0813 518 0.3612993 0.3343621
Moved 1089.508 499.6251 518 0.3232062 0.3343621
Moved 1089.539 490.2998 518 0.3016199 0.3343621
Moved 1089.569 482.7558 518 0.2841569 0.3343621
Moved 1089.6 476.6388 518 0.2699971 0.3343621
Moved 1089.631 470.518 518 0.2558288 0.3343621
Moved 1089.661 465.2097 518 0.2435409 0.3343621
Moved 1089.692 454.8064 508.9516 0.2194593 0.3110895
Moved 1089.723 439.3469 505.3912 0.1836733 0.3019319
