I listen to the tape everyday
Direct
0.6 0.6
432 388.8
Began 527.0624 468 511 0.25 0.3163579
Stationary 527.0931 468 511 0.25 0.3163579
Stationary 527.1238 468 511 0.25 0.3163579
Stationary 527.1545 468 511 0.25 0.3163579
Stationary 527.1853 468 511 0.25 0.3163579
Stationary 527.2161 468 511 0.25 0.3163579
Stationary 527.2468 468 511 0.25 0.3163579
Stationary 527.2775 468 511 0.25 0.3163579
Stationary 527.3082 468 511 0.25 0.3163579
Moved 527.3389 468 500.5 0.25 0.2893518
Moved 527.3696 468 498.6182 0.25 0.2845117
Moved 527.4003 468 496.853 0.25 0.2799715
Moved 527.4312 468 492.6122 0.25 0.2690642
Moved 527.4619 468 491.5 0.25 0.2662036
Moved 527.4926 468 489.5 0.25 0.2610596
Stationary 527.5233 468 489.5 0.25 0.2610596
Moved 527.5541 476 486.2557 0.2685185 0.2527152
Moved 527.5848 476 484.8693 0.2685185 0.2491493
Moved 527.6155 477 483.0971 0.2708333 0.2445913
Moved 527.6462 478.1328 481.8672 0.2734557 0.2414279
Moved 527.677 479 478.9279 0.275463 0.233868
Moved 527.7077 480.8474 476.1526 0.2797393 0.2267298
Moved 527.7384 482 469.1544 0.2824074 0.2087303
Moved 527.7692 484.0687 458.588 0.287196 0.1815535
Moved 527.7999 487.8335 444.8325 0.2959108 0.1461741
Moved 527.8306 491.2008 430.998 0.3037055 0.1105915
Moved 527.8614 494.3689 418.5242 0.3110392 0.07850878
Moved 527.8921 499.5876 407.0311 0.3231193 0.04894837
Moved 527.9229 502.5581 398.3258 0.3299956 0.0265581
Moved 527.9536 506.3268 390.0195 0.3387196 0.005193993
Moved 527.9843 509.6967 383.4549 0.3465201 -0.01169016
Moved 528.0151 512.5691 376.8619 0.3531693 -0.02864751
Moved 528.0458 515 371.3324 0.3587963 -0.04286943
Moved 528.0765 520.189 365.811 0.3708079 -0.05707062
Moved 528.1072 521.5336 361.9328 0.3739204 -0.06704534
Moved 528.138 524.3009 358.6991 0.3803262 -0.07536241
Moved 528.1687 526.0609 355.9391 0.3844002 -0.08246119
Moved 528.1994 527.8298 354.1702 0.388495 -0.08701096
Moved 528.2302 528 352.5 0.3888889 -0.09130666
Moved 528.2609 530.0061 349.9939 0.3935326 -0.0977524
Moved 528.2916 531.772 349 0.3976204 -0.1003086
Moved 528.3224 532 348 0.3981481 -0.1028807
Moved 528.353 533.4587 346.5413 0.4015247 -0.1066324
Moved 528.3839 534.1248 345.8752 0.4030667 -0.1083458
Moved 528.4146 534 344.9546 0.4027778 -0.1107135
Moved 528.4453 535.3616 345 0.4059296 -0.1105968
Moved 528.476 535 343.6927 0.4050927 -0.1139591
Moved 528.5067 536.0235 344 0.4074618 -0.1131688
Stationary 528.5375 536.0235 344 0.4074618 -0.1131688
Stationary 528.5681 536 344 0.4074074 -0.1131688
Stationary 528.5989 536 344 0.4074074 -0.1131688
Moved 528.6297 517.8089 366.6675 0.3652984 -0.05486743
Moved 528.6604 504.0083 387.9854 0.3333526 -3.755829E-05
Moved 528.6912 491.2778 407.0833 0.3038837 0.04908255
Moved 528.7219 483.393 421.0117 0.2856319 0.08490664
Moved 528.7526 477.0758 433.8483 0.2710089 0.1179226
Moved 528.7833 473.5 444 0.2627315 0.1440329
Moved 528.814 470.8523 451.2953 0.2566026 0.1627966
Moved 528.8448 469.1078 456.8922 0.2525645 0.1771917
Moved 528.8755 468.3544 461.6456 0.2508203 0.1894177
Moved 528.9063 468 463.0213 0.25 0.192956
Moved 528.937 468 465.8469 0.25 0.2002233
Moved 528.9677 467 467.5 0.2476852 0.2044752
Moved 528.9984 467 468.3566 0.2476852 0.2066785
Moved 529.0292 467 469.3611 0.2476852 0.209262
Moved 529.0599 467 470.1505 0.2476852 0.2112925
Moved 529.0906 465.7066 471 0.2446912 0.2134772
Moved 529.1213 466 472.0417 0.2453704 0.2161567
Stationary 529.1521 466 472 0.2453704 0.2160493
Moved 529.1829 464.9142 473.0858 0.2428568 0.2188421
Moved 529.2136 463.9989 473 0.2407381 0.2186213
Moved 529.2443 463 473 0.2384259 0.2186213
Moved 529.275 456.4083 473 0.2231673 0.2186213
Moved 529.3057 447.1292 473 0.201688 0.2186213
Moved 529.3364 435.3401 473 0.1743983 0.2186213
Moved 529.3672 423.4701 464.894 0.1469215 0.1977726
