where can my little dog be
Direct
0.6 0.6
432 388.8
Moved 1583.607 388.9624 439.1128 0.0670426 0.1314628
Moved 1583.638 382.8497 453.8757 0.05289286 0.1694334
Moved 1583.669 377.7665 466.5838 0.04112611 0.2021188
Moved 1583.7 374.6576 477.356 0.03392965 0.2298251
Moved 1583.73 372.067 486.7322 0.02793272 0.2539407
Moved 1583.761 371 495.7249 0.025463 0.27707
Moved 1583.792 371 498.0068 0.025463 0.2829393
Ended 1583.823 371 498.0068 0.025463 0.2829393
Began 1584.714 541 350 0.4189815 -0.09773669
Stationary 1584.745 541 350 0.4189815 -0.09773669
Stationary 1584.775 541 350 0.4189815 -0.09773669
Stationary 1584.806 541 350 0.4189815 -0.09773669
Stationary 1584.837 541 350 0.4189815 -0.09773669
Moved 1584.868 541 360.2582 0.4189815 -0.07135241
Moved 1584.899 530.8157 370.9608 0.3954067 -0.04382529
Moved 1584.929 524.7228 385.8315 0.3813028 -0.005577385
Moved 1584.96 515 405 0.3587963 0.04372424
Moved 1584.991 506.1923 423.5193 0.3384081 0.09135614
Moved 1585.021 498.9741 443.5648 0.3216993 0.1429134
Moved 1585.052 493.8844 456.2313 0.3099175 0.1754919
Moved 1585.083 489 470 0.2986111 0.2109053
Moved 1585.114 484.153 482.541 0.2873912 0.2431608
Moved 1585.144 480.5955 495.6181 0.2791561 0.2767954
Moved 1585.175 478 501.8583 0.2731481 0.2928454
Moved 1585.206 475.5 507 0.2673611 0.3060699
Moved 1585.237 474.2019 510.5961 0.2643563 0.3153192
Moved 1585.267 473 513.3409 0.2615741 0.3223789
Moved 1585.298 470.114 516.772 0.2548935 0.3312036
Moved 1585.329 466.5608 519.4392 0.2466685 0.3380637
Moved 1585.359 459.9575 522.6808 0.2313831 0.3464012
Moved 1585.39 450.0867 525.2283 0.208534 0.3529535
Moved 1585.421 435.579 527.7744 0.1749515 0.3595021
Moved 1585.452 422.4124 529.3175 0.1444732 0.3634709
Moved 1585.483 408.5 529 0.1122685 0.3626543
