traveling requires a lot of fuel
Direct
0.6 0.6
Moved 508.7846 321.5321 276.8929 -0.08904605 -0.2857692
Moved 508.8153 304.4463 319.2018 -0.1285966 -0.17695
Moved 508.8461 286.6081 357.2479 -0.1698887 -0.07909507
Moved 508.8767 273.0397 393.5048 -0.201297 0.01415845
Moved 508.9075 262.3546 428.9361 -0.2260309 0.1052882
Moved 508.9382 256.4586 452.7899 -0.2396792 0.1666405
Moved 508.969 255 468.064 -0.2430556 0.2059257
Moved 508.9997 253 478.6766 -0.2476852 0.2332217
Moved 509.0305 252 483.7912 -0.25 0.2463764
Moved 509.0612 251 486.6656 -0.2523148 0.2537696
Moved 509.0919 251 487.5 -0.2523148 0.2559156
Moved 509.1227 251 488 -0.2523148 0.2572016
Stationary 509.1534 251 488 -0.2523148 0.2572016
Stationary 509.1841 251 488 -0.2523148 0.2572016
Moved 509.2148 273.2067 473.2185 -0.2009104 0.2191833
Moved 509.2456 287.1096 462.1123 -0.1687277 0.190618
Moved 509.2763 302.6027 451.6987 -0.1328641 0.163834
Moved 509.3071 325.3154 438.9626 -0.08028835 0.1310766
Moved 509.3378 361.3817 425.7649 0.003198485 0.09713184
Moved 509.3685 403.5588 408.862 0.1008306 0.05365736
Moved 509.3992 453.9171 389.4934 0.2174008 0.003840992
Moved 509.43 486.5568 376.5773 0.2929556 -0.02937952
Moved 509.4607 508.3268 368.5577 0.343349 -0.05000589
Moved 509.4915 520.3771 362.8115 0.3712432 -0.06478533
Moved 509.5222 526.9322 359.5339 0.3864171 -0.07321534
Moved 509.5529 529.9791 358.0209 0.39347 -0.07710672
Moved 509.5836 532.8569 357.1431 0.4001316 -0.07936438
Moved 509.6144 534.2802 357 0.4034264 -0.07973259
Moved 509.6451 535.3755 355.6245 0.4059619 -0.08327045
Moved 509.6758 537.0804 356 0.4099084 -0.0823046
Moved 509.7065 537 354.5 0.4097222 -0.08616254
Moved 509.7373 538.1552 355 0.4123962 -0.08487654
Moved 509.768 539.2234 355 0.4148691 -0.08487654
Stationary 509.7987 539.2234 355 0.4148691 -0.08487654
Moved 509.8295 540.1499 353.8501 0.4170136 -0.08783419
Stationary 509.8602 540.1499 353.8501 0.4170136 -0.08783419
Moved 509.8909 541.1415 354 0.4193089 -0.08744855
Stationary 509.9217 541.1415 354 0.4193089 -0.08744855
Moved 509.9524 542.0477 354 0.4214066 -0.08744855
Stationary 509.9832 542.0477 354 0.4214066 -0.08744855
