did you have a good time
Direct
0.6 0.6
432 388.8
Ended 1122.972 174 367 -0.4305556 -0.05401234
Began 1124.018 339 355 -0.04861111 -0.08487654
Stationary 1124.048 339 355 -0.04861111 -0.08487654
Stationary 1124.079 339 355 -0.04861111 -0.08487654
Stationary 1124.11 339 355 -0.04861111 -0.08487654
Moved 1124.141 352.0325 370.639 -0.01844327 -0.04465276
Moved 1124.171 373.8479 396.2175 0.03205538 0.02113558
Moved 1124.202 409.6454 437.7745 0.1149198 0.1280206
Moved 1124.233 436.4456 467.6865 0.1769574 0.204955
Moved 1124.263 463.4509 498.4509 0.2394697 0.2840815
Moved 1124.294 485.5613 520.9272 0.2906512 0.341891
Moved 1124.325 500.2457 535.2457 0.3246427 0.3787182
Moved 1124.356 508.5618 546.1237 0.3438932 0.4066966
Moved 1124.386 514.66 552.3199 0.3580092 0.4226335
Moved 1124.417 517.5328 554.5328 0.3646593 0.4283251
Moved 1124.448 519.5 556.5 0.3692129 0.4333847
Moved 1124.479 520.9135 558 0.3724848 0.4372427
Moved 1124.509 521 559.3486 0.3726852 0.4407114
Moved 1124.54 522 560 0.375 0.4423867
Moved 1124.571 523 561.2147 0.3773148 0.4455109
Stationary 1124.602 523 561 0.3773148 0.4449587
Stationary 1124.632 523 561 0.3773148 0.4449587
Moved 1124.663 523 562.1332 0.3773148 0.4478733
Stationary 1124.694 523 562 0.3773148 0.4475308
Stationary 1124.724 523 562 0.3773148 0.4475308
Moved 1124.755 504.0451 544.1512 0.3334378 0.4016234
Moved 1124.786 452.5946 490.9129 0.2143394 0.2646936
Moved 1124.817 405.4177 444.4177 0.1051336 0.1451073
Moved 1124.847 374.6884 413.6884 0.03400107 0.06607103
Moved 1124.878 350.271 391.2709 -0.02252092 0.008412859
Moved 1124.909 329.3094 374.1458 -0.07104302 -0.03563343
Moved 1124.94 307.9893 356.421 -0.1203951 -0.08122181
Moved 1124.97 292.0629 344.6503 -0.1572619 -0.1114963
Moved 1125.001 280.7363 337.8682 -0.1834807 -0.12894
Moved 1125.032 271.1089 332.0726 -0.2057664 -0.1438461
Moved 1125.063 265.3208 329.1604 -0.2191647 -0.1513365
Moved 1125.093 262.2906 328.2906 -0.2261791 -0.1535735
Moved 1125.124 260.5 328 -0.2303241 -0.1543211
Ended 1125.155 261 328 -0.2291666 -0.1543211
Began 1125.985 313 477 -0.1087963 0.2289094
Stationary 1126.016 313 477 -0.1087963 0.2289094
Stationary 1126.046 313 477 -0.1087963 0.2289094
Stationary 1126.077 313 477 -0.1087963 0.2289094
Moved 1126.108 325.4644 477 -0.07994349 0.2289094
Moved 1126.138 348.5215 486.8695 -0.02657051 0.2542939
Moved 1126.169 383.7318 500.3021 0.05493462 0.2888426
Moved 1126.2 417.2346 513.0133 0.1324874 0.3215362
Moved 1126.231 443.0521 521.5863 0.1922503 0.3435861
Moved 1126.261 459.7063 525.1412 0.2308015 0.3527294
Moved 1126.292 465.5575 527 0.2443461 0.3575102
Moved 1126.323 468.581 528 0.2513448 0.3600822
Moved 1126.354 470.2214 528 0.2551422 0.3600822
Moved 1126.384 471.3204 528 0.2576862 0.3600822
Stationary 1126.415 471 528 0.2569444 0.3600822
Moved 1126.446 471 483.5524 0.2569444 0.2457621
Moved 1126.477 461.4223 425.7132 0.2347739 0.09699888
Moved 1126.507 461 363.4589 0.2337964 -0.06312005
Moved 1126.538 468.993 323.014 0.2522986 -0.167145
Moved 1126.569 473.7226 286.6644 0.2632468 -0.2606368
Moved 1126.599 476 260.3706 0.2685185 -0.328265
Moved 1126.63 477 246.2297 0.2708333 -0.3646354
Moved 1126.661 477 237.7538 0.2708333 -0.3864357
Moved 1126.692 477 227.9991 0.2708333 -0.4115249
Moved 1126.722 465.4267 221.2844 0.2440434 -0.4287952
Moved 1126.753 447.0624 219 0.2015334 -0.4346708
Moved 1126.784 405.6309 246.1208 0.1056271 -0.3649156
Moved 1126.815 365.3204 289.871 0.01231571 -0.2523896
Moved 1126.845 334.2474 329.1396 -0.05961249 -0.1513899
Moved 1126.876 299.0447 376.5285 -0.1411002 -0.02950495
Moved 1126.907 275.6968 412.6626 -0.1951462 0.06343248
Moved 1126.938 254.8667 446.2 -0.2433642 0.1496913
Moved 1126.968 242.5634 469.5914 -0.2718439 0.2098545
Moved 1126.999 236.2788 489.6061 -0.2863917 0.2613326
Moved 1127.03 234 503.4301 -0.2916667 0.2968879
Ended 1127.061 234 512.4504 -0.2916667 0.3200883
PhraseEnd 1128.013
