is there any indication of this
Direct
0.6 0.6
432 388.8
Began 807.5961 460 498 0.2314815 0.2829217
Stationary 807.6269 460 498 0.2314815 0.2829217
Stationary 807.6576 460 498 0.2314815 0.2829217
Stationary 807.6884 460 498 0.2314815 0.2829217
Moved 807.7191 433.0459 498 0.1690876 0.2829217
Moved 807.7498 384.8671 467.8151 0.05756269 0.2052856
Moved 807.7805 330.1551 438.0817 -0.06908536 0.1288108
Moved 807.8113 310.6709 426.9548 -0.1141878 0.1001922
Moved 807.842 269.4644 403.5914 -0.2095731 0.04010122
Moved 807.8727 253.2335 391.3868 -0.2471447 0.008710853
Moved 807.9034 241.9259 385.9753 -0.2733198 -0.005207689
Moved 807.9342 237.4066 382.4066 -0.2837811 -0.01438651
Moved 807.965 234.5357 381 -0.2904266 -0.01800419
Ended 807.9957 234 380 -0.2916667 -0.02057613
Began 808.7641 326 518 -0.07870371 0.3343621
Stationary 808.7949 326 518 -0.07870371 0.3343621
Moved 808.8256 332.3777 510.0278 -0.06394048 0.3138576
Moved 808.8563 357.9679 465.0641 -0.004703899 0.1982102
Moved 808.887 373.8205 409.9573 0.0319919 0.05647459
Moved 808.9177 376 371.6387 0.03703703 -0.04208153
Moved 808.9485 377 355.2133 0.03935188 -0.08432812
Moved 808.9793 377 347.6905 0.03935188 -0.1036767
Moved 809.01 377 343.9265 0.03935188 -0.1133578
Moved 809.0408 368.4328 344 0.01952032 -0.1131688
Moved 809.0715 334.002 373.1746 -0.06018053 -0.03813135
Moved 809.1022 302.4641 404.5359 -0.1331848 0.04253054
Moved 809.1329 279.316 430.684 -0.1867686 0.1097839
Moved 809.1636 266.5603 445.4397 -0.2162957 0.1477358
Moved 809.1944 261.5384 450.7308 -0.2279203 0.1613445
Moved 809.2252 258.4898 454.5102 -0.2349772 0.1710652
Moved 809.2559 256.6132 457.3868 -0.2393214 0.1784638
Moved 809.2866 254.8746 459.1254 -0.2433457 0.1829355
Moved 809.3174 254.1817 460 -0.2449497 0.1851851
Moved 809.3481 254 461 -0.2453704 0.1877571
Moved 809.3788 252.5 462 -0.2488426 0.1903292
Moved 809.4096 253 463.4207 -0.2476852 0.1939831
Moved 809.4402 251.6807 463 -0.2507391 0.1929011
Moved 809.4711 252 464 -0.25 0.1954732
Stationary 809.5018 252 464 -0.25 0.1954732
Moved 809.5325 252 465.0294 -0.25 0.1981207
Moved 809.5632 251 465 -0.2523148 0.1980452
Moved 809.594 251 466.5 -0.2523148 0.2019032
Stationary 809.6247 251 466.5 -0.2523148 0.2019032
Stationary 809.6555 251 466.5 -0.2523148 0.2019032
Moved 809.6862 251 466 -0.2523148 0.2006171
Ended 809.7169 251 466 -0.2523148 0.2006171
Backspace 810.1472
Began 810.7927 466 538 0.2453704 0.3858024
Stationary 810.8234 466 538 0.2453704 0.3858024
Moved 810.8542 443.7314 522.2261 0.1938227 0.3452316
Moved 810.8849 367.4326 461.3883 0.01720508 0.1887559
Moved 810.9156 312.6151 418.9613 -0.1096874 0.0796329
Moved 810.9464 279.4875 395.9 -0.1863716 0.0203188
Moved 810.9772 259.9344 382.9562 -0.2316334 -0.01297272
Moved 811.0079 248.2892 375.6446 -0.2585897 -0.03177831
Moved 811.0386 238.1357 367.6017 -0.2820934 -0.05246472
Moved 811.0694 232.3597 364.6799 -0.2954637 -0.05997983
Ended 811.1001 232 364 -0.2962963 -0.06172839
Began 811.469 333 536 -0.06249999 0.3806583
Stationary 811.4997 333 536 -0.06249999 0.3806583
Moved 811.5304 344.2327 516.3427 -0.0364983 0.3300995
Moved 811.5612 364.6879 466.9808 0.01085172 0.2031399
Moved 811.5919 375.8125 389.8128 0.03660291 0.004662486
Moved 811.6226 377.6888 359.1784 0.0409462 -0.07412969
Moved 811.6534 379 344.3306 0.04398147 -0.1123184
Moved 811.6841 380 336.8157 0.04629632 -0.1316469
Moved 811.7148 380 334.0059 0.04629632 -0.1388739
Moved 811.7455 380 329.1865 0.04629632 -0.1512694
Moved 811.7763 380 328.5 0.04629632 -0.1530351
Moved 811.8071 372.6882 329 0.02937088 -0.151749
Moved 811.8378 339.6736 369.658 -0.04705191 -0.04717595
Moved 811.8685 310.1301 399.8699 -0.1154396 0.03052943
Moved 811.8992 291.3383 420.0419 -0.158939 0.0824123
Moved 811.93 272.0549 442.3341 -0.2035765 0.1397481
