the back yard of our house
Direct
0.6 0.6
432 388.8
Began 736.0226 340 499 -0.04629632 0.2854938
Stationary 736.0533 340 499 -0.04629632 0.2854938
Moved 736.084 349.1475 473.996 -0.02512162 0.221183
Moved 736.1147 361.1051 437.7058 0.002558033 0.1278441
Moved 736.1454 375.9761 402.0479 0.03698171 0.03613123
Moved 736.1761 391.1287 370.1684 0.07205714 -0.04586326
Moved 736.2069 399.726 352.5479 0.09195845 -0.09118335
Moved 736.2376 403.6762 346.3237 0.1011024 -0.1071921
Moved 736.2684 405.6544 342.3456 0.1056816 -0.117424
Stationary 736.299 406 342 0.1064815 -0.1183128
Moved 736.3298 392.0347 361.5688 0.07415444 -0.06798159
Moved 736.3605 368.0473 393.6305 0.01862794 0.01448168
Moved 736.3912 333.1772 433.6051 -0.06208976 0.117297
Moved 736.4219 301.7605 464.5814 -0.1348136 0.1969685
Moved 736.4527 271.5 488 -0.2048611 0.2572016
Moved 736.4833 207 520 -0.3541667 0.3395061
Ended 736.5141 207 520 -0.3541667 0.3395061
Ended 736.5448 705 56 0.7986111 -0.8539096
Backspace 738.1424
Began 740.0471 358 517 -0.004629641 0.33179
Stationary 740.0778 358 517 -0.004629641 0.33179
Moved 740.1085 366.3186 486.1858 0.01462648 0.2525354
Moved 740.1392 380.9678 452.3547 0.04853656 0.1655212
Moved 740.1699 398.7186 416.5628 0.08962642 0.07346396
Moved 740.2006 412.2495 392.5634 0.120948 0.01173698
Moved 740.2313 421.7397 374.5206 0.1429159 -0.03466924
Moved 740.2621 424.5 366 0.1493056 -0.05658444
Moved 740.2928 426 364 0.1527777 -0.06172839
Moved 740.3235 411.8263 364 0.1199683 -0.06172839
Moved 740.3542 375.0476 401.7619 0.03483246 0.0353958
Moved 740.385 333.9112 431.4622 -0.06039073 0.1117853
Moved 740.4157 293.6576 455.914 -0.1535703 0.1746758
Moved 740.4464 267.6194 468.3522 -0.2138439 0.2066672
Moved 740.4772 255.1285 472.2179 -0.2427581 0.2166098
Moved 740.5079 250.2661 475.7339 -0.2540136 0.2256529
Moved 740.5385 249 479.215 -0.2569445 0.2346064
Ended 740.5693 249 480 -0.2569445 0.2366254
Began 741.9517 417 226 0.1319444 -0.4166668
Stationary 741.9825 417 226 0.1319444 -0.4166668
Stationary 742.0132 417 226 0.1319444 -0.4166668
Stationary 742.0439 417 226 0.1319444 -0.4166668
Moved 742.0746 389.1822 256.8178 0.06755133 -0.3374027
Moved 742.1053 349.9046 298.0955 -0.02336904 -0.231236
Moved 742.136 310.5583 332.2969 -0.1144485 -0.1432694
Moved 742.1667 282.1678 351.4855 -0.1801672 -0.09391604
Moved 742.1974 237.524 368.1587 -0.2835093 -0.05103225
Moved 742.2282 196.0388 372 -0.3795399 -0.04115226
Moved 742.2589 188.7263 372 -0.3964668 -0.04115226
Moved 742.2897 173.1561 372 -0.4325091 -0.04115226
Moved 742.3204 165.8128 372 -0.4495074 -0.04115226
Moved 742.3511 163.9707 372 -0.4537716 -0.04115226
Moved 742.3816 162.5326 372 -0.4571004 -0.04115226
Moved 742.4125 161.6791 372 -0.459076 -0.04115226
Moved 742.4432 162 373.2495 -0.4583334 -0.03793873
Stationary 742.474 162 373.2495 -0.4583334 -0.03793873
Stationary 742.5047 162 373.2495 -0.4583334 -0.03793873
Moved 742.5355 175.9079 373 -0.426139 -0.03858032
Moved 742.5662 191.6972 373 -0.3895897 -0.03858032
Moved 742.5969 219.9411 366 -0.3242103 -0.05658444
Moved 742.6276 246.6975 366 -0.2622744 -0.05658444
Moved 742.6583 272.1391 365 -0.2033817 -0.05915646
Moved 742.689 293.0808 365 -0.1549056 -0.05915646
Moved 742.7198 307.476 365 -0.1215833 -0.05915646
Moved 742.7505 318.0088 362.9956 -0.09720196 -0.06431171
Moved 742.7812 324.7625 362.1188 -0.08156841 -0.06656701
Moved 742.812 328.7524 361 -0.07233246 -0.06944452
Moved 742.8427 331.3289 360 -0.06636823 -0.07201654
Moved 742.8734 333.0979 359 -0.0622734 -0.07458848
Moved 742.9041 335 357.9293 -0.05787035 -0.07734252
Moved 742.9349 337.7107 358 -0.05159562 -0.07716057
Moved 742.9656 339.4916 358 -0.04747311 -0.07716057
Moved 742.9963 343.3648 368.9185 -0.03850738 -0.04907788
Moved 743.027 351.7027 382.4054 -0.0192067 -0.01438949
