win first prize in the contest
Direct
0.6 0.6
432 388.8
Began 767.7621 213 484 -0.3402778 0.2469135
Stationary 767.7928 213 484 -0.3402778 0.2469135
Stationary 767.8236 213 484 -0.3402778 0.2469135
Moved 767.8543 232.2642 484 -0.2956848 0.2469135
Moved 767.8851 296.5966 484 -0.1467673 0.2469135
Moved 767.9158 346.8447 484 -0.03045201 0.2469135
Moved 767.9465 375.2626 484 0.03533016 0.2469135
Moved 767.9772 392.3392 484 0.07485926 0.2469135
Moved 768.008 409.7515 484 0.1151656 0.2469135
Moved 768.0388 421.4989 484 0.1423586 0.2469135
Moved 768.0695 432.1226 484 0.1669505 0.2469135
Moved 768.1002 440.7479 484 0.1869164 0.2469135
Moved 768.1309 447.2294 484 0.20192 0.2469135
Moved 768.1617 450.977 484 0.2105948 0.2469135
Moved 768.1924 453.5 484 0.2164352 0.2469135
Moved 768.2231 455.37 474.4102 0.2207638 0.2222484
Moved 768.2538 458.2441 453.5589 0.2274169 0.1686185
Moved 768.2846 446.7989 360.9163 0.2009234 -0.0696599
Moved 768.3154 439.6272 315.7042 0.1843223 -0.1859462
Moved 768.3461 436.4427 285.9843 0.1769507 -0.2623862
Moved 768.3768 435 263.9678 0.1736111 -0.3190128
Moved 768.4076 434 252.0974 0.1712963 -0.3495438
Moved 768.4383 434 244.4849 0.1712963 -0.3691233
Moved 768.4691 434 239.5867 0.1712963 -0.3817216
Moved 768.4998 434 236.5 0.1712963 -0.3896605
Ended 768.5305 434 236.5 0.1712963 -0.3896605
Began 769.1145 309 357 -0.1180555 -0.07973259
Stationary 769.1451 309 357 -0.1180555 -0.07973259
Stationary 769.176 309 357 -0.1180555 -0.07973259
Stationary 769.2067 309 357 -0.1180555 -0.07973259
Moved 769.2374 342.4411 385.6738 -0.0406456 -0.005983226
Moved 769.2681 376.7007 413.4172 0.03865897 0.06537347
Moved 769.2989 402.065 433.5569 0.09737273 0.1171731
Moved 769.3296 428.8979 455.4234 0.1594857 0.173414
Moved 769.3604 435.5355 459.7213 0.1748507 0.1844683
Moved 769.3911 446.1143 468.3357 0.1993386 0.2066246
Moved 769.4218 454.5 476.5 0.21875 0.2276234
Moved 769.4525 457.2087 479.2087 0.2250203 0.2345903
Moved 769.4833 458 482.0409 0.2268519 0.2418747
Moved 769.514 458 483 0.2268519 0.2443414
Moved 769.5447 458 484 0.2268519 0.2469135
Moved 769.5755 442.7861 486.369 0.1916345 0.2530065
Moved 769.6062 417.8074 487 0.1338134 0.2546296
Moved 769.637 387.5809 488 0.06384461 0.2572016
Moved 769.6677 361.6373 488.6232 0.003790061 0.2588045
Moved 769.6984 339.5365 491.4948 -0.0473693 0.2661903
Moved 769.7292 324.1127 491 -0.08307238 0.2649176
Moved 769.7599 316.1255 491 -0.1015613 0.2649176
Moved 769.7906 310.2151 491 -0.1152428 0.2649176
Moved 769.8214 307.5 491 -0.1215278 0.2649176
Moved 769.8521 305.5 491 -0.1261574 0.2649176
Moved 769.8828 304.6815 491 -0.1280521 0.2649176
Moved 769.9136 303.0813 491 -0.1317562 0.2649176
Moved 769.9443 294.2164 474.8245 -0.1522769 0.223314
Moved 769.975 278 450.5 -0.1898148 0.1607509
Moved 770.0057 261.7981 422.8365 -0.2273192 0.08960006
Moved 770.0365 250.6828 403.3657 -0.253049 0.03952065
Moved 770.0673 244.028 391.028 -0.2684537 0.007788065
Moved 770.098 241.4806 384.9612 -0.2743505 -0.007816008
Moved 770.1287 241 382.8111 -0.275463 -0.01334602
Moved 770.1595 239.5 381.5 -0.2789352 -0.01671818
Moved 770.1902 240 380.7729 -0.2777777 -0.01858825
Moved 770.2209 253.7678 381 -0.2459078 -0.01800419
Moved 770.2516 272 397.5 -0.2037037 0.02443408
Moved 770.2823 290.2935 412.2935 -0.1613577 0.06248313
Moved 770.3131 301.6788 424.6146 -0.1350027 0.09417337
Moved 770.3439 313.1484 440.7227 -0.1084527 0.1356035
Moved 770.3746 320.3128 451.9692 -0.09186845 0.1645298
Moved 770.4053 325.0692 459.0692 -0.08085831 0.1827911
Moved 770.4361 327 463.1033 -0.07638887 0.1931668
Moved 770.4668 328.9282 465.9282 -0.07192557 0.2004324
Moved 770.4976 329.8016 467 -0.06990378 0.2031892
Ended 770.5283 330.5 467 -0.06828706 0.2031892
