the punishment should fit the crime
Direct
0.6 0.6
432 388.8
Began 1083.796 323 532 -0.08564815 0.3703703
Stationary 1083.827 323 532 -0.08564815 0.3703703
Stationary 1083.858 323 532 -0.08564815 0.3703703
Moved 1083.888 331.89 521.9987 -0.06506935 0.3446468
Moved 1083.919 351.2142 496.5795 -0.02033755 0.2792682
Moved 1083.95 368.4197 469.1605 0.01949012 0.2087462
Moved 1083.98 384.0364 440.2666 0.05563984 0.1344305
Moved 1084.011 391.4962 418.1754 0.07290801 0.07761163
Moved 1084.042 398.5507 396.2466 0.08923759 0.02121046
Moved 1084.073 402.3111 383.7557 0.09794225 -0.01091639
Moved 1084.104 402 376.7767 0.09722222 -0.0288665
Moved 1084.134 402 373.2844 0.09722222 -0.03784886
Moved 1084.165 380.052 374 0.04641662 -0.03600823
Moved 1084.196 351.9883 403.0118 -0.01854574 0.0386105
Moved 1084.227 328.2094 425.7906 -0.07358948 0.09719805
Moved 1084.257 309.3992 448.001 -0.1171315 0.1543235
Moved 1084.288 291.1942 467.8058 -0.1592728 0.2052619
Moved 1084.319 275.6963 488.0209 -0.1951474 0.2572554
Moved 1084.35 263.0688 505.3795 -0.2243778 0.301902
Moved 1084.38 257.1812 512.7281 -0.2380065 0.3208028
Moved 1084.411 255 517.6775 -0.2430556 0.3335325
Ended 1084.442 255 519.0608 -0.2430556 0.3370904
Began 1085.641 563 505 0.4699074 0.3009258
Stationary 1085.672 563 505 0.4699074 0.3009258
Stationary 1085.703 563 505 0.4699074 0.3009258
Moved 1085.734 540.3372 505 0.4174473 0.3009258
Moved 1085.764 517.3809 505 0.3643077 0.3009258
Moved 1085.795 491.5963 514.0897 0.3046212 0.3243048
Moved 1085.826 468.4145 520.0757 0.2509595 0.3397007
Moved 1085.857 445.3629 523.2339 0.1975994 0.3478237
Moved 1085.887 428.0098 523 0.1574301 0.3472221
Moved 1085.918 416.0321 523 0.129704 0.3472221
Moved 1085.949 409.5404 523 0.114677 0.3472221
Moved 1085.98 401.2325 512.3099 0.09544551 0.3197272
Moved 1086.01 391.3044 492.2394 0.07246394 0.2681053
Moved 1086.041 380.2576 453.4661 0.04689256 0.1683797
Moved 1086.072 374.2462 395.8315 0.03297736 0.02014266
Moved 1086.103 373 355.3846 0.0300926 -0.08388747
Moved 1086.133 373 322.2806 0.0300926 -0.1690314
Moved 1086.164 373 301.9632 0.0300926 -0.2212881
Moved 1086.195 384.7574 283.4851 0.05730887 -0.268814
Moved 1086.226 391.6949 270.9576 0.07336786 -0.3010348
Moved 1086.256 397.2037 263.7963 0.08611957 -0.319454
Moved 1086.287 400.5615 259.8771 0.09389231 -0.3295343
Moved 1086.318 404.3069 256.6931 0.1025622 -0.3377235
Moved 1086.349 407 253.9407 0.1087963 -0.3448029
Moved 1086.379 409.8128 253 0.1153074 -0.3472223
Moved 1086.41 412.2419 250.7581 0.1209305 -0.3529885
Moved 1086.441 415.0036 249.9965 0.1273231 -0.3549474
Moved 1086.472 416.7681 249.2319 0.1314076 -0.3569137
Moved 1086.502 419.5 249 0.1377314 -0.3575103
Moved 1086.533 420.9479 249 0.1410832 -0.3575103
Moved 1086.564 422.3152 249 0.1442482 -0.3575103
Moved 1086.595 428.9153 277.5762 0.1595261 -0.2840119
Moved 1086.625 432.9111 312.6671 0.1687758 -0.1937577
Moved 1086.656 439.9388 350.6939 0.1850435 -0.09595195
Moved 1086.687 450.2447 393.2233 0.2088997 0.01343444
Moved 1086.718 456.3419 432.8803 0.2230136 0.1154328
Moved 1086.748 457.5887 452.2979 0.2258996 0.1653752
Moved 1086.779 461.6971 469.7427 0.2354099 0.2102436
Moved 1086.81 465.1021 485.5103 0.2432918 0.2507979
Moved 1086.841 467.8605 494.5815 0.2496771 0.2741293
Moved 1086.871 468 499.6467 0.25 0.2871571
Moved 1086.902 469 502.0861 0.2523148 0.2934311
Moved 1086.933 470 503.8482 0.2546296 0.2979634
Moved 1086.964 470 505.2953 0.2546296 0.3016854
Moved 1086.994 470 506 0.2546296 0.3034978
Moved 1087.025 470 507.3984 0.2546296 0.3070945
Moved 1087.056 470 508 0.2546296 0.3086419
Stationary 1087.087 470 508 0.2546296 0.3086419
Moved 1087.117 470 509.2989 0.2546296 0.3119827
Stationary 1087.148 470 509.2989 0.2546296 0.3119827
