that is a very odd question
Direct
0.6 0.6
432 388.8
Began 924.7557 344 525 -0.03703703 0.3523662
Stationary 924.7864 344 525 -0.03703703 0.3523662
Stationary 924.8171 344 525 -0.03703703 0.3523662
Moved 924.8478 344 514.3275 -0.03703703 0.3249162
Moved 924.8785 356.6055 497.5524 -0.00785773 0.2817704
Moved 924.9092 379.3913 467.0109 0.04488717 0.2032173
Moved 924.94 398.0484 442.9274 0.08807509 0.141274
Moved 924.9707 409.7081 423.8671 0.1150651 0.09225064
Moved 925.0015 416.0784 406.6864 0.1298111 0.04806169
Moved 925.0322 418 396.1452 0.1342593 0.02094952
Moved 925.0629 418 388.3503 0.1342593 0.0009010063
Moved 925.0936 402.8064 377.0938 0.09908885 -0.02805097
Moved 925.1243 381.904 363.952 0.05070359 -0.06185202
Moved 925.155 336.5764 356.8654 -0.05422125 -0.08007888
Moved 925.1857 297.6605 356 -0.1443043 -0.0823046
Moved 925.2165 258.429 354 -0.2351182 -0.08744855
Moved 925.2473 232.9599 354 -0.2940744 -0.08744855
Moved 925.2779 221.4057 354 -0.32082 -0.08744855
Moved 925.3086 216 354 -0.3333333 -0.08744855
Moved 925.3394 216 358.7302 -0.3333333 -0.07528234
Moved 925.3701 233.4772 387.5726 -0.2928768 -0.001099276
Moved 925.4008 267.7083 423.2803 -0.2136381 0.09074132
Moved 925.4316 297.7967 448.8221 -0.1439891 0.1564354
Moved 925.4622 320.0935 465.3957 -0.09237608 0.1990629
Moved 925.493 333.9045 475.1784 -0.06040623 0.2242242
Moved 925.5237 341.5461 481.3641 -0.04271736 0.2401338
Moved 925.5544 348.2332 486.2332 -0.02723798 0.2526572
Ended 925.5851 353 488 -0.01620372 0.2572016
Began 926.4146 475 503 0.2662037 0.2957818
Stationary 926.4453 475 503 0.2662037 0.2957818
Stationary 926.4761 475 503 0.2662037 0.2957818
Moved 926.5068 458.5661 503 0.2281623 0.2957818
Moved 926.5375 424.0009 485.2146 0.1481502 0.2500375
Moved 926.5682 372.9503 456.6178 0.02997746 0.1764861
Moved 926.5989 329.5256 436.3195 -0.0705426 0.1242785
Moved 926.6297 294.7963 420.0707 -0.1509346 0.08248627
Moved 926.6604 267.817 406.4085 -0.2133865 0.0473469
Moved 926.691 252.9815 397.7889 -0.247728 0.02517716
Moved 926.7218 247.1244 394.0622 -0.2612861 0.01559199
Ended 926.7526 244 393 -0.2685185 0.01285996
Began 927.6434 192 367 -0.3888888 -0.05401234
Stationary 927.6741 192 367 -0.3888888 -0.05401234
Ended 927.7049 192 367 -0.3888888 -0.05401234
Began 928.7801 335 227 -0.05787035 -0.4140947
Stationary 928.8109 335 227 -0.05787035 -0.4140947
Stationary 928.8416 335 227 -0.05787035 -0.4140947
Stationary 928.8723 335 227 -0.05787035 -0.4140947
Moved 928.903 335 243.84 -0.05787035 -0.370782
Moved 928.9337 324.7644 255.6766 -0.08156389 -0.3403379
Moved 928.9644 317.5238 278.2698 -0.09832446 -0.282228
Moved 928.9952 301.6249 312.0939 -0.1351275 -0.1952317
Moved 929.0259 283.1642 350.2196 -0.1778607 -0.09717179
Moved 929.0566 266.4183 383.7332 -0.2166244 -0.01097455
Moved 929.0873 253.8122 410.3757 -0.2458052 0.05755055
Moved 929.118 243.5253 434.6866 -0.2696173 0.1200788
Moved 929.1487 239.2649 452.6755 -0.2794794 0.1663463
Moved 929.1794 237.3925 463.4301 -0.2838137 0.1940073
Moved 929.2101 237 469.2134 -0.2847222 0.2088821
Moved 929.2409 237 473.0184 -0.2847222 0.2186686
Moved 929.2716 237 475.8973 -0.2847222 0.2260732
Moved 929.3023 237 478 -0.2847222 0.2314814
Moved 929.333 237 480.2504 -0.2847222 0.2372693
Moved 929.3638 237 481 -0.2847222 0.2391974
Moved 929.3945 254.0929 484.0233 -0.2451552 0.2469733
Moved 929.4252 265.0363 486 -0.2198233 0.2520575
Moved 929.456 274.8004 487.4501 -0.1972214 0.2557871
Moved 929.4867 280.6492 487 -0.1836824 0.2546296
Moved 929.5174 293.9922 489.1984 -0.1527959 0.2602839
Moved 929.5482 312.0572 491.7225 -0.1109787 0.2667758
Moved 929.5788 332.1583 493 -0.06444847 0.2700616
Moved 929.6096 337.911 493 -0.05113199 0.2700616
Moved 929.6403 344.6981 494.3491 -0.0354211 0.2735315
