this is a non profit organization
Direct
0.6 0.6
432 388.8
Began 159.9316 327 484 -0.07638887 0.2469135
Moved 159.9623 340.7077 484 -0.04465818 0.2469135
Moved 159.9931 357.925 472.4714 -0.00480329 0.2172618
Moved 160.0238 374.36 455.296 0.03324081 0.1730864
Moved 160.0546 389.6771 426.3105 0.06869693 0.09853519
Moved 160.0853 394.099 403.3069 0.07893294 0.03936952
Moved 160.1161 395.8633 390.4103 0.08301675 0.006199197
Moved 160.1468 397.1978 386.8022 0.08610615 -0.003080839
Moved 160.1775 400.1191 387 0.09286821 -0.002572055
Moved 160.2083 436.0518 446.3671 0.1760457 0.150121
Moved 160.239 460.5 487 0.2326389 0.2546296
Moved 160.2697 464.8987 497.5946 0.242821 0.2818791
Moved 160.3005 466 503.6727 0.2453704 0.297512
Moved 160.3313 466 507.4364 0.2453704 0.3071923
Moved 160.362 429.8894 508 0.1617811 0.3086419
Moved 160.3927 361.9896 469.8046 0.004605453 0.2104026
Moved 160.4235 326.2078 448.3455 -0.07822265 0.1552094
Moved 160.4543 297.8463 433.4232 -0.1438742 0.116829
Moved 160.485 276.3804 418.4878 -0.1935638 0.07841498
Moved 160.5158 260.1201 406.4961 -0.2312033 0.04757218
Ended 160.5465 256.8726 405 -0.2387208 0.04372424
Began 160.731 476 531 0.2685185 0.3677982
Stationary 160.7617 476 531 0.2685185 0.3677982
Moved 160.7925 468.0201 531 0.2500464 0.3677982
Moved 160.8232 444.0858 513.8254 0.194643 0.323625
Moved 160.854 402.9554 488.1321 0.09943375 0.2575413
Moved 160.8847 340.2732 456.9521 -0.04566391 0.1773458
Moved 160.9155 292.0704 434.739 -0.1572444 0.1202134
Moved 160.9462 252.9862 414.9156 -0.2477171 0.06922741
Moved 160.9769 228.9199 401.1309 -0.3034261 0.03377274
Moved 161.0077 212.4009 389.7208 -0.3416645 0.004425755
Moved 161.0384 206.9102 385.9103 -0.3543744 -0.005374916
Ended 161.0692 206 385 -0.3564815 -0.007716127
Began 161.5611 192 382 -0.3888888 -0.01543218
Stationary 161.5919 192 382 -0.3888888 -0.01543218
Ended 161.6226 192 382 -0.3888888 -0.01543218
Began 161.8993 367 214 0.01620372 -0.4475308
Stationary 161.9301 367 214 0.01620372 -0.4475308
Moved 161.9608 386.0173 268.6036 0.06022513 -0.3070896
Moved 161.9915 399 302 0.09027779 -0.2211935
Moved 162.0223 432.7005 367.261 0.1682882 -0.05334116
Moved 162.053 463.0807 417.9291 0.2386126 0.076978
Moved 162.0838 487.8941 454.0067 0.2960512 0.1697703
Moved 162.1145 499.076 470.1013 0.3219351 0.2111659
Moved 162.1453 502.7952 477.5904 0.3305444 0.2304279
Moved 162.176 503 479 0.3310186 0.2340534
Moved 162.2066 451 396 0.2106482 0.02057605
Moved 162.2375 424.8331 340.938 0.1500766 -0.1210442
Moved 162.2682 403.972 288.9161 0.1017871 -0.2548454
Moved 162.299 396.4487 260.2435 0.08437196 -0.3285918
Moved 162.3298 393.96 248.8398 0.07861098 -0.3579223
Ended 162.3605 394 245.5647 0.07870366 -0.366346
Began 162.6372 565 507 0.474537 0.3060699
Stationary 162.6679 565 507 0.474537 0.3060699
Moved 162.6987 549.7318 507 0.439194 0.3060699
Moved 162.7295 511.8196 494.7049 0.3514342 0.2744466
Moved 162.7602 454.7957 479.751 0.2194345 0.235985
Moved 162.7909 377.6654 466.9471 0.04089216 0.2030533
Moved 162.8217 330.6203 454.8734 -0.0680085 0.1719995
Moved 162.8525 309.2796 449.4559 -0.1174083 0.1580656
Moved 162.8832 304.0315 449 -0.1295568 0.156893
Moved 162.9139 316.3345 460.6089 -0.1010776 0.1867512
Moved 162.9447 393.7299 507.5599 0.07807852 0.30751
Moved 162.9754 435.8173 527.9086 0.1755031 0.3598472
Moved 163.0062 454.4846 534.6969 0.2187143 0.3773067
Moved 163.0369 462.9135 537 0.2382255 0.3832304
Stationary 163.0676 463 537 0.2384259 0.3832304
Moved 163.0984 399.2815 456.1857 0.09092946 0.1753747
Moved 163.1292 356.8282 409.6503 -0.007342001 0.055685
Moved 163.1599 327.4149 377.2565 -0.07542838 -0.02763253
Moved 163.1906 316.2474 363.3299 -0.1012791 -0.06345199
Moved 163.2214 313.4378 360.4378 -0.1077829 -0.07089049
Moved 163.2522 313 360 -0.1087963 -0.07201654
