the bathroom is good for reading
Direct
0.6 0.6
432 388.8
Began 97.28735 347 503 -0.0300926 0.2957818
Stationary 97.3181 347 503 -0.0300926 0.2957818
Stationary 97.34886 347 503 -0.0300926 0.2957818
Stationary 97.37958 347 503 -0.0300926 0.2957818
Moved 97.41031 358.8256 486.4442 -0.002718468 0.2531999
Moved 97.44102 385.8969 425.298 0.05994638 0.09593092
Moved 97.47179 399.2623 383.7049 0.09088496 -0.01104716
Moved 97.50252 405.0422 361.3945 0.1042644 -0.06842993
Moved 97.53333 406.9516 354.1453 0.1086842 -0.08707494
Moved 97.56407 407 350.5 0.1087963 -0.09645069
Moved 97.59481 379.3806 370.0876 0.04486253 -0.04607087
Moved 97.62556 344.1685 425.7917 -0.03664687 0.09720084
Moved 97.65629 327.9774 457.3747 -0.07412637 0.1784328
Moved 97.68705 318.1367 476.1582 -0.09690572 0.2267443
Moved 97.71774 312.4481 491.4718 -0.1100739 0.266131
Ended 97.74849 312.4481 491.4718 -0.1100739 0.266131
Began 97.96375 374 273 0.03240744 -0.295782
Stationary 97.9945 374 273 0.03240744 -0.295782
Stationary 98.0252 374 273 0.03240744 -0.295782
Stationary 98.05596 374 273 0.03240744 -0.295782
Moved 98.08672 335.0775 294.0823 -0.05769094 -0.241558
Moved 98.11742 290.9861 329.3737 -0.1597544 -0.1507879
Moved 98.14819 269.2279 344.1814 -0.2101206 -0.1127022
Moved 98.17897 251.7749 352.0901 -0.2505212 -0.09236096
Moved 98.20971 242.5045 355.997 -0.2719804 -0.08231229
Moved 98.24046 234.2221 361.5186 -0.2911524 -0.06811071
Moved 98.27117 232 367.0209 -0.2962963 -0.05395858
Moved 98.30195 232 381.3456 -0.2962963 -0.0171152
Moved 98.33269 265.9558 412.9558 -0.2176949 0.06418671
Moved 98.3634 290.6437 441.5928 -0.1605469 0.1378416
Moved 98.39415 308.2231 457.8154 -0.1198539 0.1795664
Moved 98.4249 323.8068 468.4034 -0.08378048 0.2067988
Moved 98.45565 333.4738 474.7369 -0.06140321 0.2230888
Moved 98.48639 349.4445 477 -0.02443398 0.2289094
Moved 98.51714 376.0171 457.3761 0.03707657 0.1784364
Moved 98.5479 392.2746 434.33 0.07470966 0.1191613
Moved 98.57866 398.6065 408.7546 0.08936683 0.05338127
Moved 98.60939 400 397.8772 0.09259263 0.02540427
Moved 98.64015 400 393.8904 0.09259263 0.01515031
Moved 98.67088 382.6433 399.3567 0.05241513 0.02920951
Moved 98.70164 353.4397 428.5603 -0.01518597 0.1043217
Moved 98.73237 333.6251 452.482 -0.06105294 0.1658487
Moved 98.7631 325.1763 467.4709 -0.08061036 0.2044004
Moved 98.79383 327.6867 486.0258 -0.07479922 0.2521239
Moved 98.8246 338.399 497.399 -0.05000228 0.2813759
Moved 98.85532 374.7391 521.8696 0.0341182 0.3443147
Moved 98.88608 415.5 536.5 0.1284723 0.3819444
Moved 98.91685 444.9997 542 0.1967585 0.3960905
Moved 98.94755 469.5448 542 0.253576 0.3960905
Moved 98.97831 475.5739 531.9113 0.2675322 0.3701422
Moved 99.00907 484.88 511.4799 0.2890741 0.3175923
Moved 99.03983 488 454.9732 0.2962963 0.1722561
Moved 99.07054 474.9891 392.7499 0.2661785 0.01221669
Moved 99.10127 471.5789 325.947 0.2582845 -0.1596013
Moved 99.13206 472 295.1133 0.2592593 -0.2389061
Moved 99.16277 472 269.2516 0.2592593 -0.3054229
Moved 99.19353 472 255.0938 0.2592593 -0.341837
Moved 99.22428 472 250.0604 0.2592593 -0.3547829
Ended 99.25501 472 249 0.2592593 -0.3575103
Began 99.50097 504 527 0.3333333 0.3575102
Stationary 99.53173 504 527 0.3333333 0.3575102
Moved 99.56251 489.2526 527 0.2991958 0.3575102
Moved 99.59319 445.7132 498.9518 0.1984101 0.2853698
Moved 99.62398 386.7481 466.6031 0.06191701 0.2021683
Moved 99.65474 348.8753 440.5836 -0.02575154 0.1352458
Moved 99.68547 312.2915 412.0762 -0.1104364 0.06192439
Moved 99.71623 285 389.5 -0.1736111 0.003857946
Moved 99.74696 273.6884 380.6884 -0.1997953 -0.01880559
Ended 99.77771 272 379 -0.2037037 -0.02314815
Began 100.2696 367 366 0.01620372 -0.05658444
Stationary 100.3004 367 366 0.01620372 -0.05658444
Stationary 100.3312 367 366 0.01620372 -0.05658444
