the bathroom is good for reading
Direct
0.6 0.6
432 388.8
Began 1186.425 349 517 -0.02546296 0.33179
Stationary 1186.455 349 517 -0.02546296 0.33179
Stationary 1186.486 349 517 -0.02546296 0.33179
Stationary 1186.517 349 517 -0.02546296 0.33179
Moved 1186.548 364.74 489.7051 0.01097212 0.2615871
Moved 1186.578 376.2029 467.5942 0.03750672 0.2047175
Moved 1186.609 385.7255 438.8922 0.05954971 0.1308955
Moved 1186.64 392.5095 415.9682 0.07525355 0.07193463
Moved 1186.671 402.5358 390.1606 0.0984624 0.005557016
Moved 1186.701 410.7424 370.2678 0.1174592 -0.04560753
Moved 1186.732 417.2265 355.5471 0.1324686 -0.0834695
Moved 1186.763 420 347.041 0.1388889 -0.1053472
Moved 1186.794 421 342.4681 0.1412037 -0.1171089
Moved 1186.824 398.9478 345.647 0.09015699 -0.1089328
Moved 1186.855 369.8348 364.513 0.02276579 -0.06040895
Moved 1186.886 333.8172 396.6163 -0.06060839 0.02216119
Moved 1186.917 299.72 425.2914 -0.1395371 0.09591412
Moved 1186.947 274.7694 446.2306 -0.197293 0.14977
Moved 1186.978 262.6569 458.3431 -0.2253313 0.1809236
Moved 1187.009 252.6119 472.1643 -0.2485835 0.2164719
Moved 1187.039 251.1705 473.6589 -0.25192 0.2203159
Moved 1187.07 249.2115 477.7885 -0.2564547 0.2309373
Moved 1187.101 249 479.2244 -0.2569445 0.2346307
Moved 1187.132 249 480 -0.2569445 0.2366254
Moved 1187.162 249 480.9723 -0.2569445 0.2391262
Ended 1187.193 249 481 -0.2569445 0.2391974
Began 1187.746 409 234 0.113426 -0.3960905
Stationary 1187.777 409 234 0.113426 -0.3960905
Stationary 1187.808 409 234 0.113426 -0.3960905
Stationary 1187.839 409 234 0.113426 -0.3960905
Stationary 1187.869 409 234 0.113426 -0.3960905
Stationary 1187.9 409 234 0.113426 -0.3960905
Stationary 1187.931 409 234 0.113426 -0.3960905
Moved 1187.961 393.1783 250.8218 0.07680148 -0.3528247
Moved 1187.992 377.248 266.752 0.03992597 -0.311852
Moved 1188.023 360.6852 283.3148 0.00158598 -0.2692521
Moved 1188.054 345.3214 296.1429 -0.03397822 -0.2362581
Moved 1188.084 329.5425 307.3268 -0.07050335 -0.2074929
Moved 1188.115 298.4872 329.6627 -0.1423908 -0.1500445
Moved 1188.146 270.4581 348.0279 -0.2072729 -0.102809
Moved 1188.177 246.3 363.275 -0.2631945 -0.06359304
Moved 1188.207 221.3063 377.4693 -0.3210502 -0.02708521
Moved 1188.238 193.9689 392.5728 -0.3843312 0.01176132
Moved 1188.269 173.1111 402.9445 -0.4326132 0.03843735
Moved 1188.3 160.3722 408.3139 -0.4621015 0.05224761
Moved 1188.33 147.273 413.8635 -0.4924237 0.06652138
Moved 1188.361 136.5185 419.7407 -0.5173182 0.08163758
Moved 1188.392 133.6413 421.1793 -0.5239784 0.08533768
Moved 1188.422 129.5626 422.7187 -0.53342 0.089297
Moved 1188.453 127 423.5953 -0.5393518 0.09155175
Moved 1188.484 125 424 -0.5439815 0.09259254
Moved 1188.515 123.6539 424 -0.5470973 0.09259254
Moved 1188.545 123.1506 425 -0.5482625 0.09516452
Moved 1188.576 122.2803 425 -0.5502769 0.09516452
Stationary 1188.607 122 425 -0.550926 0.09516452
Stationary 1188.638 122 425 -0.550926 0.09516452
Moved 1188.668 121 425 -0.5532407 0.09516452
Stationary 1188.699 121 425 -0.5532407 0.09516452
Stationary 1188.73 121 425 -0.5532407 0.09516452
Stationary 1188.761 121 425 -0.5532407 0.09516452
Stationary 1188.791 121 425 -0.5532407 0.09516452
Stationary 1188.822 121 425 -0.5532407 0.09516452
Stationary 1188.853 121 425 -0.5532407 0.09516452
Stationary 1188.884 121 425 -0.5532407 0.09516452
Stationary 1188.914 121 425 -0.5532407 0.09516452
Stationary 1188.945 121 425 -0.5532407 0.09516452
Stationary 1188.976 121 425 -0.5532407 0.09516452
Stationary 1189.006 121 425 -0.5532407 0.09516452
Stationary 1189.037 121 425 -0.5532407 0.09516452
Stationary 1189.068 121 425 -0.5532407 0.09516452
Stationary 1189.099 121 425 -0.5532407 0.09516452
Stationary 1189.129 121 425 -0.5532407 0.09516452
Moved 1189.16 130.0543 418 -0.5322818 0.07716041
Moved 1189.191 135.2368 417 -0.5202852 0.0745884
