want to join us for lunch
Direct
0.6 0.6
432 388.8
Moved 951.0342 431 254.535 0.1643519 -0.3432741
Moved 951.0649 429.0458 248.1375 0.1598283 -0.3597289
Moved 951.0956 428.1904 243.3809 0.1578482 -0.3719629
Moved 951.1264 428 240.3217 0.1574074 -0.3798312
Moved 951.1571 427 238.4492 0.1550926 -0.3846471
Moved 951.1878 425.9107 237 0.1525711 -0.3883744
Moved 951.2186 426 235.043 0.1527777 -0.3934081
Moved 951.2493 425 234.1682 0.150463 -0.395658
Moved 951.28 425 233.5 0.150463 -0.3973766
Ended 951.3107 425 234 0.150463 -0.3960905
Began 953.707 464 507 0.2407408 0.3060699
Stationary 953.7379 464 507 0.2407408 0.3060699
Moved 953.7686 392.3505 483.8521 0.07488539 0.2465331
Moved 953.7993 314.2074 448.6037 -0.1060014 0.1558737
Moved 953.83 225.8763 393.0718 -0.3104717 0.01304477
Moved 953.8608 171.6053 349.8255 -0.4360989 -0.09818543
Ended 953.8915 171.6053 349.8255 -0.4360989 -0.09818543
Began 956.0421 315 372 -0.1041667 -0.04115226
Stationary 956.0729 315 372 -0.1041667 -0.04115226
Moved 956.1036 353.7895 401.8316 -0.01437609 0.03557499
Moved 956.1343 404.8219 439.8248 0.1037543 0.1332943
Moved 956.165 444.4193 468.2668 0.1954149 0.2064474
Moved 956.1956 467.2438 484.4329 0.2482496 0.2480269
Moved 956.2264 481.5 496.5 0.28125 0.2790637
Moved 956.2572 490.0453 503.6968 0.3010308 0.297574
Moved 956.2879 494.4488 508.2244 0.3112241 0.309219
Moved 956.3186 496.0941 510 0.3150325 0.3137859
Moved 956.3492 496 511 0.3148148 0.3163579
Moved 956.3801 496 512 0.3148148 0.31893
Moved 956.4108 496 513.1918 0.3148148 0.3219954
Stationary 956.4415 496 513 0.3148148 0.321502
Moved 956.4723 496 514.5 0.3148148 0.32536
Moved 956.503 481.2201 515.63 0.2806021 0.3282664
Moved 956.5337 454 518.5 0.2175926 0.335648
Moved 956.5644 398.8443 523.0399 0.08991738 0.3473246
Moved 956.5951 279.1766 503.9832 -0.1870913 0.2983107
Ended 956.6259 220.9593 485.1118 -0.3218535 0.249773
Began 957.8549 554 357 0.4490741 -0.07973259
Stationary 957.8856 554 357 0.4490741 -0.07973259
Moved 957.9163 536.2505 369.7495 0.4079873 -0.04694079
Moved 957.947 516.0941 388.9059 0.361329 0.00232983
Moved 957.9778 498.489 405.511 0.3205764 0.04503851
Moved 958.0084 479.3379 424.6621 0.2762451 0.09429543
Moved 958.0392 462.9165 442.7641 0.2382326 0.140854
Moved 958.0699 450 458.5 0.2083333 0.181327
Moved 958.1006 440.7537 477.6157 0.1869299 0.2304929
Moved 958.1313 434.0102 493.9746 0.1713198 0.2725683
Moved 958.162 431.1414 505.5759 0.1646791 0.3024072
Moved 958.1928 430 515.2246 0.162037 0.3272237
Moved 958.2235 426.726 523.8221 0.1544583 0.3493366
Moved 958.2543 423.851 530.298 0.1478032 0.3659928
Moved 958.285 422 533.011 0.1435185 0.3729706
Moved 958.3157 420.4841 533 0.1400095 0.3729423
Moved 958.3464 418.6011 534 0.1356507 0.3755144
Moved 958.3771 418 534 0.1342593 0.3755144
Moved 958.4078 416 507.7034 0.1296297 0.3078789
Moved 958.4386 414 467.831 0.125 0.2053266
Moved 958.4693 414 429.7851 0.125 0.1074718
Moved 958.5 414 394.8058 0.125 0.01750459
Moved 958.5308 420.7049 365.5059 0.1405206 -0.05785522
Moved 958.5615 424.6417 334.1498 0.1496336 -0.1385037
Moved 958.5922 428.4068 309.373 0.158349 -0.20223
Moved 958.6229 433 290.5 0.1689814 -0.2507717
Moved 958.6537 434.1357 279.5928 0.1716104 -0.2788251
Moved 958.6844 435.0093 267.9628 0.1736327 -0.3087376
Moved 958.7151 435.8804 258.3588 0.1756491 -0.3334392
Moved 958.7458 436 252.3693 0.1759259 -0.3488445
Moved 958.7766 436 245.4139 0.1759259 -0.3667338
Moved 958.8073 436 242.8363 0.1759259 -0.3733635
Moved 958.838 436 240.5 0.1759259 -0.3793725
Moved 958.8687 436 239.9574 0.1759259 -0.3807681
Moved 958.8995 436 238.6261 0.1759259 -0.3841922
Stationary 958.9302 436 239 0.1759259 -0.3832304
Stationary 958.9609 436 239 0.1759259 -0.3832304
Stationary 958.9916 436 239 0.1759259 -0.3832304
Stationary 959.0223 436 239 0.1759259 -0.3832304
Moved 959.0531 428 239 0.1574074 -0.3832304
Moved 959.0838 425.0267 247.9734 0.1505247 -0.3601508
Moved 959.1145 423.155 250.845 0.1461922 -0.3527651
Moved 959.1452 420.2748 253.7252 0.139525 -0.3453571
Moved 959.176 418.5 256.5 0.1354167 -0.3382202
Moved 959.2067 414.6925 259.1537 0.1266029 -0.3313948
Moved 959.2374 411.972 261.028 0.1203056 -0.3265742
Moved 959.2681 410.0971 263 0.1159655 -0.3215021
Moved 959.2988 408.6523 264.3478 0.112621 -0.3180356
Moved 959.3296 407 265 0.1087963 -0.3163581
Moved 959.3603 404.9088 267.0912 0.1039556 -0.3109795
Moved 959.391 401.9379 267 0.09707858 -0.311214
Moved 959.4218 398.8893 268 0.09002149 -0.308642
Moved 959.4525 391.7045 269 0.07339011 -0.30607
Moved 959.4832 381.7449 269 0.05033543 -0.30607
Moved 959.5139 371.5648 269 0.02677033 -0.30607
Moved 959.5447 358.3652 269 -0.003784299 -0.30607
Moved 959.5754 343.0267 269 -0.03929009 -0.30607
Moved 959.6061 325.7217 269 -0.07934789 -0.30607
Moved 959.6368 312.1061 262.1061 -0.1108655 -0.3238013
Moved 959.6675 300.4141 261 -0.1379304 -0.3266461
Moved 959.6983 287.3689 261 -0.1681276 -0.3266461
Moved 959.729 278.5 261 -0.1886574 -0.3266461
Moved 959.7597 271.4856 261 -0.2048945 -0.3266461
Moved 959.7904 265.932 261 -0.21775 -0.3266461
Moved 959.8212 261.1869 261 -0.2287341 -0.3266461
Moved 959.8519 257.332 261 -0.2376573 -0.3266461
Moved 959.8826 254.6811 261 -0.2437937 -0.3266461
Moved 959.9133 250.8031 268 -0.2527705 -0.308642
Moved 959.944 249 270.0693 -0.2569445 -0.3033198
Moved 959.9748 246.4256 271.5743 -0.2629036 -0.2994488
Moved 960.0055 244.7757 274.4487 -0.266723 -0.2920558
Moved 960.0363 243 276.3211 -0.2708333 -0.2872399
Moved 960.067 240.1007 279.7985 -0.2775446 -0.2782961
Moved 960.0977 238.2555 283.489 -0.281816 -0.2688041
Moved 960.1284 236.3819 288.6181 -0.286153 -0.2556119
Moved 960.1591 234.5 293 -0.2905093 -0.2443416
Moved 960.1898 234 300.0084 -0.2916667 -0.226316
Moved 960.2206 234 314.127 -0.2916667 -0.1900026
Moved 960.2513 267.6432 356.3889 -0.213789 -0.08130422
Moved 960.282 362.5 434 0.005787015 0.1183127
Moved 960.3127 475.9364 464.3964 0.2683712 0.1964926
Ended 960.3434 499 464 0.3217593 0.1954732
PhraseEnd 961.8643
