good jobs for those with education
Direct
0.6 0.6
432 388.8
Began 925.8077 303 367 -0.1319445 -0.05401234
Stationary 925.8385 303 367 -0.1319445 -0.05401234
Stationary 925.8691 303 367 -0.1319445 -0.05401234
Stationary 925.8999 303 367 -0.1319445 -0.05401234
Moved 925.9307 374.4723 409.356 0.03350069 0.05492795
Moved 925.9614 462.1003 446.218 0.2363433 0.1497377
Moved 925.9921 493.8985 458.9619 0.3099502 0.1825151
Moved 926.0228 508.2277 465.1138 0.3431196 0.198338
Moved 926.0536 515.8613 469.4307 0.3607901 0.2094409
Moved 926.0843 519.2993 473.2993 0.3687484 0.2193912
Moved 926.1151 519 476.172 0.3680556 0.2267797
Moved 926.1458 513.3162 481.421 0.3548985 0.2402802
Moved 926.1765 472.4585 484 0.2603206 0.2469135
Moved 926.2068 362.2566 454.8638 0.005223651 0.1719747
Moved 926.2379 294.3802 433.1331 -0.1518976 0.116083
Moved 926.2686 250.0372 413.097 -0.2545434 0.06454982
Moved 926.2994 227.7141 401.4284 -0.3062174 0.03453804
Moved 926.3301 211.6943 390.4628 -0.3433003 0.006334359
Moved 926.3609 208.7428 388.8714 -0.3501323 0.002241174
Moved 926.3915 205.5 385.5 -0.3576389 -0.006430119
Ended 926.4223 206 386 -0.3564815 -0.005144111
Began 927.7743 454 377 0.2175926 -0.02829226
Stationary 927.8051 454 377 0.2175926 -0.02829226
Stationary 927.8358 454 377 0.2175926 -0.02829226
Moved 927.8665 482.0567 413.5319 0.2825387 0.06566844
Moved 927.8972 510.2901 468.6985 0.3478937 0.2075578
Moved 927.9279 524.0397 492.5596 0.3797215 0.2689289
Moved 927.9587 533.2752 506.9128 0.4011 0.3058457
Moved 927.9894 538.1606 513.3212 0.4124087 0.322328
Moved 928.0201 539 516.0744 0.4143518 0.3294094
Stationary 928.0508 539 516 0.4143518 0.329218
Moved 928.0816 489.4498 425.0781 0.2996522 0.09536546
Moved 928.1123 453.8654 349.8971 0.2172811 -0.09800137
Moved 928.143 439.0615 290.246 0.1830128 -0.2514248
Moved 928.1738 432.7607 255.8033 0.1684274 -0.340012
Moved 928.2045 428.566 238.6979 0.1587175 -0.3840075
Moved 928.2352 423.0256 228.0256 0.1458925 -0.4114567
Moved 928.2659 352.3436 270.0529 -0.01772314 -0.303362
Moved 928.2966 307.7378 315.4965 -0.1209774 -0.1864801
Moved 928.3273 254.9646 387.5748 -0.2431375 -0.001093743
Moved 928.3581 230.386 419.9323 -0.3000325 0.08213043
Moved 928.3888 221.9286 432.0714 -0.3196097 0.1133524
Ended 928.4195 219 436 -0.3263889 0.1234567
Began 929.0648 343 319 -0.03935183 -0.1774692
Stationary 929.0956 343 319 -0.03935183 -0.1774692
Stationary 929.1262 343 319 -0.03935183 -0.1774692
Stationary 929.157 343 319 -0.03935183 -0.1774692
Moved 929.1877 364.9572 351.1487 0.01147509 -0.09478219
Moved 929.2184 449.0574 436.0574 0.2061514 0.1236042
Moved 929.2491 494.6971 474.8273 0.3117988 0.2233213
Moved 929.2799 530.8616 502.5744 0.3955131 0.2946871
Moved 929.3107 531.7195 504.7195 0.3974988 0.3002043
Moved 929.3414 532 506.1577 0.3981481 0.3039035
Moved 929.3721 466.8868 512.4683 0.2474231 0.3201345
Moved 929.4028 426 513.5 0.1527777 0.3227879
Moved 929.4335 340.9861 505.5822 -0.04401361 0.3024232
Moved 929.4642 297.8943 501.2706 -0.1437632 0.2913339
Moved 929.4949 287.8237 499.832 -0.1670747 0.2876335
Moved 929.5256 281.2835 500 -0.182214 0.2880658
Ended 929.5564 281 500 -0.1828704 0.2880658
Began 929.9559 350 511 -0.02314816 0.3163579
Stationary 929.9866 350 511 -0.02314816 0.3163579
Stationary 930.0173 350 511 -0.02314816 0.3163579
Stationary 930.048 350 511 -0.02314816 0.3163579
Moved 930.0787 364.4678 465.1981 0.0103421 0.1985548
Moved 930.1096 377.7336 407.0656 0.04105002 0.04903679
Moved 930.1403 390.1319 373.7362 0.06974975 -0.03668679
Moved 930.171 398.5 360 0.08912037 -0.07201654
Moved 930.2016 406.6869 355.7711 0.1080715 -0.08289337
Moved 930.2324 439.5233 370.3203 0.1840818 -0.04547268
Moved 930.2631 496.5254 408.7034 0.3160309 0.05324937
Moved 930.2933 531.587 444.0994 0.397192 0.1442884
