that is a very nasty cut
Direct
0.6 0.6
432 388.8
Stationary 822.2136 299.692 450 -0.1396019 0.1594649
Moved 822.2443 298.8502 450 -0.1415505 0.1594649
Stationary 822.2751 298.8502 450 -0.1415505 0.1594649
Stationary 822.3058 298.8502 450 -0.1415505 0.1594649
Moved 822.3365 306.849 461.3638 -0.1230347 0.1886929
Moved 822.3672 318.3229 472.6583 -0.09647473 0.2177425
Moved 822.3979 334.2304 487.692 -0.05965183 0.2564095
Moved 822.4287 353.8729 502.0521 -0.01418302 0.2933438
Ended 822.4594 398 523 0.08796295 0.3472221
Began 825.1015 437 256 0.1782407 -0.3395062
Stationary 825.1322 437 256 0.1782407 -0.3395062
Stationary 825.163 437 256 0.1782407 -0.3395062
Moved 825.1937 437 269.0181 0.1782407 -0.3060236
Moved 825.2244 420.3323 285.1348 0.1396581 -0.2645711
Moved 825.2551 405.9656 302.6412 0.1064019 -0.2195442
Moved 825.2859 391.6214 318.3786 0.07319758 -0.1790674
Moved 825.3166 379.0038 330.9962 0.04399021 -0.1466147
Moved 825.3473 360.9012 343.485 0.002086163 -0.1144933
Moved 825.378 340.7544 353.2481 -0.04454995 -0.08938251
Moved 825.4088 312.7718 363.8685 -0.1093245 -0.06206677
Moved 825.4395 282.6185 374.7938 -0.1791238 -0.03396658
Moved 825.4702 250.0672 382.1555 -0.2544741 -0.01503234
Moved 825.5009 222.5245 388.9417 -0.3182303 0.002422058
Moved 825.5317 203 391.5 -0.3634259 0.009002057
Moved 825.5624 188.2357 392 -0.3976026 0.01028803
Moved 825.5931 180.5383 392 -0.4154206 0.01028803
Moved 825.6238 177.5 392 -0.4224537 0.01028803
Moved 825.6545 176 392 -0.4259259 0.01028803
Stationary 825.6852 176 392 -0.4259259 0.01028803
Moved 825.716 176 394.686 -0.4259259 0.01719636
Moved 825.7467 197.9616 405.0898 -0.3750889 0.04395516
Moved 825.7775 227.8797 418.0576 -0.3058341 0.07730864
Moved 825.8082 256.0403 428.8901 -0.2406473 0.1051701
Moved 825.8389 276.0391 437.013 -0.194354 0.1260622
Moved 825.8696 288.0802 442.0401 -0.166481 0.1389919
Moved 825.9003 302.4888 450.6933 -0.1331277 0.1612481
Moved 825.931 309.5396 455.7698 -0.1168064 0.1743051
Moved 825.9618 314.6471 459.647 -0.1049837 0.1842773
Moved 825.9925 317.2181 462.2181 -0.09903207 0.1908902
Moved 826.0232 320.1047 467.2094 -0.0923502 0.2037278
Moved 826.0539 321 472.9387 -0.09027779 0.2184635
Moved 826.0847 321 479.9037 -0.09027779 0.2363779
Moved 826.1154 321 488.153 -0.09027779 0.2575951
Moved 826.1461 321 497.7852 -0.09027779 0.2823693
Moved 826.1768 321 504.2625 -0.09027779 0.299029
Moved 826.2075 321 508.2788 -0.09027779 0.309359
Moved 826.2383 321 513.5099 -0.09027779 0.3228135
Moved 826.269 323.7568 517.7568 -0.08389622 0.3337366
Moved 826.2997 327.2583 521.2584 -0.07579087 0.3427426
Moved 826.3304 331.8032 523.8032 -0.06527036 0.349288
Moved 826.3611 336.6872 525 -0.05396475 0.3523662
Moved 826.3919 341.126 526 -0.04368981 0.3549381
Moved 826.4226 345.0597 526 -0.03458406 0.3549381
Moved 826.4533 347.9542 526 -0.0278838 0.3549381
Moved 826.4841 349.3922 526 -0.02455508 0.3549381
Moved 826.5147 351.2665 526 -0.02021651 0.3549381
Moved 826.5455 352.3745 526 -0.01765162 0.3549381
Moved 826.5762 354.0762 526 -0.01371254 0.3549381
Moved 826.6069 355.0087 526 -0.01155401 0.3549381
Moved 826.6376 356.4628 526 -0.00818799 0.3549381
Moved 826.6683 359.4456 526 -0.001283387 0.3549381
Moved 826.6991 375.205 509.11 0.03519684 0.3114968
Moved 826.7299 409.4238 486.1356 0.1144069 0.2524062
Ended 826.7606 434 470 0.1712963 0.2109053
Began 830.2167 355 205 -0.01157408 -0.470679
Stationary 830.2475 355 205 -0.01157408 -0.470679
Stationary 830.2782 355 205 -0.01157408 -0.470679
