effort is what it will take
Direct
0.6 0.6
432 388.8
Began 239.08 242 529 -0.2731481 0.3626543
Stationary 239.1108 242 529 -0.2731481 0.3626543
Stationary 239.1415 242 529 -0.2731481 0.3626543
Stationary 239.1722 242 529 -0.2731481 0.3626543
Moved 239.2029 260.2372 499.2325 -0.2309324 0.2860919
Moved 239.2337 281.5676 459.0089 -0.1815565 0.182636
Moved 239.2643 298.0636 415.1638 -0.1433713 0.06986559
Moved 239.2951 309.679 381.3828 -0.1164838 -0.01701951
Moved 239.3258 318.4145 361.0247 -0.09626285 -0.06938094
Moved 239.3566 325.2322 349.1517 -0.08048093 -0.09991853
Moved 239.3873 329.7561 343.2438 -0.07000893 -0.1151137
Moved 239.418 332.8872 340.1128 -0.06276111 -0.1231667
Moved 239.4487 334.2361 340 -0.05963862 -0.1234569
Moved 239.4795 340.0879 340 -0.04609291 -0.1234569
Moved 239.5102 362.2262 360.2262 0.005153318 -0.07143476
Moved 239.5409 378.5969 376.5969 0.04304836 -0.02932898
Moved 239.5716 394.6395 393.6395 0.08018394 0.01450472
Moved 239.6024 411.5385 410.4487 0.119302 0.05773846
Moved 239.6331 431.1325 425.2771 0.1646586 0.09587727
Moved 239.6638 445.3793 437.3793 0.1976372 0.1270042
Moved 239.6945 456.1436 445.1077 0.2225547 0.1468819
Moved 239.7253 464.581 453.3715 0.2420857 0.1681365
Moved 239.7561 474 463 0.2638889 0.1929011
Moved 239.7868 480.031 470.031 0.2778495 0.210985
Moved 239.8175 482.7803 476.5607 0.2842137 0.2277794
Moved 239.8482 484 482.0875 0.287037 0.2419945
Moved 239.879 484 485.9791 0.287037 0.2520037
Moved 239.9097 484 488.7451 0.287037 0.259118
Moved 239.9404 484 491.5085 0.287037 0.2662254
Moved 239.9711 469.5974 493 0.2536975 0.2700616
Moved 240.0019 450.2087 495 0.2088164 0.2752057
Moved 240.0326 428.3311 495 0.1581738 0.2752057
Moved 240.0633 403.3773 496 0.1004105 0.2777777
Moved 240.094 384.591 496 0.05692373 0.2777777
Moved 240.1248 359.8456 496 -0.0003573795 0.2777777
Moved 240.1555 350.1399 496 -0.02282441 0.2777777
Moved 240.1862 325.9401 496 -0.07884229 0.2777777
Moved 240.2169 315.7077 488.1769 -0.1025285 0.2576567
Moved 240.2476 309.8262 487 -0.1161431 0.2546296
Moved 240.2784 306.6456 487 -0.1235055 0.2546296
Moved 240.3091 306 486.2654 -0.125 0.2527403
Moved 240.3399 305 486 -0.1273148 0.2520575
Moved 240.3706 304 486 -0.1296296 0.2520575
Stationary 240.4013 304 486 -0.1296296 0.2520575
Stationary 240.4321 304 486 -0.1296296 0.2520575
Stationary 240.4628 304 486 -0.1296296 0.2520575
Moved 240.4935 316.353 486 -0.1010348 0.2520575
Moved 240.5243 321.8882 486 -0.08822177 0.2520575
Moved 240.555 326.2131 486 -0.07821048 0.2520575
Moved 240.5858 329.6843 486 -0.07017523 0.2520575
Moved 240.6165 333.4696 486 -0.0614129 0.2520575
Ended 240.6472 338.5 486 -0.04976853 0.2520575
Began 241.7227 495 512 0.3125 0.31893
Stationary 241.7534 495 512 0.3125 0.31893
Stationary 241.7841 495 512 0.3125 0.31893
Stationary 241.8149 495 512 0.3125 0.31893
Moved 241.8456 482.4881 512 0.2835372 0.31893
Moved 241.8763 468.2338 512 0.2505412 0.31893
Moved 241.9071 444.2367 498.5497 0.1949924 0.2843356
Moved 241.9377 409.7047 482.5333 0.1150571 0.243141
Moved 241.9685 370.169 460.5189 0.02353946 0.1865198
Moved 241.9992 332.7551 440.5743 -0.06306693 0.135222
Moved 242.03 303 423.5 -0.1319445 0.09130646
Moved 242.0607 274.3088 406.5049 -0.1983592 0.04759486
Moved 242.0914 258.2517 397.751 -0.2355284 0.02507979
Moved 242.1221 244.5 389.5 -0.2673611 0.003857946
Moved 242.1528 234.8778 383.1583 -0.2896348 -0.01245287
Moved 242.1836 227.8817 379.4409 -0.3058293 -0.02201441
Moved 242.2143 222.0671 375.5335 -0.3192891 -0.03206402
Moved 242.2451 220.7636 374 -0.3223065 -0.03600823
Ended 242.2758 221 374 -0.3217593 -0.03600823
Began 243.6279 212 504 -0.3425926 0.2983539
Stationary 243.6586 212 504 -0.3425926 0.2983539
Stationary 243.6893 212 504 -0.3425926 0.2983539
