this is a very good idea
Direct
0.6 0.6
432 388.8
Began 947.9158 320 527 -0.09259259 0.3575102
Stationary 947.9466 320 527 -0.09259259 0.3575102
Moved 947.9774 335.9738 509.0314 -0.05561615 0.3112948
Moved 948.0081 356 479.5 -0.009259283 0.2353394
Moved 948.0388 378.4586 441.4473 0.04272838 0.1374674
Moved 948.0696 391.6905 418.4952 0.07335762 0.07843402
Moved 948.1003 399.4333 405.1333 0.09128094 0.04406701
Moved 948.1311 403.1491 398.5526 0.09988228 0.02714149
Moved 948.1618 405.9509 395.0491 0.1063678 0.01813041
Moved 948.1926 409.4203 393 0.1143988 0.01285996
Moved 948.2233 440.5853 413.6774 0.18654 0.06604273
Moved 948.254 457.4873 442.8037 0.2256651 0.140956
Moved 948.2849 467.0209 472.0628 0.2477337 0.2162108
Moved 948.3156 470.4341 494.0386 0.2556345 0.2727329
Moved 948.3463 473.1894 508.947 0.2620125 0.3110777
Moved 948.3771 473 519.3676 0.2615741 0.3378795
Moved 948.4078 473 527.0458 0.2615741 0.3576279
Moved 948.4386 473 531.2441 0.2615741 0.3684261
Moved 948.4693 462.3095 532.6726 0.2368276 0.3721002
Moved 948.5001 442.988 533 0.1921018 0.3729423
Moved 948.5308 411.9827 524.3218 0.1203303 0.3506218
Moved 948.5616 378.2031 506.2589 0.04213671 0.3041638
Moved 948.5923 341.9106 484.0691 -0.0418737 0.2470912
Moved 948.6231 298.7815 450.8439 -0.1417096 0.1616355
Moved 948.6539 270.864 427.864 -0.2063335 0.1025307
Moved 948.6846 249.8691 405.3473 -0.2549326 0.04461743
Moved 948.7153 235.0618 391.0618 -0.2892089 0.007874916
Moved 948.7461 225.7428 379.7427 -0.3107806 -0.02123789
Moved 948.7769 221 374 -0.3217593 -0.03600823
Moved 948.8076 220 371.7343 -0.3240741 -0.04183561
Ended 948.8384 220 371.7343 -0.3240741 -0.04183561
Began 949.4226 483 537 0.2847222 0.3832304
Stationary 949.4534 483 537 0.2847222 0.3832304
Stationary 949.4841 483 537 0.2847222 0.3832304
Stationary 949.5149 483 537 0.2847222 0.3832304
Moved 949.5456 462.2081 527.8281 0.2365928 0.35964
Moved 949.5764 436.3413 513.2048 0.1767159 0.3220286
Moved 949.6071 395.445 492.104 0.08204868 0.2677571
Moved 949.6378 356.0221 466.5138 -0.009208123 0.2019387
Moved 949.6686 316.3266 438.0723 -0.1010959 0.1287867
Moved 949.6993 279.118 408.3063 -0.1872267 0.05222799
Moved 949.7301 258.386 390.386 -0.2352176 0.006136678
Moved 949.7609 244.4319 378.6932 -0.2675187 -0.02393723
Moved 949.7916 235.7793 370.8896 -0.287548 -0.0440081
Moved 949.8223 234 368 -0.2916667 -0.05144041
Ended 949.8531 232.7567 368 -0.2945447 -0.05144041
Began 950.3452 161 382 -0.4606481 -0.01543218
Stationary 950.3759 161 382 -0.4606481 -0.01543218
Ended 950.4067 161 382 -0.4606481 -0.01543218
Began 951.5135 335 227 -0.05787035 -0.4140947
Stationary 951.5444 335 227 -0.05787035 -0.4140947
Stationary 951.5751 335 227 -0.05787035 -0.4140947
Stationary 951.6058 335 227 -0.05787035 -0.4140947
Moved 951.6365 335 246.437 -0.05787035 -0.3641024
Moved 951.6674 319.8852 276.2869 -0.09285827 -0.2873279
Moved 951.6981 308.3102 308.7245 -0.1196523 -0.203898
Moved 951.7289 296.2787 338.4427 -0.1475031 -0.1274622
Moved 951.7596 284.2381 375.2382 -0.1753749 -0.03282374
Moved 951.7903 273.8479 405.739 -0.1994262 0.0456248
Moved 951.8211 263.5754 435.7488 -0.2232051 0.1228106
Moved 951.8519 256.5109 458.712 -0.2395582 0.1818723
Moved 951.8826 251.3158 477.105 -0.2515837 0.2291794
Moved 951.9134 248.5645 490.1773 -0.2579525 0.2628017
Moved 951.9442 248 497.3837 -0.2592593 0.2813365
Moved 951.9749 248 502.4126 -0.2592593 0.294271
Moved 952.0056 248 507.7241 -0.2592593 0.3079323
Moved 952.0363 260.3307 509 -0.2307161 0.3112139
Moved 952.0671 270.4583 510 -0.2072724 0.3137859
Moved 952.0979 281.2985 510 -0.1821794 0.3137859
Moved 952.1287 294.4938 510 -0.1516347 0.3137859
Moved 952.1594 308.2543 510 -0.1197816 0.3137859
Moved 952.1901 327.1924 500.8022 -0.07594341 0.290129
