this is a very good idea
Direct
0.6 0.6
432 388.8
Began 615.1199 315 516 -0.1041667 0.329218
Stationary 615.1506 315 516 -0.1041667 0.329218
Stationary 615.1814 315 516 -0.1041667 0.329218
Moved 615.2122 353.8152 469.2043 -0.01431679 0.2088587
Moved 615.2429 407 418.5 0.1087963 0.07844638
Moved 615.2737 427.6868 390.9698 0.1566824 0.007638264
Moved 615.3044 436.6525 375.6951 0.1774363 -0.03164857
Moved 615.3351 441.7494 371 0.1892348 -0.04372435
Moved 615.3658 457.8573 392.4288 0.2265215 0.01139083
Moved 615.3967 474.2798 465.647 0.2645366 0.1997092
Moved 615.4274 476 517.8808 0.2685185 0.3340555
Moved 615.4581 461.4886 534.5114 0.2349273 0.3768297
Moved 615.4889 442.2325 540.3075 0.1903529 0.3917373
Moved 615.5197 370.3994 504.9028 0.02407282 0.3006757
Moved 615.5504 301.1645 456.0496 -0.1361933 0.1750247
Moved 615.5812 261.0045 418.6965 -0.2291562 0.07895178
Moved 615.6119 234.0142 394.0142 -0.2916338 0.01546848
Ended 615.6426 234.0142 394.0142 -0.2916338 0.01546848
Began 616.4114 495 516 0.3125 0.329218
Stationary 616.4421 495 516 0.3125 0.329218
Moved 616.4729 443.4034 493.9902 0.1930634 0.2726086
Moved 616.5036 337.7833 445.5489 -0.05142758 0.1480166
Moved 616.5344 248.1705 389.1478 -0.2588646 0.002951995
Moved 616.5651 217.4903 365.3923 -0.3298835 -0.05814752
Ended 616.5959 208 357 -0.3518518 -0.07973259
Began 617.4569 207 394 -0.3541667 0.01543206
Stationary 617.4876 207 394 -0.3541667 0.01543206
Ended 617.5184 207 394 -0.3541667 0.01543206
Began 618.3486 367 242 0.01620372 -0.3755144
Stationary 618.3795 367 242 0.01620372 -0.3755144
Stationary 618.4102 367 242 0.01620372 -0.3755144
Moved 618.4409 355.0688 263.2213 -0.01141494 -0.3209331
Moved 618.4717 339.0785 294.5228 -0.04842947 -0.2404249
Moved 618.5024 318.8431 341.9076 -0.09527057 -0.1185505
Moved 618.5331 301.3489 376.3022 -0.1357664 -0.03008705
Moved 618.5639 285.4123 401.3815 -0.1726567 0.03441744
Moved 618.5947 273.4099 418.8851 -0.20044 0.07943695
Moved 618.6254 262.4738 433.9078 -0.2257552 0.1180757
Moved 618.6562 255.2326 444.6898 -0.2425171 0.1458071
Moved 618.6868 249.0936 453.3596 -0.2567278 0.1681059
Moved 618.7177 248 458.0045 -0.2592593 0.1800525
Moved 618.7484 248 462.5406 -0.2592593 0.1917197
Moved 618.7792 277.7367 473.3036 -0.1904243 0.2194022
Moved 618.8099 314.4214 479.7745 -0.1055061 0.2360454
Moved 618.8406 342.5211 482.9468 -0.04046033 0.2442046
Moved 618.8714 356.9964 484.1993 -0.006952783 0.2474261
Ended 618.9021 365 484 0.01157403 0.2469135
Began 619.7017 383 342 0.05324075 -0.1183128
Stationary 619.7324 383 342 0.05324075 -0.1183128
Moved 619.7632 383 356.5107 0.05324075 -0.08099112
Moved 619.7939 404.9892 380.9891 0.1041416 -0.01803206
Moved 619.8246 429.917 401.6252 0.1618448 0.03504431
Moved 619.8554 477.9044 428.2911 0.272927 0.1036294
Moved 619.8861 505.7704 443.9081 0.3374314 0.1437966
Moved 619.9169 522.2175 456.174 0.3755035 0.1753446
Moved 619.9477 529.6888 462.6888 0.3927981 0.1921007
Moved 619.9785 532 472.205 0.3981481 0.2165766
Moved 620.0091 532 486.7525 0.3981481 0.253993
Moved 620.0399 468.4037 491 0.2509345 0.2649176
Moved 620.0707 397.8226 470.886 0.08755237 0.2131841
Moved 620.1014 333.1494 432.6046 -0.06215413 0.1147237
Moved 620.1321 285.2995 395.1996 -0.1729179 0.01851741
Moved 620.1629 261.9773 372.1402 -0.2269044 -0.04079167
Ended 620.1937 258 367.5 -0.2361111 -0.05272634
Began 620.8394 544 533 0.4259259 0.3729423
Stationary 620.8702 544 533 0.4259259 0.3729423
Stationary 620.9009 544 533 0.4259259 0.3729423
Stationary 620.9317 544 533 0.4259259 0.3729423
Stationary 620.9625 544 533 0.4259259 0.3729423
Moved 620.9932 535.8551 533 0.407072 0.3729423
Moved 621.0239 528.6759 533 0.3904534 0.3729423
Moved 621.0547 516.0257 525.0411 0.3611706 0.352472
Moved 621.0854 503.9877 520.6626 0.3333049 0.3412104
