they might find your comment offensive
Direct
0.6 0.6
432 388.8
Began 716.2124 260 495 -0.2314815 0.2752057
Stationary 716.2432 260 495 -0.2314815 0.2752057
Moved 716.2739 275.8795 495 -0.1947234 0.2752057
Moved 716.3046 307.5 495 -0.1215278 0.2752057
Moved 716.3353 352.8911 461.0726 -0.01645585 0.1879439
Moved 716.366 382.0126 437.0999 0.05095512 0.1262857
Moved 716.3967 394.9528 421.059 0.08090923 0.08502831
Moved 716.4274 399.5577 413.8845 0.09156883 0.06657533
Moved 716.4581 377.983 412 0.04162728 0.06172835
Moved 716.4888 360.3271 422.4486 0.0007571777 0.08860235
Moved 716.5195 305.2043 442.6267 -0.1268419 0.1405008
Moved 716.5503 263.9668 460.2999 -0.2222991 0.1859565
Moved 716.5809 243.052 471.7688 -0.2707129 0.2154547
Moved 716.6117 234.0597 477.4702 -0.2915285 0.2301187
Moved 716.6424 232 482.9678 -0.2962963 0.2442587
Moved 716.6731 251.1557 500.6168 -0.2519543 0.2896523
Moved 716.7038 319.0154 526.7935 -0.09487186 0.3569791
Moved 716.7346 340.9581 528.5972 -0.04407848 0.3616183
Moved 716.7652 370.4349 529 0.02415498 0.3626543
Moved 716.7959 384.0676 529 0.05571207 0.3626543
Ended 716.8266 391 529 0.07175922 0.3626543
Began 717.2873 484 289 0.287037 -0.2546296
Moved 717.3179 475.8493 306.1507 0.2681696 -0.2105177
Moved 717.3487 458.5716 371.8849 0.2281749 -0.04144841
Moved 717.3794 452.8523 444.9886 0.2149358 0.1465756
Moved 717.4101 450 492.8418 0.2083333 0.2696547
Moved 717.4408 449.0437 516.7377 0.2061197 0.3311153
Moved 717.4715 447.1744 523.8256 0.2017925 0.3493456
Moved 717.5022 443.2044 526.3978 0.1926029 0.3559613
Moved 717.5329 398.8469 505.525 0.08992334 0.3022762
Moved 717.5637 313.8584 451.6438 -0.1068093 0.1636928
Moved 717.5944 291.5911 435.3638 -0.158354 0.1218203
Moved 717.6251 282.8425 428.8425 -0.1786053 0.1050476
Moved 717.6558 281 428 -0.1828704 0.1028806
Moved 717.6865 303.6776 427 -0.130376 0.1003086
Moved 717.7172 361.274 447.5822 0.002949138 0.1532463
Moved 717.7479 390.5872 456.4349 0.07080376 0.1760155
Moved 717.7786 400.1874 458 0.09302636 0.180041
Moved 717.8093 402 459.4614 0.09722222 0.1837999
Moved 717.84 373.8072 485.1928 0.03196101 0.2499814
Moved 717.8707 340.9601 514.0399 -0.04407396 0.3241767
Moved 717.9014 324.9299 531.8376 -0.08118078 0.3699527
Moved 717.9321 320.7841 539.6477 -0.09077752 0.3900403
Ended 717.9628 321 541 -0.09027779 0.3935184
Began 718.3007 266 401 -0.2175926 0.03343609
Stationary 718.3314 266 401 -0.2175926 0.03343609
Stationary 718.3621 266 401 -0.2175926 0.03343609
Stationary 718.3928 266 401 -0.2175926 0.03343609
Moved 718.4235 323.2731 450.3033 -0.08501599 0.1602451
Moved 718.4542 389.3295 508.213 0.06789227 0.3091898
Moved 718.4849 422.9477 532.9634 0.1457122 0.3728481
Moved 718.5156 436.9552 542.3035 0.1781371 0.3968709
Moved 718.5463 441.4103 545.4103 0.1884498 0.4048619
Moved 718.5771 444.2949 545 0.1951271 0.4038065
Moved 718.6077 427.3246 451.8132 0.155844 0.1641284
Moved 718.6384 401.5839 369.3976 0.09625892 -0.0478458
Moved 718.6691 389.891 331.1185 0.06919215 -0.1463002
Moved 718.6997 383.1295 314.259 0.05354057 -0.189663
Moved 718.7306 364.2755 311 0.009896954 -0.1980453
Moved 718.7613 315.2063 363.38 -0.103689 -0.06332311
Moved 718.792 284.1271 409.8094 -0.1756318 0.05609406
Moved 718.8227 265.8964 445.2072 -0.2178324 0.1471378
Moved 718.8535 264.9003 447.1994 -0.2201382 0.1522618
Ended 718.8842 265 451.5 -0.2199074 0.163323
Began 719.1912 273 499 -0.2013889 0.2854938
Stationary 719.2219 273 499 -0.2013889 0.2854938
Stationary 719.2526 273 499 -0.2013889 0.2854938
Stationary 719.2834 273 499 -0.2013889 0.2854938
Moved 719.3141 337.4904 516.8726 -0.05210553 0.3314624
Moved 719.3448 454.5 548 0.21875 0.4115225
Moved 719.3755 484.114 551.374 0.2873011 0.4202006
Moved 719.4062 502.278 553 0.3293471 0.4243826
