the collapse of the Roman empire
Direct
0.6 0.6
432 388.8
Moved 1613.026 556.0004 539 0.4537046 0.3883744
Stationary 1613.056 556 539 0.4537037 0.3883744
Moved 1613.087 557 540.5 0.4560185 0.3922324
Moved 1613.118 558.0497 540 0.4584485 0.3909464
Stationary 1613.148 558 540 0.4583333 0.3909464
Moved 1613.179 559 541.1607 0.4606481 0.3939318
Stationary 1613.21 559 541.1607 0.4606481 0.3939318
Stationary 1613.241 559 541 0.4606481 0.3935184
Moved 1613.271 560.5 541 0.4641204 0.3935184
Stationary 1613.302 560.5 541 0.4641204 0.3935184
Stationary 1613.333 560.5 541 0.4641204 0.3935184
Stationary 1613.364 560.5 541 0.4641204 0.3935184
Moved 1613.394 560 541 0.462963 0.3935184
Stationary 1613.425 560 541 0.462963 0.3935184
Moved 1613.456 547.6987 541 0.4344877 0.3935184
Moved 1613.487 527.2254 529.1252 0.3870958 0.3629763
Moved 1613.517 492.5 508 0.306713 0.3086419
Moved 1613.548 453.4732 488.2366 0.2163731 0.2578101
Moved 1613.579 420.3146 473.5825 0.139617 0.2201196
Moved 1613.609 393.7167 461.6243 0.07804791 0.1893627
Moved 1613.64 359.579 444.081 -0.0009745857 0.1442412
Moved 1613.671 323.4034 427.8606 -0.08471444 0.1025221
Moved 1613.702 288.2275 408.3827 -0.16614 0.05242457
Moved 1613.733 260.982 391.1011 -0.2292084 0.007975974
Moved 1613.763 240.7056 378.6889 -0.2761444 -0.02394837
Moved 1613.794 228.7333 369.2999 -0.3038582 -0.04809697
Moved 1613.825 219.6819 362.6819 -0.3248104 -0.06511869
Moved 1613.855 216.3478 360 -0.3325283 -0.07201654
Moved 1613.886 213.8048 358.8047 -0.3384149 -0.07509074
Stationary 1613.917 214 359 -0.3379629 -0.07458848
Stationary 1613.948 214 359 -0.3379629 -0.07458848
Moved 1613.978 214 387 -0.3379629 -0.002572055
Moved 1614.009 228.1944 413.4859 -0.3051057 0.06555007
Moved 1614.04 234.7025 436.1075 -0.2900405 0.1237332
Moved 1614.071 243.5471 460.7923 -0.2695669 0.187223
Moved 1614.101 252.1639 485.1038 -0.2496206 0.2497524
Moved 1614.132 258.8705 502.6115 -0.2340961 0.2947825
Moved 1614.163 264.2573 512.5146 -0.2216266 0.3202535
Moved 1614.194 269.4672 519.4672 -0.2095668 0.3381356
Ended 1614.224 275.0433 523.026 -0.196659 0.3472891
Began 1615.638 511 484 0.349537 0.2469135
Stationary 1615.669 511 484 0.349537 0.2469135
Stationary 1615.7 511 484 0.349537 0.2469135
Stationary 1615.731 511 484 0.349537 0.2469135
Stationary 1615.761 511 484 0.349537 0.2469135
Stationary 1615.792 511 484 0.349537 0.2469135
Stationary 1615.823 511 484 0.349537 0.2469135
Stationary 1615.854 511 484 0.349537 0.2469135
Moved 1615.884 494.7281 484 0.3118705 0.2469135
Moved 1615.915 476.0946 478.9779 0.2687376 0.2339965
Moved 1615.946 453.1592 469.4478 0.2156462 0.2094849
Moved 1615.976 436.8793 460.8054 0.1779614 0.1872567
Moved 1616.007 426.9315 454.9572 0.154934 0.1722149
Moved 1616.038 402.8892 442.4446 0.09928046 0.1400323
Moved 1616.069 383.4736 433.8026 0.05433708 0.117805
Moved 1616.099 360.6084 423.3042 0.001408358 0.09080294
Moved 1616.13 336.9116 409.5064 -0.05344544 0.05531479
Moved 1616.161 313.3419 395.9678 -0.1080047 0.02049324
Moved 1616.192 299.226 389.113 -0.1406806 0.002862514
Moved 1616.222 290.5 384 -0.1608796 -0.01028807
Moved 1616.253 283.6046 380.403 -0.1768413 -0.01953957
Moved 1616.284 278.4185 377.7092 -0.1888461 -0.02646811
Moved 1616.315 273.1779 374.1779 -0.2009772 -0.03555086
