the facts get in the way
Direct
0.6 0.6
432 388.8
Began 790.4927 326 492 -0.07870371 0.2674896
Stationary 790.5236 326 492 -0.07870371 0.2674896
Stationary 790.5543 326 492 -0.07870371 0.2674896
Moved 790.585 340.9029 480.0777 -0.04420628 0.2368253
Moved 790.6158 363.1412 466.5946 0.00727127 0.2021466
Moved 790.6465 388.3106 444.6894 0.06553381 0.145806
Moved 790.6773 406.7981 422.2692 0.108329 0.08814082
Moved 790.7081 419.8915 401.4399 0.1386377 0.03456771
Moved 790.7388 425.2879 392.0682 0.1511294 0.01046338
Moved 790.7695 428.3989 385.2021 0.1583308 -0.007196198
Moved 790.8002 429 379.6598 0.1597223 -0.02145123
Moved 790.831 429 377.2944 0.1597223 -0.02753497
Moved 790.8617 415.1032 377 0.1275536 -0.02829226
Moved 790.8925 382.0596 399.3433 0.05106399 0.02917517
Moved 790.9232 352.8836 424.1968 -0.01647318 0.09309866
Moved 790.954 328.4443 448.8112 -0.07304554 0.1564074
Moved 790.9847 307.3813 470.7218 -0.1218025 0.2127618
Moved 791.0155 294.507 484.3662 -0.1516041 0.2478554
Moved 791.0463 287.7181 491.2819 -0.1673191 0.2656426
Ended 791.077 286 492 -0.1712963 0.2674896
Began 791.8763 349 364 -0.02546296 -0.06172839
Stationary 791.9071 349 364 -0.02546296 -0.06172839
Stationary 791.9378 349 364 -0.02546296 -0.06172839
Stationary 791.9686 349 364 -0.02546296 -0.06172839
Moved 791.9993 334.497 364 -0.05903463 -0.06172839
Moved 792.03 317.7849 374.2151 -0.09772003 -0.0354551
Moved 792.0608 287.3287 375.2226 -0.1682206 -0.03286377
Moved 792.0915 251.2285 375 -0.2517858 -0.03343629
Moved 792.1223 219.4546 375 -0.3253365 -0.03343629
Moved 792.153 197.9213 365.8459 -0.3751822 -0.05698082
Moved 792.1837 185.3276 363.0819 -0.4043343 -0.06408989
Moved 792.2145 180 360.5 -0.4166667 -0.07073053
Moved 792.2452 177.8835 358.8835 -0.421566 -0.07488824
Moved 792.276 178 346.6702 -0.4212963 -0.1063009
Moved 792.3068 204.5152 320.8333 -0.3599186 -0.1727538
Moved 792.3375 226.5673 297.4327 -0.308872 -0.2329407
Moved 792.3682 254.7153 268.4453 -0.2437146 -0.3074966
Moved 792.3989 274.6173 247.3827 -0.197645 -0.3616701
Moved 792.4297 287.4681 234.1649 -0.167898 -0.3956663
Moved 792.4604 296.5208 226.6389 -0.1469426 -0.4150234
Moved 792.4913 303.1927 221.8073 -0.1314984 -0.4274505
Moved 792.522 307.7119 220 -0.1210373 -0.4320988
Moved 792.5527 310.1277 218 -0.1154453 -0.4372429
Moved 792.5834 312.5694 218 -0.1097931 -0.4372429
Moved 792.6142 316.6673 227.3356 -0.1003072 -0.4132315
Moved 792.645 323.2006 248.7019 -0.08518388 -0.3582771
Moved 792.6757 331.5488 276.2837 -0.06585921 -0.2873363
Moved 792.7062 346.9815 315.8123 -0.03013541 -0.1856681
Moved 792.7372 365.285 352.5701 0.01223385 -0.09112636
Moved 792.7679 380.4099 380.8198 0.04724513 -0.01846769
Moved 792.7986 387.4002 397.2007 0.0634265 0.02366435
Moved 792.8294 395.0567 412.1133 0.08114974 0.06201987
Moved 792.8601 400.5862 426.7585 0.09394953 0.09968753
Moved 792.8909 405.5513 440.2052 0.1054428 0.1342725
Moved 792.9216 406.9796 448.9182 0.108749 0.1566824
Moved 792.9523 407 457.2274 0.1087963 0.1780539
Moved 792.9831 407 463 0.1087963 0.1929011
Moved 793.0139 407 468.2756 0.1087963 0.20647
Moved 793.0446 407 472.4874 0.1087963 0.2173028
Moved 793.0753 407 478 0.1087963 0.2314814
Moved 793.1061 398.0759 481.5497 0.08813867 0.2406114
Moved 793.1368 397.2148 483.7853 0.0861453 0.2463613
Moved 793.1676 395.5169 486.4831 0.08221518 0.2533
Moved 793.1983 393.7478 488 0.07812003 0.2572016
Moved 793.229 391.9814 489 0.07403096 0.2597736
Moved 793.2598 390.8207 490.1793 0.07134427 0.2628066
Moved 793.2906 390 490 0.06944448 0.2623456
Moved 793.3213 388.041 490 0.06490976 0.2623456
Moved 793.3521 386.6409 490 0.06166875 0.2623456
Moved 793.3828 384.8238 480.6475 0.05746246 0.2382908
Moved 793.4136 384 472.1861 0.0555556 0.2165279
