the bathroom is good for reading
Direct
0.6 0.6
432 388.8
Began 676.1433 365 521 0.01157403 0.3420781
Stationary 676.174 365 521 0.01157403 0.3420781
Stationary 676.2047 365 521 0.01157403 0.3420781
Stationary 676.2355 365 521 0.01157403 0.3420781
Moved 676.2662 365 506.1167 0.01157403 0.303798
Moved 676.2969 365 490.3192 0.01157403 0.2631664
Moved 676.3277 378.0291 465.9127 0.04173398 0.2003927
Moved 676.3585 383.7398 442.3009 0.0549533 0.1396628
Moved 676.3892 391.4952 403.0288 0.07290562 0.03865426
Moved 676.4199 396.0208 377.9067 0.08338134 -0.02596019
Moved 676.4506 399.7715 361.1425 0.09206364 -0.06907804
Moved 676.4813 401.2054 354.3836 0.09538292 -0.086462
Moved 676.5121 401 351.0371 0.09490739 -0.09506924
Moved 676.5428 401 349.668 0.09490739 -0.09859069
Moved 676.5736 382.1339 363.3494 0.05123575 -0.06340176
Moved 676.6042 348.2809 390.8355 -0.02712747 0.0072929
Moved 676.635 320.145 417.855 -0.09225707 0.07678758
Moved 676.6658 298.1777 439.2255 -0.1431072 0.1317529
Moved 676.6965 279.7442 453.3798 -0.1857774 0.1681579
Moved 676.7272 264.565 467.435 -0.2209143 0.204308
Moved 676.758 257.2946 473.3527 -0.2377439 0.2195286
Moved 676.7887 254.8753 476 -0.2433442 0.2263374
Moved 676.8195 254 477 -0.2453704 0.2289094
Ended 676.8502 254 477 -0.2453704 0.2289094
Began 677.5878 400 273 0.09259263 -0.295782
Stationary 677.6186 400 273 0.09259263 -0.295782
Stationary 677.6493 400 273 0.09259263 -0.295782
Stationary 677.68 400 273 0.09259263 -0.295782
Stationary 677.7108 400 273 0.09259263 -0.295782
Moved 677.7415 381.3624 273 0.0494499 -0.295782
Moved 677.7722 360.7635 273 0.001767476 -0.295782
Moved 677.803 319.9796 292.1837 -0.09263972 -0.2464413
Moved 677.8337 277.7478 320.4054 -0.1903987 -0.1738545
Moved 677.8644 246.8207 342.7862 -0.2619891 -0.1162908
Moved 677.8951 225.3458 362.6542 -0.3116995 -0.06518988
Moved 677.9259 214.8036 374.6607 -0.3361028 -0.03430888
Moved 677.9566 208.6176 383.7648 -0.3504222 -0.01089316
Moved 677.9874 205.8544 387.1456 -0.3568186 -0.002197532
Moved 678.0181 206 388.9009 -0.3564815 0.002317193
Moved 678.0488 216.2061 396.103 -0.3328562 0.02084104
Moved 678.0795 268.3938 443.1658 -0.2120514 0.1418873
Moved 678.1103 298.1692 473.1692 -0.1431268 0.2190564
Moved 678.141 314.8664 494.5108 -0.1044759 0.2739475
Moved 678.1718 323.189 505.252 -0.0852106 0.301574
Moved 678.2025 326.8279 508.8279 -0.07678732 0.3107713
Moved 678.2333 327.5944 510.5944 -0.07501289 0.3153147
Moved 678.264 328.5 511.5 -0.07291664 0.317644
Moved 678.2947 330.6697 511 -0.06789421 0.3163579
Moved 678.3254 340 493 -0.04629632 0.2700616
Moved 678.3562 360.4561 461.4913 0.001055698 0.1890208
Moved 678.3869 378.0584 436.4124 0.04180183 0.1245175
Moved 678.4177 392.2685 410.0301 0.07469565 0.05666171
Moved 678.4484 404.305 392.0425 0.1025577 0.01039744
Moved 678.4791 412.1436 377.6409 0.1207029 -0.02664377
Moved 678.5098 417.7113 372.2887 0.1335911 -0.04040973
Moved 678.5406 421.2403 366.7597 0.1417599 -0.05463039
Moved 678.5714 424.0058 362.9942 0.1481615 -0.0643154
Moved 678.6021 425 361 0.150463 -0.06944452
Moved 678.6328 426 360 0.1527777 -0.07201654
Moved 678.6635 427.5 358.5 0.15625 -0.07587456
Ended 678.6943 430.7021 357.6489 0.1636623 -0.07806346
Backspace 680.0773
Began 681.5219 358 520 -0.004629641 0.3395061
Stationary 681.5526 358 520 -0.004629641 0.3395061
Stationary 681.5834 358 520 -0.004629641 0.3395061
Stationary 681.6141 358 520 -0.004629641 0.3395061
Stationary 681.6448 358 520 -0.004629641 0.3395061
Moved 681.6755 358 474.0568 -0.004629641 0.2213394
Moved 681.7063 358 427.2625 -0.004629641 0.1009836
Moved 681.7371 376.123 389.1293 0.03732184 0.002904625
Moved 681.7678 392.7462 356.9653 0.07580131 -0.07982168
Moved 681.7985 403.7099 342.8169 0.1011803 -0.1162118
Moved 681.8293 408.9863 336.0137 0.1133942 -0.1337097
