travel at the speed of light
Direct
0.6 0.6
432 388.8
Moved 1078.765 405 358 0.1041667 -0.07716057
Moved 1078.796 376.9623 371.0377 0.03926456 -0.04362742
Moved 1078.827 342.3717 395.7026 -0.04080623 0.01981127
Moved 1078.857 315.2957 417.8662 -0.1034821 0.07681631
Moved 1078.888 287.9788 445.0212 -0.1667158 0.1466593
Moved 1078.919 260.8463 472.393 -0.2295225 0.2170601
Moved 1078.95 243.4283 491.5717 -0.2698418 0.2663879
Moved 1078.98 236.4867 498.5133 -0.2859104 0.2842419
Moved 1079.011 232 502 -0.2962963 0.2932098
Stationary 1079.042 232 502 -0.2962963 0.2932098
Ended 1079.073 232 502 -0.2962963 0.2932098
Began 1079.687 254 358 -0.2453704 -0.07716057
Stationary 1079.718 254 358 -0.2453704 -0.07716057
Stationary 1079.749 254 358 -0.2453704 -0.07716057
Stationary 1079.779 254 358 -0.2453704 -0.07716057
Stationary 1079.81 254 358 -0.2453704 -0.07716057
Moved 1079.841 244.4881 365.3982 -0.2673888 -0.05813237
Moved 1079.872 239.2268 366.9244 -0.2795677 -0.05420677
Moved 1079.902 231.543 370.9713 -0.2973542 -0.04379814
Moved 1079.933 225.2919 373.3541 -0.3118243 -0.03766958
Moved 1079.964 222.7775 374 -0.3176446 -0.03600823
Moved 1079.995 223 375.5 -0.3171296 -0.03215028
Moved 1080.025 223 378.6222 -0.3171296 -0.02411995
Moved 1080.056 233.4917 384.4965 -0.2928433 -0.009011241
Moved 1080.087 247.2369 394.4913 -0.2610257 0.01669562
Moved 1080.118 280.0369 407.6255 -0.1850997 0.05047708
Moved 1080.148 329.4977 424.0784 -0.07060707 0.09279408
Moved 1080.179 425.2773 462.1907 0.1511049 0.1908195
Moved 1080.21 510 492 0.3472221 0.2674896
Moved 1080.24 558.1088 508.4435 0.4585852 0.3097826
Moved 1080.271 575.8739 513.937 0.4997081 0.3239118
Moved 1080.302 581.8467 516.8467 0.5135342 0.3313958
Moved 1080.333 586.7861 518 0.5249677 0.3343621
Moved 1080.363 587.5 518 0.5266203 0.3343621
Moved 1080.394 588.3278 519.3278 0.5285367 0.3377772
Moved 1080.425 589.1787 519 0.5305063 0.3369341
Moved 1080.456 590 519 0.5324074 0.3369341
Stationary 1080.486 590 519 0.5324074 0.3369341
Moved 1080.517 591.0456 519 0.5348278 0.3369341
Stationary 1080.548 591 519 0.5347222 0.3369341
Stationary 1080.578 591 519 0.5347222 0.3369341
Stationary 1080.609 591 519 0.5347222 0.3369341
Stationary 1080.64 591 519 0.5347222 0.3369341
Stationary 1080.671 591 519 0.5347222 0.3369341
Stationary 1080.702 591 519 0.5347222 0.3369341
Moved 1080.732 574.4061 519 0.4963103 0.3369341
Moved 1080.763 538.5 512 0.4131944 0.31893
Moved 1080.794 491.0588 512 0.3033769 0.31893
Moved 1080.824 451.6108 512 0.2120621 0.31893
Moved 1080.855 418.0581 512 0.1343938 0.31893
Moved 1080.886 391.4158 512 0.07272173 0.31893
Moved 1080.917 352.5566 512 -0.01723001 0.31893
Moved 1080.947 315.7924 511 -0.1023324 0.3163579
Moved 1080.978 287.6837 511 -0.1673989 0.3163579
Moved 1081.009 266.5055 509.4176 -0.2164225 0.312288
Moved 1081.04 253.1385 509 -0.2473645 0.3112139
Moved 1081.07 249.3532 509 -0.2561268 0.3112139
Moved 1081.101 248.5 509 -0.2581019 0.3112139
Moved 1081.132 249 509 -0.2569445 0.3112139
Stationary 1081.162 249 509 -0.2569445 0.3112139
Stationary 1081.193 249 509 -0.2569445 0.3112139
Stationary 1081.224 249 509 -0.2569445 0.3112139
Stationary 1081.255 249 509 -0.2569445 0.3112139
Moved 1081.285 264.3607 493.2787 -0.2213873 0.2707784
Moved 1081.316 276 472.5 -0.1944444 0.2173353
Moved 1081.347 281.1991 449.6061 -0.1824094 0.1584519
Moved 1081.378 287.1597 425.2812 -0.1686118 0.09588774
Moved 1081.408 289.9488 408.2562 -0.1621556 0.0520991
Moved 1081.439 292.3367 397.6532 -0.156628 0.02482814
Moved 1081.47 294 391.3346 -0.1527778 0.008576632
Moved 1081.5 296.2062 390 -0.1476708 0.005143954
