I can play much better now
Direct
0.6 0.6
432 388.8
Began 532.6011 492 492 0.3055556 0.2674896
Stationary 532.6318 492 492 0.3055556 0.2674896
Stationary 532.6625 492 492 0.3055556 0.2674896
Ended 532.6932 492 492 0.3055556 0.2674896
Began 533.6457 321 217 -0.09027779 -0.4398148
Moved 533.6765 294.4737 233.8921 -0.1516812 -0.3963681
Moved 533.7072 220.1892 291.7693 -0.323636 -0.2475069
Moved 533.7379 183.6878 327.6371 -0.4081301 -0.1552544
Moved 533.7686 174 343.9114 -0.4305556 -0.1133967
Moved 533.7993 178.0759 353.5474 -0.4211207 -0.08861267
Moved 533.8301 262.1357 366.7641 -0.2265378 -0.05461916
Moved 533.8607 372.1046 305.3665 0.02801995 -0.2125349
Moved 533.8915 422.9132 256.4346 0.1456324 -0.3383885
Moved 533.9222 448.2052 228.0939 0.2041787 -0.4112813
Ended 533.953 463 215 0.2384259 -0.4449589
Began 534.1066 583 483 0.5162038 0.2443414
Stationary 534.1373 583 483 0.5162038 0.2443414
Stationary 534.1681 583 483 0.5162038 0.2443414
Stationary 534.1988 583 483 0.5162038 0.2443414
Moved 534.2295 564.9907 440.6465 0.4745155 0.1354075
Moved 534.2603 537.2809 402.8511 0.4103724 0.03819709
Moved 534.291 488.4867 358.8428 0.2974229 -0.07499295
Moved 534.3217 397.8869 334.3654 0.08770107 -0.1379491
Moved 534.3524 288.469 346.059 -0.165581 -0.1078729
Moved 534.3832 218.0098 351.3884 -0.3286811 -0.0941658
Moved 534.4138 191.6763 351 -0.3896382 -0.09516476
Moved 534.4446 181.6604 351 -0.4128231 -0.09516476
Moved 534.4753 176.3453 351 -0.4251266 -0.09516476
Moved 534.506 184.4953 376.743 -0.4062608 -0.02895331
Moved 534.5368 240.5212 452.9015 -0.2765714 0.1669277
Moved 534.5675 283.6629 492.6629 -0.1767063 0.2691946
Moved 534.5982 312.45 513.225 -0.1100695 0.3220806
Moved 534.6289 335.9638 525.8365 -0.05563924 0.3545176
Ended 534.6596 356.3323 530.2592 -0.008489986 0.3658928
Began 535.3049 456 227 0.2222222 -0.4140947
Stationary 535.3356 456 227 0.2222222 -0.4140947
Moved 535.3663 420.7167 329.5243 0.1405479 -0.1504005
Moved 535.3971 403.8603 434.676 0.1015286 0.1200513
Moved 535.4278 403 492.3323 0.09953707 0.2683442
Moved 535.4585 403 503.0453 0.09953707 0.2958984
Moved 535.4893 403 506.8384 0.09953707 0.3056542
Moved 535.52 403 507 0.09953707 0.3060699
Moved 535.5507 358.662 412.324 -0.003097157 0.06256174
Moved 535.5814 336.3727 330.8638 -0.05469272 -0.1469554
Moved 535.6122 327.9902 277.9122 -0.07409666 -0.2831478
Moved 535.6429 328 252.4196 -0.07407407 -0.3487152
Moved 535.6736 328 243.6106 -0.07407407 -0.3713719
Moved 535.7043 340.7881 243 -0.04447212 -0.3729424
Moved 535.735 386.2463 315.5099 0.06075541 -0.1864458
Moved 535.7657 407.2534 360.7979 0.1093829 -0.06996429
Ended 535.7964 425 389 0.150463 0.002572016
Began 536.1345 409 211 0.113426 -0.455247
Stationary 536.1652 409 211 0.113426 -0.455247
Moved 536.1959 374.8854 271.3393 0.03445695 -0.3000532
Moved 536.2266 342.1438 340.7123 -0.04133373 -0.1216246
Moved 536.2574 312.588 406.7148 -0.10975 0.04813484
Moved 536.2881 299.4757 442.0811 -0.1401026 0.1390974
Moved 536.3188 294.627 466.3566 -0.1513263 0.2015343
Moved 536.3496 295 482.3828 -0.150463 0.2427539
Moved 536.3802 295 492.5112 -0.150463 0.2688045
Moved 536.411 319.6493 501.2164 -0.0934045 0.2911944
Moved 536.4418 353.213 501 -0.01571069 0.2906378
Moved 536.4725 368.477 492.6184 0.01962264 0.2690802
Moved 536.5032 383.6774 488.0806 0.05480875 0.257409
Moved 536.5339 387.7852 486 0.06431748 0.2520575
Moved 536.5646 388 484.8746 0.06481478 0.2491631
Moved 536.5953 364.9624 482.8302 0.01148701 0.2439048
Moved 536.626 329.5931 483 -0.07038633 0.2443414
Moved 536.6568 298.9886 483 -0.1412301 0.2443414
Moved 536.6876 279.5649 483 -0.1861922 0.2443414
Moved 536.7183 265.2433 483 -0.2193442 0.2443414
Moved 536.749 254.3266 483 -0.2446143 0.2443414
Moved 536.7797 248.3563 483 -0.2584344 0.2443414
Moved 536.8104 247 490.634 -0.2615741 0.2639761
Moved 536.8411 269.1027 501.5321 -0.2104105 0.2920064
Moved 536.8719 350.2552 517.5255 -0.02255743 0.3331417
Ended 536.9025 423 530 0.1458333 0.3652262
Began 537.6093 437 230 0.1782407 -0.4063786
Stationary 537.64 437 230 0.1782407 -0.4063786
Stationary 537.6707 437 230 0.1782407 -0.4063786
Moved 537.7015 464.8014 310.2056 0.2425958 -0.2000885
Moved 537.7322 492.0121 434.8557 0.3055836 0.1205136
Moved 537.7629 505.5615 488.2461 0.3369479 0.2578345
Moved 537.7936 511.1086 509.3802 0.3497886 0.3121919
Moved 537.8243 513 527.0402 0.3541666 0.3576135
Moved 537.8551 499.6996 552.7421 0.3233787 0.4237193
Moved 537.8858 366.4197 587 0.01486033 0.5118312
Moved 537.9165 288.0599 571.5225 -0.1665279 0.4720226
Moved 537.9473 268.6321 565.2714 -0.2114998 0.4559449
Moved 537.978 254.5 563 -0.244213 0.4501028
Moved 538.0087 236.5275 559.5092 -0.285816 0.4411243
Ended 538.0394 235 559 -0.2893518 0.4398148
PhraseEnd 538.5618
