this is a non profit organization
Direct
0.6 0.6
432 388.8
Began 433.2445 349 513 -0.02546296 0.321502
Stationary 433.2752 349 513 -0.02546296 0.321502
Stationary 433.3059 349 513 -0.02546296 0.321502
Moved 433.3366 349 492.3305 -0.02546296 0.2683397
Moved 433.3673 369.3262 460.6171 0.02158841 0.1867724
Moved 433.398 383.0075 422.9775 0.05325814 0.0899626
Moved 433.4288 394.4903 396.0194 0.07983863 0.02062597
Moved 433.4595 402.5 376 0.09837966 -0.03086435
Moved 433.4903 405.9961 372.0039 0.1064724 -0.04114229
Moved 433.521 410.6405 370 0.1172235 -0.04629637
Moved 433.5517 426.2346 383.9824 0.1533208 -0.01033336
Moved 433.5824 442.5478 409.6533 0.1910827 0.05569261
Moved 433.6131 459.6743 448.0229 0.2307276 0.15438
Moved 433.6439 467.0841 480.4204 0.2478798 0.2377068
Moved 433.6746 469 499.5633 0.2523148 0.2869425
Moved 433.7053 469 508.3115 0.2523148 0.309443
Moved 433.736 469 512.3185 0.2523148 0.3197491
Moved 433.7667 469 514.5 0.2523148 0.32536
Moved 433.7975 457.5412 515 0.2257898 0.326646
Moved 433.8282 429.7968 504.6704 0.1615666 0.3000781
Moved 433.8589 356.1475 467.8172 -0.008917849 0.2052911
Moved 433.8896 292.4075 435.4036 -0.1564642 0.1219227
Moved 433.9204 268.5 422.5 -0.2118056 0.08873452
Ended 433.9511 199 387 -0.3726852 -0.002572055
Began 435.8559 478 515 0.2731481 0.326646
Stationary 435.8866 478 515 0.2731481 0.326646
Stationary 435.9173 478 515 0.2731481 0.326646
Stationary 435.948 478 515 0.2731481 0.326646
Moved 435.9787 468.9107 507.9305 0.2521081 0.3084632
Moved 436.0095 462.2336 502.2336 0.2366517 0.2938106
Moved 436.0401 457 498 0.2245371 0.2829217
Moved 436.0709 450.3712 492.3712 0.2091926 0.2684444
Moved 436.1016 441.4404 485.4404 0.1885194 0.2506182
Moved 436.1324 430.7656 477.8242 0.1638092 0.2310292
Moved 436.1631 424.2628 472.2628 0.1487564 0.2167251
Moved 436.1938 416.0863 466.0864 0.1298295 0.2008393
Moved 436.2245 409.0092 460.3395 0.1134473 0.1860582
Moved 436.2552 404.5941 455.5941 0.1032271 0.1738531
Moved 436.2859 399.4397 451.2198 0.09129564 0.1626024
Moved 436.3167 393.684 447.342 0.07797211 0.1526285
Moved 436.3474 388.0432 444.5216 0.06491482 0.1453744
Moved 436.3781 381.8701 440.9134 0.0506252 0.136094
Moved 436.4089 373.2005 437.0668 0.03055662 0.1262006
Moved 436.4396 365.3772 432.3772 0.01244714 0.1141388
Moved 436.4703 358.9278 429.3093 -0.002481937 0.106248
Moved 436.5011 351.1841 426.796 -0.02040729 0.09978396
Moved 436.5317 338.6142 421.8457 -0.04950409 0.08705162
Moved 436.5625 322.358 415.1023 -0.08713424 0.06970751
Moved 436.5932 300 406 -0.1388889 0.04629618
Moved 436.6239 273.0039 396.8765 -0.2013799 0.02283033
Moved 436.6546 255.5966 389.2983 -0.2416744 0.003339273
Moved 436.6854 217.2168 357.6144 -0.3305165 -0.07815223
Ended 436.7161 217.2168 357.6144 -0.3305165 -0.07815223
Began 437.4534 179 405 -0.4189815 0.04372424
Stationary 437.4842 179 405 -0.4189815 0.04372424
Ended 437.5149 179 405 -0.4189815 0.04372424
Began 439.1431 434 250 0.1712963 -0.3549383
Stationary 439.1738 434 250 0.1712963 -0.3549383
Moved 439.2046 434 286.8567 0.1712963 -0.2601423
Moved 439.2353 434 354.0967 0.1712963 -0.08719981
Moved 439.2661 445.812 408.8718 0.1986388 0.05368267
Moved 439.2968 457.9638 469.1323 0.226768 0.2086735
Moved 439.3275 466.2315 495.7717 0.2459063 0.2771904
Moved 439.3582 470.5 505.5 0.2557871 0.3022119
Moved 439.3889 477.1764 529.882 0.2712418 0.3649228
Moved 439.4196 483.9095 548.7887 0.2868275 0.4135511
Moved 439.4503 489.6878 563.3756 0.3002033 0.4510689
Moved 439.481 493.2522 573.7567 0.3084541 0.477769
Moved 439.5118 498.4543 583.6815 0.3204962 0.503296
Moved 439.5425 500.1008 591.3024 0.3243074 0.5228971
Moved 439.5732 501 594.9781 0.3263889 0.5323511
Moved 439.604 501 596.5 0.3263889 0.5362654
Stationary 439.6348 501 596.5 0.3263889 0.5362654
