what goes up must come down
Direct
0.6 0.6
432 388.8
Began 1000.107 209 527 -0.349537 0.3575102
Stationary 1000.138 209 527 -0.349537 0.3575102
Stationary 1000.169 209 527 -0.349537 0.3575102
Moved 1000.199 234.9253 490.0042 -0.2895247 0.2623563
Moved 1000.23 270.5323 445.6591 -0.2071012 0.1483001
Moved 1000.261 302.8636 413.3058 -0.1322601 0.06508682
Moved 1000.292 327.0305 394.1254 -0.07631823 0.0157547
Moved 1000.322 339.0882 387.4559 -0.04840687 -0.001399586
Moved 1000.353 345 383.5 -0.03472224 -0.01157415
Moved 1000.384 349.1186 380.9407 -0.02518843 -0.01815678
Moved 1000.415 351.6068 379.3932 -0.01942868 -0.02213686
Moved 1000.445 352 377.8458 -0.01851852 -0.0261167
Stationary 1000.476 352 377.8458 -0.01851852 -0.0261167
Moved 1000.507 313.3734 377 -0.1079319 -0.02829226
Moved 1000.538 266.5 377 -0.2164352 -0.02829226
Moved 1000.568 230.2615 388.123 -0.3003205 0.0003164393
Moved 1000.599 204 393 -0.3611111 0.01285996
Moved 1000.63 186.6786 396.8643 -0.4012069 0.02279894
Moved 1000.66 179.1887 399.4056 -0.4185446 0.02933537
Moved 1000.691 177 402.8936 -0.4236111 0.03830651
Moved 1000.722 195 422 -0.3819444 0.08744851
Moved 1000.753 246.2491 457.837 -0.2633124 0.1796218
Moved 1000.783 281.1473 475.5737 -0.1825294 0.2252408
Moved 1000.814 301.5048 487.0655 -0.1354055 0.254798
Moved 1000.845 315.7661 496.0597 -0.1023932 0.2779312
Moved 1000.876 321.848 500.232 -0.08831481 0.2886625
Ended 1000.906 330.68 504.34 -0.06787047 0.2992283
Began 1001.706 341 368 -0.04398147 -0.05144041
Stationary 1001.736 341 368 -0.04398147 -0.05144041
Stationary 1001.767 341 368 -0.04398147 -0.05144041
Stationary 1001.798 341 368 -0.04398147 -0.05144041
Moved 1001.829 365.9801 389.9801 0.01384278 0.005092739
Moved 1001.859 388.2927 413.2927 0.06549239 0.06505307
Moved 1001.89 410.1182 438.4208 0.1160144 0.1296831
Moved 1001.921 434.7837 462.9357 0.1731104 0.1927358
Moved 1001.952 452.9776 482.1173 0.215226 0.2420712
Moved 1001.982 463.0889 495.7852 0.2386317 0.2772253
Moved 1002.013 468.4579 502 0.2510598 0.2932098
Moved 1002.044 468 503.8067 0.25 0.2978566
Moved 1002.075 468 506.0628 0.25 0.3036594
Moved 1002.105 423.584 510.7888 0.1471851 0.3158147
Moved 1002.135 376.1874 515.9277 0.03747076 0.329032
Moved 1002.167 353.9642 516.7242 -0.01397168 0.3310806
Moved 1002.198 316.3929 520.8452 -0.1009423 0.34168
Moved 1002.228 288.2012 524.4799 -0.1662009 0.3510284
Moved 1002.259 271.7491 526 -0.2042844 0.3549381
Moved 1002.29 264.3968 526 -0.2213038 0.3549381
Moved 1002.32 261.1402 526 -0.2288422 0.3549381
Moved 1002.351 258.6076 526 -0.2347046 0.3549381
Moved 1002.382 252.0957 500.3348 -0.2497785 0.288927
Moved 1002.413 247.0211 476.1056 -0.2615252 0.2266089
Moved 1002.443 242.513 450.8215 -0.2719606 0.1615779
Moved 1002.474 239.7079 428.9556 -0.2784539 0.1053383
Moved 1002.505 239.1661 414.8304 -0.2797081 0.06900814
Moved 1002.536 239 407.2185 -0.2800926 0.04943023
Moved 1002.566 239 403.3371 -0.2800926 0.03944723
Ended 1002.597 239 403 -0.2800926 0.03858017
Began 1003.489 393 494 0.07638891 0.2726337
Stationary 1003.519 393 494 0.07638891 0.2726337
Stationary 1003.55 393 494 0.07638891 0.2726337
Stationary 1003.581 393 494 0.07638891 0.2726337
Moved 1003.612 424.9853 494 0.1504288 0.2726337
Moved 1003.642 466.2952 494 0.2460537 0.2726337
Moved 1003.673 499.3396 494 0.3225453 0.2726337
Moved 1003.704 518.5 502.5 0.3668982 0.2944958
Moved 1003.735 530.8704 507.4352 0.3955332 0.3071892
Moved 1003.765 539.8287 510.2762 0.4162701 0.3144965
Ended 1003.796 542 511 0.4212962 0.3163579
Began 1004.472 466 242 0.2453704 -0.3755144
Stationary 1004.503 466 242 0.2453704 -0.3755144
Stationary 1004.534 466 242 0.2453704 -0.3755144
Stationary 1004.565 466 242 0.2453704 -0.3755144
Moved 1004.595 466 272 0.2453704 -0.2983539
