want to join us for lunch
Direct
0.6 0.6
432 388.8
Moved 1044.928 402 281.3842 0.09722222 -0.2742177
Moved 1044.959 402 272.4127 0.09722222 -0.2972924
Moved 1044.99 402 267.9616 0.09722222 -0.3087407
Moved 1045.021 402 267 0.09722222 -0.311214
Moved 1045.051 411.5872 267 0.1194147 -0.311214
Moved 1045.082 423.0203 267 0.1458804 -0.311214
Ended 1045.113 434 279 0.1712963 -0.2803498
Began 1045.82 447 505 0.2013889 0.3009258
Stationary 1045.85 447 505 0.2013889 0.3009258
Stationary 1045.881 447 505 0.2013889 0.3009258
Stationary 1045.912 447 505 0.2013889 0.3009258
Moved 1045.943 428.1664 487.1664 0.1577927 0.2550575
Moved 1045.973 408.3471 469.5832 0.1119146 0.2098333
Moved 1046.004 385.136 450.352 0.05818506 0.1603703
Moved 1046.035 365.7104 433.3232 0.01321842 0.1165719
Moved 1046.065 337.1538 412.123 -0.05288476 0.06204467
Moved 1046.096 309.3754 392.8253 -0.1171867 0.01241056
Moved 1046.127 284.1042 376.8151 -0.1756848 -0.02876776
Moved 1046.158 263.2361 365.8241 -0.2239904 -0.05703687
Moved 1046.188 249.9957 359.6638 -0.2546395 -0.0728812
Moved 1046.219 243.4635 356.4634 -0.2697605 -0.08111262
Moved 1046.25 240.9607 356 -0.275554 -0.0823046
Moved 1046.281 240 356 -0.2777777 -0.0823046
Stationary 1046.311 240 356 -0.2777777 -0.0823046
Stationary 1046.342 240 356 -0.2777777 -0.0823046
Stationary 1046.373 240 356 -0.2777777 -0.0823046
Stationary 1046.403 240 356 -0.2777777 -0.0823046
Stationary 1046.434 240 356 -0.2777777 -0.0823046
Stationary 1046.465 240 356 -0.2777777 -0.0823046
Ended 1046.496 240 363 -0.2777777 -0.06430049
Began 1047.11 317 356 -0.09953702 -0.0823046
Stationary 1047.141 317 356 -0.09953702 -0.0823046
Stationary 1047.172 317 356 -0.09953702 -0.0823046
Moved 1047.202 325.8246 362.4178 -0.07910977 -0.06579779
Moved 1047.233 337.4008 371.4008 -0.05231301 -0.04269337
Moved 1047.264 347.8935 380.4201 -0.02802442 -0.01949561
Moved 1047.295 371.8416 397.7761 0.02741118 0.02514415
Moved 1047.325 392.9933 414.1946 0.07637332 0.06737301
Moved 1047.356 415.3747 429.0712 0.1281822 0.1056358
Moved 1047.387 436.5108 444.222 0.1771083 0.1446038
Moved 1047.417 455.5 457 0.2210648 0.1774691
Moved 1047.448 475.2734 469.1519 0.2668366 0.208724
Moved 1047.479 493.3738 478.6422 0.3087357 0.2331331
Moved 1047.51 513.455 490.1171 0.3552198 0.2626468
Moved 1047.54 525.3506 496.8104 0.3827561 0.279862
Moved 1047.571 531.4525 500.2262 0.3968807 0.2886476
Moved 1047.602 534.1034 502 0.4030171 0.2932098
Stationary 1047.633 534 502 0.4027778 0.2932098
Moved 1047.663 534 504 0.4027778 0.2983539
Moved 1047.694 518.0349 505 0.3658215 0.3009258
Moved 1047.725 496.8644 505 0.3168157 0.3009258
Moved 1047.756 470.6313 505 0.2560909 0.3009258
Moved 1047.786 429.3342 494.0668 0.1604958 0.2728056
Moved 1047.817 391.7884 487.9647 0.07358412 0.2571108
Moved 1047.848 361.4113 483.2025 0.003266831 0.2448624
Moved 1047.879 337.5096 479.0566 -0.05206123 0.234199
Moved 1047.909 314.2728 473.3636 -0.1058501 0.2195566
Moved 1047.94 298.228 470.307 -0.1429908 0.2116949
Moved 1047.971 290 470 -0.162037 0.2109053
Moved 1048.001 285.9138 469 -0.1714959 0.2083333
Moved 1048.032 284.5 469 -0.1747685 0.2083333
Moved 1048.063 283 469 -0.1782407 0.2083333
Stationary 1048.094 283 469 -0.1782407 0.2083333
Ended 1048.124 283 469 -0.1782407 0.2083333
Began 1048.524 591 369 0.5347222 -0.04886839
Stationary 1048.555 591 369 0.5347222 -0.04886839
Stationary 1048.585 591 369 0.5347222 -0.04886839
Stationary 1048.616 591 369 0.5347222 -0.04886839
Moved 1048.647 578.7675 369 0.5064063 -0.04886839
Moved 1048.678 569.0095 369 0.4838184 -0.04886839
Moved 1048.708 553.6758 369 0.4483237 -0.04886839
Moved 1048.739 542.1547 369 0.4216543 -0.04886839
Moved 1048.77 532.3175 378.455 0.3988831 -0.02454993
Moved 1048.801 520.543 389.457 0.3716272 0.00374743
Moved 1048.831 508.7598 403.7336 0.3443514 0.04046711
Moved 1048.862 496.8717 418.6604 0.3168327 0.07885897
Moved 1048.893 484.924 435.9064 0.2891758 0.1232161
Moved 1048.923 473.8548 452.4315 0.2635528 0.1657189
Moved 1048.954 466.7902 463.0122 0.2471996 0.1929325
Moved 1048.985 457.968 474.3867 0.2267778 0.2221878
Moved 1049.016 448.3407 490.3186 0.2044923 0.263165
Moved 1049.046 439.693 504.1783 0.1844745 0.2988126
Moved 1049.077 435.9952 510.0095 0.1759149 0.3138105
Moved 1049.108 432.118 515.7641 0.1669397 0.3286112
Moved 1049.139 430 517.7449 0.162037 0.3337061
Moved 1049.169 428.787 519 0.1592291 0.3369341
Moved 1049.2 429 520 0.1597223 0.3395061
Stationary 1049.231 429 520 0.1597223 0.3395061
Stationary 1049.262 429 520 0.1597223 0.3395061
Stationary 1049.292 429 520 0.1597223 0.3395061
Stationary 1049.323 429 520 0.1597223 0.3395061
Moved 1049.354 429 498.0696 0.1597223 0.2831006
Moved 1049.384 436.7726 476.819 0.1777144 0.2284438
Moved 1049.415 439 452.975 0.1828703 0.1671166
Moved 1049.446 440 430.8636 0.1851852 0.1102459
Moved 1049.477 441 407.5093 0.1875 0.0501781
Moved 1049.507 441 388.0873 0.1875 0.0002244078
Moved 1049.538 441 362.6186 0.1875 -0.06528148
Moved 1049.569 441 341.9361 0.1875 -0.1184771
Moved 1049.6 441 323.2683 0.1875 -0.166491
Moved 1049.63 441 304.8327 0.1875 -0.2139077
Moved 1049.661 441 290.4033 0.1875 -0.2510205
Moved 1049.692 434 278.917 0.1712963 -0.2805633
Moved 1049.723 434 272.3075 0.1712963 -0.297563
Moved 1049.753 434 265.634 0.1712963 -0.3147275
Moved 1049.784 431.9424 260.9424 0.1665332 -0.3267944
Moved 1049.815 429.0679 256.1357 0.1598793 -0.339157
Moved 1049.845 419.7965 251.1187 0.1384178 -0.3520611
Moved 1049.876 388.2418 243.0604 0.06537447 -0.372787
Moved 1049.907 363.326 240 0.007699033 -0.3806585
Moved 1049.938 343.3824 237 -0.03846665 -0.3883744
Moved 1049.968 324.9745 233.3949 -0.08107742 -0.3976469
Moved 1049.999 313.0864 230.5216 -0.1085964 -0.405037
Moved 1050.03 304.9033 229 -0.1275386 -0.4089506
Moved 1050.061 302.1214 228 -0.1339782 -0.4115227
Moved 1050.091 299.5 228 -0.1400463 -0.4115227
Stationary 1050.122 299.5 228 -0.1400463 -0.4115227
Moved 1050.153 300 242.4752 -0.1388889 -0.3742922
Moved 1050.183 308.5167 250.1937 -0.1191744 -0.3544401
Moved 1050.214 311.9421 257.8264 -0.1112451 -0.3348088
