a very traditional way to dress
Direct
0.6 0.6
432 388.8
Began 780.8408 161 366 -0.4606481 -0.05658444
Stationary 780.8715 161 366 -0.4606481 -0.05658444
Ended 780.9023 161 366 -0.4606481 -0.05658444
Began 781.8864 358 232 -0.004629641 -0.4012346
Stationary 781.9171 358 232 -0.004629641 -0.4012346
Stationary 781.9479 358 232 -0.004629641 -0.4012346
Moved 781.9787 346.8571 278.4643 -0.03042325 -0.2817278
Moved 782.0094 327.6848 364.3135 -0.07480384 -0.06092205
Moved 782.0402 311.9511 417.1956 -0.1112244 0.07509156
Moved 782.0709 300.2357 448.5287 -0.1383434 0.1556807
Moved 782.1016 290.5538 466.6032 -0.1607552 0.2021687
Moved 782.1324 280.2281 481.7719 -0.1846573 0.2411828
Moved 782.1631 275.0214 490.4679 -0.1967097 0.2635491
Moved 782.1938 272.967 493.033 -0.2014652 0.2701464
Moved 782.2246 272 495.2326 -0.2037037 0.275804
Moved 782.2554 270 497.8572 -0.2083333 0.2825546
Moved 782.2861 268.5874 499 -0.2116033 0.2854938
Moved 782.3169 268 500.9676 -0.212963 0.2905544
Moved 782.3477 266.9126 502.0874 -0.2154801 0.2934346
Moved 782.3784 267 503.3323 -0.2152778 0.2966365
Moved 782.4091 265.6845 504 -0.218323 0.2983539
Moved 782.4399 266 505.5 -0.2175926 0.3022119
Moved 782.4707 287.1622 510.2324 -0.168606 0.3143837
Moved 782.5014 338.093 521.5233 -0.05071059 0.3434239
Moved 782.5322 390.6171 531.972 0.0708729 0.3702984
Moved 782.5629 413.6089 536.8013 0.1240946 0.3827192
Moved 782.5937 422.1026 539.0513 0.143756 0.3885064
Ended 782.6244 425.9976 539 0.1527722 0.3883744
Began 784.5311 398 510 0.08796295 0.3137859
Stationary 784.5618 398 510 0.08796295 0.3137859
Stationary 784.5926 398 510 0.08796295 0.3137859
Stationary 784.6234 398 510 0.08796295 0.3137859
Stationary 784.6541 398 510 0.08796295 0.3137859
Moved 784.6849 385.1144 510 0.05813509 0.3137859
Moved 784.7156 377.5 510 0.04050931 0.3137859
Moved 784.7463 370.5708 501.1902 0.02446949 0.2911271
Moved 784.7771 356.8133 496.0629 -0.007376621 0.2779393
Moved 784.8079 338.1772 486.654 -0.05051579 0.2537396
Moved 784.8386 313.989 471.5934 -0.1065068 0.2150036
Moved 784.8694 285.6606 450.1285 -0.1720819 0.1597954
Moved 784.9001 257.0934 423.9027 -0.2382098 0.09234224
Moved 784.9309 234.0535 402.7968 -0.2915429 0.03805765
Moved 784.9616 219.2639 390.5533 -0.325778 0.006567048
Moved 784.9924 214.0397 384.6931 -0.3378711 -0.008505479
Moved 785.0231 210.891 381.891 -0.3451598 -0.01571255
Moved 785.0539 208.3469 380 -0.3510489 -0.02057613
Moved 785.0847 206.5 378.5 -0.3553241 -0.02443423
Moved 785.1154 206 378 -0.3564815 -0.02572024
Moved 785.1462 206 377.0021 -0.3564815 -0.02828668
Moved 785.1769 206 376.5 -0.3564815 -0.02957819
Moved 785.2077 225.8469 377 -0.3105395 -0.02829226
Moved 785.2385 242.5 377 -0.2719907 -0.02829226
Moved 785.2692 257.2948 377 -0.2377435 -0.02829226
Moved 785.2999 269.9278 377 -0.2085005 -0.02829226
Moved 785.3307 276.8954 384.9477 -0.1923716 -0.007850624
Moved 785.3615 282.9984 386 -0.1782444 -0.005144111
Moved 785.3922 290.7464 390.4985 -0.1603093 0.006426234
Moved 785.423 306.1168 399.2096 -0.1247297 0.02883122
Moved 785.4537 334.2813 412.1406 -0.05953416 0.06209
Moved 785.4844 366.5924 426.7962 0.01526018 0.09978434
Moved 785.5152 393.6683 443.7789 0.07793596 0.1434641
Moved 785.546 416.4833 456.6592 0.1307483 0.1765926
Moved 785.5767 429.5775 466.862 0.1610591 0.2028343
Moved 785.6075 436.5155 472.5155 0.1771192 0.2173751
Moved 785.6382 439.5 474 0.1840278 0.2211934
Moved 785.669 441.0746 476.0746 0.1876727 0.2265292
Moved 785.6998 442 477.6083 0.1898148 0.2304739
Moved 785.7305 443.5 478 0.193287 0.2314814
Moved 785.7612 444.0474 479.0474 0.1945541 0.2341752
Moved 785.792 445.5 480.5 0.1979166 0.2379114
Stationary 785.8227 445.5 480.5 0.1979166 0.2379114
Moved 785.8535 445 480 0.1967593 0.2366254
