good jobs for those with education
Direct
0.6 0.6
432 388.8
Moved 318.3355 368.0806 472.4872 0.01870503 0.2173025
Moved 318.3661 379.5083 442.2293 0.04515807 0.1394786
Moved 318.397 388.9182 417.5243 0.06694019 0.07593692
Moved 318.4277 393.07 402.6498 0.07655104 0.0376794
Moved 318.4584 395.8193 394.3613 0.08291513 0.0163614
Moved 318.4892 398.5884 390.4116 0.08932491 0.006202611
Ended 318.52 400.5 390 0.09374996 0.005143954
Began 319.0119 248 509 -0.2592593 0.3112139
Stationary 319.0427 248 509 -0.2592593 0.3112139
Moved 319.0734 248 498.3842 -0.2592593 0.2839098
Moved 319.1042 248 475.2016 -0.2592593 0.2242839
Moved 319.1349 248 443.0867 -0.2592593 0.1416837
Moved 319.1656 263.018 400.9097 -0.2244953 0.033204
Moved 319.1964 267.7731 383.9077 -0.2134882 -0.01052566
Moved 319.2271 271.5273 377.4728 -0.204798 -0.02707626
Moved 319.2579 278.6678 377 -0.188269 -0.02829226
Moved 319.2886 318.7361 408.3452 -0.09551832 0.05232819
Moved 319.3194 367.0091 452.1191 0.01622468 0.1649154
Moved 319.3502 392.7657 474.1771 0.07584651 0.2216489
Moved 319.3809 413.9868 495.6512 0.1249694 0.2768807
Moved 319.4116 421.4257 502.4257 0.1421892 0.2943048
Moved 319.4424 423.5 503 0.1469907 0.2957818
Moved 319.4731 415.9199 490.9637 0.1294441 0.2648244
Moved 319.5039 363.3364 388.9428 0.007723073 0.002424844
Moved 319.5346 339.5423 318.169 -0.04735584 -0.1796065
Moved 319.5654 333.2767 296.83 -0.06185953 -0.2344908
Moved 319.596 328.6165 285.233 -0.07264704 -0.2643186
Moved 319.6269 318.9983 275.9991 -0.09491137 -0.288068
Moved 319.6576 290.9149 274 -0.1599193 -0.2932099
Moved 319.6883 252.5545 299.9604 -0.2487164 -0.2264393
Moved 319.7191 225.4119 320.6396 -0.3115464 -0.1732522
Moved 319.7498 211.2221 336.4724 -0.3443933 -0.13253
Moved 319.7806 205.1087 348.7826 -0.3585447 -0.1008679
Moved 319.8113 229.071 384.4282 -0.3030763 -0.009186748
Moved 319.8421 272.9431 424.0787 -0.2015207 0.09279506
Moved 319.8728 313.662 453.7747 -0.1072639 0.1691734
