the facts get in the way
Direct
0.6 0.6
432 388.8
Began 1291.128 354 506 -0.01388888 0.3034978
Stationary 1291.159 354 506 -0.01388888 0.3034978
Stationary 1291.19 354 506 -0.01388888 0.3034978
Stationary 1291.221 354 506 -0.01388888 0.3034978
Moved 1291.251 367.0611 482.8047 0.01634508 0.2438393
Moved 1291.282 386.6014 446.5974 0.06157726 0.1507134
Moved 1291.313 402.054 416.892 0.0973473 0.07431057
Moved 1291.344 410.5 400 0.1168981 0.03086416
Moved 1291.374 413.0638 389.8085 0.1228328 0.004651576
Moved 1291.405 415 381.2625 0.1273148 -0.01732901
Moved 1291.436 416 376.2561 0.1296297 -0.03020557
Moved 1291.466 416 373.8095 0.1296297 -0.03649817
Moved 1291.497 417 369.8606 0.1319444 -0.04665492
Moved 1291.528 417 366.9877 0.1319444 -0.05404405
Moved 1291.558 417 364.1118 0.1319444 -0.06144103
Moved 1291.589 402.6786 364 0.0987932 -0.06172839
Moved 1291.62 372.2739 379.0325 0.02841175 -0.02306471
Moved 1291.651 342.616 405.1673 -0.04024084 0.04415457
Moved 1291.681 320.6963 422.6807 -0.09098083 0.08919916
Moved 1291.712 297.6339 442.3661 -0.1443661 0.1398306
Moved 1291.743 280.6254 458.3746 -0.1837376 0.1810046
Moved 1291.774 267.4762 472.5239 -0.2141755 0.2173967
Moved 1291.804 263.1157 477.8843 -0.2242692 0.2311838
Moved 1291.835 262 482.5104 -0.2268519 0.2430821
Ended 1291.866 262 483 -0.2268519 0.2443414
Began 1293.31 342 373 -0.04166668 -0.03858032
Stationary 1293.34 342 373 -0.04166668 -0.03858032
Stationary 1293.371 342 373 -0.04166668 -0.03858032
Stationary 1293.402 342 373 -0.04166668 -0.03858032
Moved 1293.432 328.8467 373 -0.07211417 -0.03858032
Moved 1293.463 311.4755 373 -0.1123251 -0.03858032
Moved 1293.494 286.5089 373 -0.1701182 -0.03858032
Moved 1293.525 254.1326 373 -0.2450635 -0.03858032
Moved 1293.555 234.6738 373 -0.290107 -0.03858032
Moved 1293.586 219.732 373 -0.3246944 -0.03858032
Moved 1293.617 212.7334 373 -0.340895 -0.03858032
Moved 1293.647 207 373 -0.3541667 -0.03858032
Moved 1293.678 205.6038 373 -0.3573986 -0.03858032
Moved 1293.709 206 362.4902 -0.3564815 -0.06561162
Moved 1293.74 224.1973 328.845 -0.3143582 -0.1521478
Moved 1293.77 231.4114 315.8595 -0.2976588 -0.1855466
Moved 1293.801 245.7818 294.5491 -0.264394 -0.2403572
Moved 1293.832 258.3745 277.5632 -0.2352443 -0.2840453
Moved 1293.863 271.7384 261.327 -0.2043092 -0.3258051
Moved 1293.893 280.4423 251.5577 -0.1841614 -0.3509318
Moved 1293.924 288.5 243.5 -0.1655093 -0.3716564
Moved 1293.955 293.4768 241.7616 -0.1539889 -0.3761276
Moved 1293.985 301.4564 242 -0.1355176 -0.3755144
Moved 1294.016 316.9237 271.8474 -0.0997137 -0.2987466
Moved 1294.047 333.0757 309.7366 -0.06232475 -0.2012947
Moved 1294.078 349.5642 376.821 -0.02415692 -0.02875269
Moved 1294.108 360.0678 428.8051 0.0001569589 0.1049514
Moved 1294.139 365.269 466.8829 0.0121967 0.2028881
Moved 1294.17 369 490.9191 0.02083332 0.2647095
Moved 1294.2 371.5789 508.3156 0.02680302 0.3094537
Moved 1294.231 373 521.2737 0.0300926 0.3427822
Moved 1294.262 373 524.9964 0.0300926 0.3523569
Moved 1294.293 373 526.5 0.0300926 0.3562242
Moved 1294.323 337.8834 500.3979 -0.05119591 0.2890893
Moved 1294.354 299.6429 458.3715 -0.1397156 0.1809965
Moved 1294.385 275.8611 428.5764 -0.1947659 0.1043632
Moved 1294.416 259.9227 404.8763 -0.2316604 0.04340599
Moved 1294.446 249.2865 391.2865 -0.2562813 0.00845289
Moved 1294.477 245.5 383.5 -0.2650463 -0.01157415
Moved 1294.508 242.6697 379.6697 -0.2715979 -0.02142572
Ended 1294.538 243 380 -0.2708333 -0.02057613
Began 1295.399 380 361 0.04629632 -0.06944452
Stationary 1295.429 380 361 0.04629632 -0.06944452
Stationary 1295.46 380 361 0.04629632 -0.06944452
Stationary 1295.491 380 361 0.04629632 -0.06944452
Stationary 1295.521 380 361 0.04629632 -0.06944452
Moved 1295.552 368.3456 372.6545 0.01931836 -0.03946901
