win first prize in the contest
Direct
0.6 0.6
432 388.8
Began 715.2761 204 466 -0.3611111 0.2006171
Stationary 715.3068 204 466 -0.3611111 0.2006171
Stationary 715.3376 204 466 -0.3611111 0.2006171
Stationary 715.3683 204 466 -0.3611111 0.2006171
Moved 715.399 217.1678 466 -0.33063 0.2006171
Moved 715.4298 259.4409 487.0461 -0.2327756 0.2547482
Moved 715.4606 318.5042 514.6961 -0.09605498 0.3258644
Moved 715.4913 357.7935 528.1672 -0.005107522 0.3605123
Moved 715.5221 382.4509 533.7451 0.05196969 0.3748587
Moved 715.5528 412.0547 537.5046 0.1204969 0.3845281
Moved 715.5836 433.9148 539.2736 0.1710991 0.389078
Moved 715.6143 450.1772 540 0.2087434 0.3909464
Moved 715.6451 462.2852 540 0.2367713 0.3909464
Moved 715.6758 473.8991 540 0.2636554 0.3909464
Moved 715.7065 480.9857 532.0383 0.2800594 0.3704687
Moved 715.7373 486 527 0.2916667 0.3575102
Moved 715.768 488 504.7429 0.2962963 0.3002647
Moved 715.7988 474.0311 454.1038 0.263961 0.17002
Moved 715.8295 457.5323 408.8307 0.2257692 0.05357699
Moved 715.8602 441.9827 372.3841 0.1897747 -0.04016436
Moved 715.891 419.6614 311.6536 0.1381052 -0.1963644
Moved 715.9217 415.5698 293.9942 0.1286337 -0.2417844
Moved 715.9525 410.0292 266.6313 0.1158083 -0.3121624
Moved 715.9832 407.1103 246.7719 0.1090516 -0.3632412
Moved 716.0139 405.3438 234.3752 0.1049625 -0.3951254
Moved 716.0447 405 225.7297 0.1041667 -0.4173617
Ended 716.0754 405 223 0.1041667 -0.4243828
Began 716.7211 312 326 -0.1111111 -0.1594652
Stationary 716.7518 312 326 -0.1111111 -0.1594652
Stationary 716.7826 312 326 -0.1111111 -0.1594652
Stationary 716.8134 312 326 -0.1111111 -0.1594652
Stationary 716.8441 312 326 -0.1111111 -0.1594652
Moved 716.8748 328 351 -0.07407407 -0.09516476
Moved 716.9055 342.4767 370.0673 -0.04056329 -0.04612314
Moved 716.9363 360.3018 393.3521 0.0006984671 0.01376552
Moved 716.9671 378.2246 413.7527 0.04218658 0.06623621
Moved 716.9978 400.009 438.009 0.0926134 0.1286238
Moved 717.0285 419.2964 455.2964 0.1372603 0.1730875
Moved 717.0593 437.9474 471.9474 0.1804338 0.215914
Moved 717.09 451.3424 483.3424 0.2114407 0.2452221
Moved 717.1208 462.0624 493.0416 0.2362556 0.2701687
Moved 717.1515 469.5714 500.5714 0.2536376 0.2895354
Moved 717.1823 473.5 505 0.2627315 0.3009258
Moved 717.213 475.9621 506 0.2684308 0.3034978
Moved 717.2437 476 507.3423 0.2685185 0.3069503
Moved 717.2745 476 508.3596 0.2685185 0.3095668
Stationary 717.3052 476 508.3596 0.2685185 0.3095668
Moved 717.336 446.718 508 0.200736 0.3086419
Moved 717.3668 422.8958 498.088 0.1455922 0.283148
Moved 717.3975 395.7231 495.7723 0.0826925 0.2771921
Moved 717.4282 375.4357 493 0.0357308 0.2700616
Moved 717.459 353.6853 492 -0.01461729 0.2674896
Moved 717.4897 335.789 491 -0.05604406 0.2649176
Moved 717.5204 324.2207 490 -0.08282254 0.2623456
Moved 717.5511 317.1978 489 -0.09907907 0.2597736
Moved 717.5819 311.6727 489 -0.1118687 0.2597736
Moved 717.6127 309.0748 489 -0.1178824 0.2597736
Moved 717.6434 307.5 489 -0.1215278 0.2597736
Moved 717.6742 307 487.8832 -0.1226852 0.2569011
Moved 717.705 305.1204 487 -0.1270362 0.2546296
Moved 717.7357 302.7115 481.0673 -0.1326122 0.2393705
Moved 717.7664 297.9351 468.8053 -0.1436688 0.2078325
Moved 717.7971 282.338 438.2938 -0.1797731 0.1293563
Moved 717.8279 267.2348 411.0226 -0.2147343 0.05921457
Moved 717.8586 254.7332 386.1497 -0.2436731 -0.004759031
Moved 717.8894 247.773 372.5461 -0.2597846 -0.03974773
Moved 717.9202 243.0402 361.0804 -0.2707402 -0.06923761
Moved 717.9509 240.7664 355.5327 -0.2760037 -0.08350639
Moved 717.9816 239.0083 351.0166 -0.2800733 -0.09512191
Moved 718.0124 239 348.5843 -0.2800926 -0.1013779
Moved 718.0431 238 346.5 -0.2824074 -0.1067387
Moved 718.0738 238 344.5 -0.2824074 -0.1118828
