where did you get that tie
Direct
0.6 0.6
432 388.8
Began 1196.692 160 500 -0.462963 0.2880658
Moved 1196.723 174.5369 500 -0.4293128 0.2880658
Moved 1196.754 247.2095 478.9082 -0.2610891 0.2338173
Moved 1196.784 326.1509 448.5996 -0.07835438 0.1558632
Moved 1196.815 394.2057 413.8629 0.0791798 0.06651976
Moved 1196.846 414.3087 400.395 0.1257144 0.03188011
Moved 1196.876 426.3368 392.4421 0.1535574 0.01142517
Moved 1196.907 431.6742 388.6629 0.1659125 0.001704958
Moved 1196.938 432 386.8969 0.1666667 -0.002837397
Moved 1196.969 432 386 0.1666667 -0.005144111
Moved 1196.999 406.5706 386 0.1078023 -0.005144111
Moved 1197.03 359.5002 410.3055 -0.001156976 0.05737002
Moved 1197.061 290.8558 429.3409 -0.160056 0.1063295
Moved 1197.092 274.5102 432.4527 -0.1978931 0.114333
Moved 1197.122 249.9867 438.404 -0.2546603 0.1296398
Moved 1197.153 229.6706 447.2196 -0.3016883 0.1523138
Moved 1197.184 227.4535 448.5465 -0.3068206 0.1557266
Moved 1197.214 224.5884 453.8232 -0.3134529 0.1692984
Moved 1197.245 235.5054 463.7302 -0.2881819 0.1947793
Moved 1197.276 285.4917 484.7721 -0.1724728 0.2488994
Moved 1197.307 328.2554 496.3901 -0.07348295 0.278781
Moved 1197.337 342.7581 498.1516 -0.03991181 0.2833117
Moved 1197.368 350.1551 498 -0.02278914 0.2829217
Moved 1197.399 352.5 498 -0.0173611 0.2829217
Moved 1197.429 352 498 -0.01851852 0.2829217
Moved 1197.46 303.9612 480.5552 -0.1297194 0.2380535
Moved 1197.491 282.011 476.2022 -0.1805301 0.2268574
Moved 1197.522 255.1099 473.8729 -0.2428011 0.2208664
Moved 1197.552 235.7982 473 -0.2875042 0.2186213
Moved 1197.583 235 473 -0.2893518 0.2186213
Ended 1197.614 235 473 -0.2893518 0.2186213
Began 1198.013 300 359 -0.1388889 -0.07458848
Stationary 1198.044 300 359 -0.1388889 -0.07458848
Stationary 1198.075 300 359 -0.1388889 -0.07458848
Moved 1198.105 300 376.3208 -0.1388889 -0.03003917
Moved 1198.136 320.9294 399.9193 -0.09044125 0.03065662
Moved 1198.167 392.176 484.823 0.07448147 0.2490303
Moved 1198.198 429.6017 522.6016 0.1611149 0.3461975
Moved 1198.228 449.899 546.3737 0.2080995 0.4073397
Moved 1198.259 460.3107 555.3107 0.2322006 0.4303257
Moved 1198.29 463.9908 558.9908 0.2407195 0.4397912
Stationary 1198.32 464 559 0.2407408 0.4398148
Moved 1198.351 454.3981 546.6547 0.218514 0.4080623
Moved 1198.382 400.8032 483.8134 0.0944519 0.2464335
Moved 1198.413 331 403 -0.06712963 0.03858017
Moved 1198.443 317.5525 390.5525 -0.09825812 0.006564929
Moved 1198.474 296.8024 370.8024 -0.1462907 -0.04423251
Moved 1198.505 286.1397 360.1397 -0.1709729 -0.0716572
Moved 1198.536 286 358.6964 -0.1712963 -0.07536947
Ended 1198.566 284.7249 357.7249 -0.174248 -0.07786825
Began 1199.089 367 484 0.01620372 0.2469135
Stationary 1199.119 367 484 0.01620372 0.2469135
Stationary 1199.15 367 484 0.01620372 0.2469135
Moved 1199.181 394.406 484 0.07964362 0.2469135
Moved 1199.211 436.6131 497.5226 0.1773452 0.281694
Moved 1199.242 475.5462 507.8488 0.267468 0.3082528
Moved 1199.273 496.3316 515.1658 0.3155824 0.3270724
Moved 1199.304 505.2771 518.0924 0.3362896 0.3345998
Moved 1199.334 509.9991 520 0.3472201 0.3395061
Moved 1199.365 510 521 0.3472221 0.3420781
Moved 1199.396 497.2171 521 0.3176322 0.3420781
Moved 1199.427 458.9881 521 0.2291391 0.3420781
Moved 1199.457 428.4965 509.7266 0.1585568 0.3130828
Moved 1199.488 406.8738 508 0.1085042 0.3086419
Moved 1199.519 395.3072 508 0.08172959 0.3086419
Moved 1199.549 389.1186 508 0.06740411 0.3086419
Ended 1199.58 386 508 0.06018519 0.3086419
Began 1200.256 362 352 0.004629592 -0.09259266
Stationary 1200.287 362 352 0.004629592 -0.09259266
Stationary 1200.318 362 352 0.004629592 -0.09259266
Stationary 1200.348 362 352 0.004629592 -0.09259266
Stationary 1200.379 362 352 0.004629592 -0.09259266
Moved 1200.41 333.6831 372.4852 -0.06091868 -0.03990448
