good jobs for those with education
Direct
0.6 0.6
432 388.8
Began 755.5226 362 344 0.004629592 -0.1131688
Stationary 755.5533 362 344 0.004629592 -0.1131688
Stationary 755.5841 362 344 0.004629592 -0.1131688
Stationary 755.6148 362 344 0.004629592 -0.1131688
Moved 755.6455 362 357.9158 0.004629592 -0.07737721
Moved 755.6763 387.256 385.5066 0.06309251 -0.006413165
Moved 755.707 450.1883 443.1783 0.2087691 0.1419195
Moved 755.7377 489.6028 474.5023 0.3000064 0.2224854
Moved 755.7684 513.7241 495.6335 0.3558427 0.2768352
Moved 755.7992 525.5641 507.5641 0.3832502 0.3075207
Moved 755.83 530 511.5 0.3935185 0.317644
Moved 755.8607 530 514.0375 0.3935185 0.3241706
Moved 755.8914 530 515.4623 0.3935185 0.3278351
Moved 755.9222 525.1038 515 0.3821846 0.326646
Moved 755.9529 513.8876 515 0.3562214 0.326646
Moved 755.9836 498.2254 504.6127 0.3199663 0.2999298
Moved 756.0143 481.5829 495.2915 0.281442 0.2759555
Moved 756.0451 459.9863 482.3257 0.2314498 0.2426073
Moved 756.0758 429.4802 459.6613 0.1608337 0.184314
Moved 756.1066 386.0853 427.7813 0.06038258 0.1023181
Moved 756.1373 345.842 396.8015 -0.03277311 0.0226376
Moved 756.168 317.1842 377.5105 -0.09911066 -0.02697925
Moved 756.1988 296.5 362 -0.1469907 -0.06687243
Moved 756.2295 284.8887 354.4443 -0.1738688 -0.08630572
Moved 756.2603 280.9731 350.9731 -0.1829326 -0.09523392
Moved 756.291 278.5 350 -0.1886574 -0.09773669
Moved 756.3217 276.9111 350 -0.1923355 -0.09773669
Stationary 756.3525 276.9111 350 -0.1923355 -0.09773669
Moved 756.3832 276 350 -0.1944444 -0.09773669
Stationary 756.4139 276 350 -0.1944444 -0.09773669
Stationary 756.4446 276 350 -0.1944444 -0.09773669
Ended 756.4754 276 358 -0.1944444 -0.07716057
Began 757.5511 441 340 0.1875 -0.1234569
Stationary 757.5818 441 340 0.1875 -0.1234569
Stationary 757.6126 441 340 0.1875 -0.1234569
Stationary 757.6434 441 340 0.1875 -0.1234569
Moved 757.6741 455.838 374.4736 0.2218473 -0.03479004
Moved 757.7048 471.5163 413.1424 0.2581396 0.06466657
Moved 757.7355 487.7527 447.5878 0.2957238 0.1532608
Moved 757.7662 502.588 470.2938 0.3300649 0.2116609
Moved 757.797 519.4585 497.6088 0.3691168 0.2819154
Moved 757.8277 530.7101 517.5652 0.3951624 0.3332437
Moved 757.8585 534.2062 526.6187 0.4032552 0.3565294
Moved 757.8892 534 531.2953 0.4027778 0.3685579
Moved 757.92 534 533.2082 0.4027778 0.3734778
Stationary 757.9507 534 533 0.4027778 0.3729423
Moved 757.9814 512.2816 509.4505 0.3525035 0.3123726
Moved 758.0121 488.3012 469.275 0.2969937 0.2090405
Moved 758.0429 463.0196 417.9303 0.2384713 0.07698113
Moved 758.0737 441.8787 378.6318 0.1895339 -0.02409523
Moved 758.1043 426 344 0.1527777 -0.1131688
Moved 758.1351 414.6195 320.239 0.1264341 -0.1742824
Moved 758.1658 404.3993 297.7985 0.1027761 -0.2319997
Moved 758.1966 394.5714 275.9284 0.0800264 -0.28825
Moved 758.2273 387.9502 260.9169 0.06469945 -0.3268598
Moved 758.2581 385.2116 251.6348 0.0583601 -0.3507338
Moved 758.2888 383.4686 247.4686 0.05432546 -0.361449
Moved 758.3194 381.8591 245.8591 0.05059968 -0.3655886
Moved 758.3502 376.9557 246 0.03924936 -0.3652264
Moved 758.381 359.5 262 -0.001157423 -0.3240741
Moved 758.4117 332.3827 290.879 -0.06392886 -0.2497968
Moved 758.4424 300.9523 320.0409 -0.1366846 -0.174792
Moved 758.4731 277.5514 340.5589 -0.1908533 -0.1220194
Moved 758.5039 259.809 352.794 -0.2319236 -0.09055047
Moved 758.5347 250.1137 358.9242 -0.2543665 -0.07478353
Moved 758.5654 244 362.5 -0.2685185 -0.06558649
Moved 758.5961 241.8529 365.1472 -0.2734888 -0.05877797
Moved 758.6269 241 366.9206 -0.275463 -0.05421666
Ended 758.6576 241 367.5 -0.275463 -0.05272634
Began 759.3645 312 338 -0.1111111 -0.1286009
Stationary 759.3952 312 338 -0.1111111 -0.1286009
Stationary 759.426 312 338 -0.1111111 -0.1286009
