a picture is worth many words
Direct
0.6 0.6
432 388.8
Stationary 1390.696 431 509 0.1643519 0.3112139
Moved 1390.727 418.8188 501.2483 0.1361545 0.2912764
Moved 1390.758 401.9255 488.1404 0.09704977 0.2575628
Moved 1390.788 373.1033 464.1033 0.03033161 0.1957388
Moved 1390.819 350.4845 444.8439 -0.02202655 0.1462032
Moved 1390.85 326.1553 423.3859 -0.07834414 0.0910131
Moved 1390.881 309.3094 406.3094 -0.1173394 0.04709204
Moved 1390.911 295.3853 393.0389 -0.1495711 0.0129602
Moved 1390.942 284.4053 382.4053 -0.1749877 -0.01438973
Moved 1390.973 275.8842 373.8456 -0.1947125 -0.03640532
Moved 1391.004 268.242 365.2419 -0.2124028 -0.05853417
Moved 1391.034 263.2023 361.2023 -0.2240687 -0.06892412
Moved 1391.065 258.6612 356.6612 -0.2345806 -0.08060399
Moved 1391.096 255.7559 353.5118 -0.2413057 -0.08870419
Moved 1391.126 251.7804 350.8902 -0.2505084 -0.09544709
Moved 1391.157 249.0112 348.0112 -0.2569186 -0.102852
Moved 1391.188 248 347 -0.2592593 -0.1054527
Ended 1391.219 248 347 -0.2592593 -0.1054527
Began 1392.387 202 494 -0.3657407 0.2726337
Stationary 1392.417 202 494 -0.3657407 0.2726337
Stationary 1392.448 202 494 -0.3657407 0.2726337
Stationary 1392.479 202 494 -0.3657407 0.2726337
Stationary 1392.51 202 494 -0.3657407 0.2726337
Stationary 1392.54 202 494 -0.3657407 0.2726337
Stationary 1392.571 202 494 -0.3657407 0.2726337
Stationary 1392.602 202 494 -0.3657407 0.2726337
Stationary 1392.633 202 494 -0.3657407 0.2726337
Stationary 1392.663 202 494 -0.3657407 0.2726337
Moved 1392.694 211.8264 494 -0.3429945 0.2726337
Moved 1392.725 215.5236 494 -0.3344361 0.2726337
Moved 1392.755 220.2248 494 -0.3235536 0.2726337
Moved 1392.786 224.1085 494 -0.3145637 0.2726337
Moved 1392.817 227.9803 494 -0.3056011 0.2726337
Moved 1392.848 231.1126 494 -0.2983504 0.2726337
Moved 1392.879 234.4226 494 -0.2906884 0.2726337
Moved 1392.909 238.6042 494 -0.2810088 0.2726337
Moved 1392.94 240.8866 494 -0.2757254 0.2726337
Moved 1392.971 246.4344 494 -0.2628833 0.2726337
Moved 1393.001 254.3573 494 -0.2445433 0.2726337
Moved 1393.032 269.8045 494 -0.2087859 0.2726337
Moved 1393.063 293.7763 494 -0.1532956 0.2726337
Moved 1393.094 325.2252 494 -0.08049731 0.2726337
Moved 1393.124 355.6227 494 -0.01013269 0.2726337
Moved 1393.155 381.5 494 0.04976849 0.2726337
Moved 1393.186 405.4199 494 0.1051387 0.2726337
Moved 1393.217 431.2722 494 0.1649819 0.2726337
Moved 1393.247 457.0587 494 0.224673 0.2726337
Moved 1393.278 474.1726 494 0.2642885 0.2726337
Moved 1393.309 490.4514 494 0.3019708 0.2726337
Moved 1393.34 499.5056 494 0.3229295 0.2726337
Moved 1393.37 507.1352 494 0.3405907 0.2726337
Moved 1393.401 511.2109 494 0.3500253 0.2726337
Moved 1393.432 514.4733 494 0.3575771 0.2726337
Moved 1393.463 516.3442 494 0.361908 0.2726337
Moved 1393.493 517 494 0.3634259 0.2726337
Moved 1393.524 518 494 0.3657407 0.2726337
Stationary 1393.555 518 494 0.3657407 0.2726337
Moved 1393.585 518 502.7443 0.3657407 0.2951242
Moved 1393.616 518 503.5 0.3657407 0.2970678
Moved 1393.647 505.2866 505.9045 0.3363116 0.3032521
Moved 1393.678 495.6659 507.778 0.3140414 0.3080709
Moved 1393.708 485 508 0.2893518 0.3086419
Moved 1393.739 474.219 508 0.2643959 0.3086419
Moved 1393.77 459.6567 508 0.2306868 0.3086419
Moved 1393.8 448.16 508 0.204074 0.3086419
Moved 1393.831 439.963 501 0.1850994 0.2906378
Moved 1393.862 429.9701 498.6567 0.1619678 0.2846107
Moved 1393.893 421.3547 496.7849 0.1420248 0.2797965
Moved 1393.924 413.8185 494.9092 0.1245799 0.2749723
Moved 1393.954 406.0062 493.3354 0.1064959 0.2709243
Moved 1393.985 399.3742 492 0.09114404 0.2674896
Moved 1394.016 390.7585 490.5862 0.07120024 0.2638532
Moved 1394.047 383.0936 490.0312 0.05345732 0.2624259
Moved 1394.077 374.334 490 0.03318061 0.2623456
Moved 1394.108 364.1846 489 0.00968655 0.2597736
Moved 1394.139 353.6504 487.4126 -0.01469811 0.2556908
Moved 1394.169 343.6387 487 -0.03787339 0.2546296
Moved 1394.2 332.1783 487 -0.06440213 0.2546296
Moved 1394.231 322.6376 486.1594 -0.08648708 0.2524676
Moved 1394.262 314.5 486 -0.1053241 0.2520575
Moved 1394.292 306.2088 486 -0.1245167 0.2520575
Moved 1394.323 299.7381 484.869 -0.1394952 0.2491486
Moved 1394.354 292.9804 485 -0.1551379 0.2494856
Moved 1394.385 288.9317 485 -0.16451 0.2494856
Moved 1394.415 282.1831 485 -0.1801316 0.2494856
Moved 1394.446 276.4362 485 -0.1934348 0.2494856
Moved 1394.477 270.678 485 -0.2067638 0.2494856
Moved 1394.507 266.5414 485 -0.2163393 0.2494856
Moved 1394.538 262.394 485 -0.2259399 0.2494856
Moved 1394.569 259.518 485 -0.2325973 0.2494856
Moved 1394.6 256.9842 485 -0.2384626 0.2494856
Moved 1394.63 255.5526 485 -0.2417765 0.2494856
Moved 1394.661 253.6736 485 -0.2461259 0.2494856
Moved 1394.692 252 485 -0.25 0.2494856
Stationary 1394.723 252 485 -0.25 0.2494856
Moved 1394.753 251 485 -0.2523148 0.2494856
Stationary 1394.784 251 485 -0.2523148 0.2494856
Stationary 1394.815 251 485 -0.2523148 0.2494856
Moved 1394.846 260.8698 485 -0.2294679 0.2494856
Moved 1394.876 273.9818 485 -0.1991161 0.2494856
Moved 1394.907 287.2159 492 -0.1684818 0.2674896
Moved 1394.938 298.3584 492 -0.142689 0.2674896
Moved 1394.969 312.3358 492 -0.1103339 0.2674896
Moved 1394.999 322.3617 492 -0.08712565 0.2674896
Moved 1395.03 330.6471 493 -0.06794656 0.2700616
Moved 1395.061 336.5782 493 -0.05421703 0.2700616
Moved 1395.091 343.3249 493 -0.03859972 0.2700616
Moved 1395.122 347.5346 493 -0.02885506 0.2700616
Moved 1395.153 350.0562 494 -0.02301797 0.2726337
Moved 1395.184 351.9469 494 -0.01864145 0.2726337
Moved 1395.214 352.8206 494 -0.01661902 0.2726337
Moved 1395.245 354.3507 494 -0.01307706 0.2726337
Moved 1395.276 355.3155 494 -0.01084382 0.2726337
Moved 1395.307 356.2499 494 -0.00868077 0.2726337
Moved 1395.337 357 494 -0.006944438 0.2726337
Moved 1395.368 358.3896 494 -0.003727874 0.2726337
Moved 1395.399 360.385 494 0.0008911888 0.2726337
Moved 1395.43 362.1271 494 0.004923939 0.2726337
Moved 1395.46 365.1289 494 0.01187255 0.2726337
Moved 1395.491 367.4816 494 0.01731853 0.2726337
Moved 1395.522 369.5 494 0.02199074 0.2726337
Moved 1395.552 371.4145 494 0.02642254 0.2726337
Moved 1395.583 372.3708 494 0.02863606 0.2726337
Moved 1395.614 374 485.314 0.03240744 0.250293
Moved 1395.645 378.45 473.3751 0.04270832 0.219586
Moved 1395.675 382.6021 459.9894 0.05231966 0.1851578
Moved 1395.706 387.1081 446.4595 0.06275027 0.1503586
Moved 1395.737 393.0396 434.9406 0.07648051 0.1207319
Moved 1395.768 398.7868 422.3198 0.08978417 0.08827111
Moved 1395.798 404.533 408.9341 0.1030855 0.0538428
Moved 1395.829 409.5505 401.1742 0.1147003 0.0338842
Moved 1395.86 415.2975 391.5537 0.1280036 0.009140163
Moved 1395.891 422.0183 380.9725 0.1435609 -0.01807484
Ended 1395.921 428 370 0.1574074 -0.04629637
Began 1397.427 472 235 0.2592593 -0.3935186
Stationary 1397.458 472 235 0.2592593 -0.3935186
Stationary 1397.489 472 235 0.2592593 -0.3935186
Stationary 1397.52 472 235 0.2592593 -0.3935186
Stationary 1397.55 472 235 0.2592593 -0.3935186
Stationary 1397.581 472 235 0.2592593 -0.3935186
Stationary 1397.612 472 235 0.2592593 -0.3935186
Stationary 1397.643 472 235 0.2592593 -0.3935186
Moved 1397.673 455.7196 243.7925 0.2215732 -0.3709042
Moved 1397.704 435.0499 252.4751 0.1737266 -0.3485723
Moved 1397.735 408.0507 262.981 0.1112284 -0.3215508
Moved 1397.766 376.2539 276.6119 0.03762474 -0.2864922
Moved 1397.796 345.0321 291.9839 -0.03464783 -0.2469549
Moved 1397.827 310.0932 305.057 -0.115525 -0.2133308
Moved 1397.858 279.1729 315.3314 -0.1870997 -0.1869048
Moved 1397.888 251.1198 324.9601 -0.2520374 -0.1621398
Moved 1397.919 224.3436 336.0447 -0.3140193 -0.1336299
Moved 1397.95 205.0055 341.3989 -0.3587835 -0.119859
