please provide your date of birth
Direct
0.6 0.6
432 388.8
Began 363.7982 594 533 0.5416667 0.3729423
Stationary 363.829 594 533 0.5416667 0.3729423
Stationary 363.8597 594 533 0.5416667 0.3729423
Moved 363.8905 588.8469 526.5586 0.529738 0.3563749
Moved 363.9212 578.2081 504.8223 0.5051113 0.3004687
Moved 363.9519 567.7626 476.7964 0.480932 0.2283857
Moved 363.9827 561.4313 445.588 0.4662762 0.1481172
Moved 364.0135 558.6084 420.3005 0.4597416 0.08307727
Moved 364.0443 556.9309 397.5162 0.4558586 0.02447572
Moved 364.075 556.3814 386.1443 0.4545865 -0.004772963
Moved 364.1057 553.8293 378.6586 0.4486789 -0.02402639
Moved 364.1364 547.6216 373.3108 0.4343093 -0.03778096
Moved 364.1671 518.33 373 0.3665047 -0.03858032
Moved 364.1979 475 397 0.2662037 0.02314815
Moved 364.2287 436.8226 417.5494 0.1778302 0.07600156
Moved 364.2594 404.0884 437.2003 0.1020566 0.1265437
Moved 364.2902 351.9916 463.1799 -0.01853804 0.193364
Moved 364.3209 311.588 477.1373 -0.1120649 0.2292626
Moved 364.3516 292.1338 480.9618 -0.1570978 0.2390992
Moved 364.3824 278.965 483.207 -0.1875811 0.2448739
Moved 364.4131 269.5379 483 -0.2094029 0.2443414
Moved 364.4439 259.1524 483 -0.2334434 0.2443414
Moved 364.4746 246.5715 462.6667 -0.2625661 0.1920439
Moved 364.5053 233.304 443.84 -0.2932779 0.1436212
Moved 364.5361 217.876 418.4394 -0.3289907 0.07829057
Moved 364.5669 207.071 397.3741 -0.3540024 0.02411042
Moved 364.5976 199.4345 384.8691 -0.3716793 -0.008052818
Moved 364.6284 197.9492 380.8477 -0.3751176 -0.01839595
Moved 364.6591 196 375.5 -0.3796296 -0.03215028
Moved 364.6898 195 372.9161 -0.3819444 -0.03879618
Moved 364.7206 195 370.7585 -0.3819444 -0.0443453
Moved 364.7513 205.6283 365.2787 -0.3573418 -0.05843951
Moved 364.7821 212.2583 362.5806 -0.3419948 -0.0653792
Moved 364.8128 218.9189 361 -0.3265765 -0.06944452
Moved 364.8436 226.5 361 -0.3090278 -0.06944452
Moved 364.8743 230.5848 373.3772 -0.2995723 -0.03761017
Moved 364.905 232 393.6586 -0.2962963 0.01455385
Moved 364.9358 232 414.2318 -0.2962963 0.06746853
Moved 364.9665 232 437.1484 -0.2962963 0.1264105
Moved 364.9973 222.5931 456.3309 -0.3180715 0.1757482
Moved 365.028 221 469.8586 -0.3217593 0.2105416
Ended 365.0588 221 469.8586 -0.3217593 0.2105416
Began 366.5037 583 490 0.5162038 0.2623456
Stationary 366.5345 583 490 0.5162038 0.2623456
Stationary 366.5652 583 490 0.5162038 0.2623456
Stationary 366.5959 583 490 0.5162038 0.2623456
Stationary 366.6266 583 490 0.5162038 0.2623456
Moved 366.6575 568.9777 490 0.4837447 0.2623456
Moved 366.6882 563.1962 490 0.4703616 0.2623456
Moved 366.719 558.8012 490 0.460188 0.2623456
Moved 366.7497 556.3132 490 0.4544288 0.2623456
Moved 366.7804 552.2036 490 0.4449158 0.2623456
Moved 366.8111 551.5 490 0.443287 0.2623456
Moved 366.8419 550.9734 490 0.442068 0.2623456
Moved 366.8726 549 490 0.4375 0.2623456
Moved 366.9034 547.8565 490 0.434853 0.2623456
Moved 366.9341 542.8737 490 0.4233187 0.2623456
Moved 366.9648 530.322 490 0.3942638 0.2623456
Moved 366.9956 504.0518 481.0086 0.3334531 0.2392196
Moved 367.0264 453.3836 474.3405 0.2161658 0.2220691
Moved 367.0571 434.481 474 0.1724098 0.2211934
Moved 367.0878 406.2995 474 0.1071748 0.2211934
Moved 367.1186 367.6292 474 0.01766006 0.2211934
Moved 367.1493 358.1017 474 -0.004394303 0.2211934
Moved 367.1801 333.3947 474 -0.06158625 0.2211934
Moved 367.2108 329.5093 474 -0.07058039 0.2211934
Moved 367.2415 319.6658 474 -0.0933662 0.2211934
Moved 367.2723 317.1038 481 -0.09929687 0.2391974
Moved 367.303 316 482 -0.1018519 0.2417695
Moved 367.3338 316 483.9258 -0.1018519 0.2467228
Moved 367.3645 316 484.5 -0.1018519 0.2481995
Moved 367.3953 341.1733 486.7645 -0.04358038 0.2540237
Moved 367.4261 378.8996 490.6533 0.04374902 0.2640258
Moved 367.4568 423.2871 494.6826 0.1464979 0.2743894
