traveling requires a lot of fuel
Direct
0.6 0.6
432 388.8
Began 1635.421 367 494 0.01620372 0.2726337
Stationary 1635.452 367 494 0.01620372 0.2726337
Stationary 1635.482 367 494 0.01620372 0.2726337
Stationary 1635.513 367 494 0.01620372 0.2726337
Stationary 1635.544 367 494 0.01620372 0.2726337
Moved 1635.574 356.5734 494 -0.007931888 0.2726337
Moved 1635.605 350.9016 494 -0.021061 0.2726337
Moved 1635.636 346.2239 494 -0.03188918 0.2726337
Moved 1635.667 334.3347 494 -0.05941039 0.2726337
Moved 1635.697 322.8702 487 -0.08594866 0.2546296
Moved 1635.728 311.518 487 -0.1122268 0.2546296
Moved 1635.759 300.876 486 -0.1368611 0.2520575
Moved 1635.79 290.2601 486 -0.161435 0.2520575
Moved 1635.82 281.6582 486 -0.1813467 0.2520575
Moved 1635.851 278.0216 486 -0.1897648 0.2520575
Moved 1635.882 275.1443 486 -0.1964251 0.2520575
Moved 1635.912 273.7079 486 -0.1997502 0.2520575
Moved 1635.943 272.6266 486 -0.2022533 0.2520575
Moved 1635.974 272 483.8441 -0.2037037 0.2465125
Moved 1636.005 271 477.9089 -0.2060186 0.231247
Moved 1636.035 269 465.3641 -0.2106481 0.1989818
Moved 1636.066 265.5 454 -0.21875 0.169753
Moved 1636.097 259.0444 440.0888 -0.2336935 0.1339732
Moved 1636.128 252.4403 428.0672 -0.2489808 0.1030534
Moved 1636.158 242.8333 414.7777 -0.2712193 0.06887267
Moved 1636.189 231.1769 401.1769 -0.2982015 0.03389127
Moved 1636.22 219.693 390.6931 -0.3247846 0.006926501
Moved 1636.25 212.0431 385.3621 -0.3424928 -0.006784902
Moved 1636.281 208.8212 382 -0.3499508 -0.01543218
Moved 1636.312 208 379.262 -0.3518518 -0.02247437
Moved 1636.343 208 377.3948 -0.3518518 -0.02727681
Moved 1636.373 208 363.6244 -0.3518518 -0.06269455
Moved 1636.404 230.0199 348.9801 -0.3008799 -0.1003599
Moved 1636.435 248.0546 331.8103 -0.2591328 -0.1445209
Moved 1636.465 266.4543 316.2881 -0.216541 -0.1844443
Moved 1636.496 283.1186 299.8813 -0.1779661 -0.2266426
Moved 1636.527 295.1102 289.0748 -0.1502078 -0.2544372
Moved 1636.558 309.3105 277.8137 -0.1173369 -0.283401
Moved 1636.588 325.5552 266.3177 -0.07973324 -0.312969
Moved 1636.619 339.5 256 -0.04745369 -0.3395062
Moved 1636.65 351.053 247.298 -0.02071063 -0.361888
Moved 1636.681 358.4413 240.5587 -0.003608068 -0.3792215
Moved 1636.711 363.0971 237.9028 0.007169347 -0.3860524
Moved 1636.742 366.4431 237 0.01491457 -0.3883744
Moved 1636.773 368.4943 237 0.01966268 -0.3883744
Moved 1636.803 368 260.485 0.01851857 -0.3279707
Moved 1636.834 358.1765 286.2794 -0.004220953 -0.2616271
Moved 1636.865 352.6577 306.4654 -0.01699612 -0.2097084
Moved 1636.896 345.6976 328.9072 -0.0331074 -0.1519876
Moved 1636.926 339 345.5 -0.04861111 -0.1093108
Moved 1636.957 333.9235 356.153 -0.06036222 -0.08191121
Moved 1636.988 326.2287 373.5425 -0.07817423 -0.0371849
Moved 1637.018 318.5991 390.8019 -0.09583553 0.00720648
Moved 1637.049 310.9826 407.3622 -0.1134661 0.04980001
Moved 1637.08 304.2492 423.7518 -0.1290528 0.09195422
Moved 1637.111 295.7538 443.7387 -0.1487181 0.1433608
Moved 1637.141 289.9992 457.0016 -0.162039 0.1774733
Moved 1637.172 285.3559 469.5764 -0.1727873 0.2098158
Moved 1637.203 282.5966 481.6138 -0.1791746 0.2407761
Moved 1637.234 283 492.8203 -0.1782407 0.2695995
Moved 1637.264 283 501.3046 -0.1782407 0.2914211
Moved 1637.295 287.5958 507.6566 -0.1676022 0.3077585
Moved 1637.326 295.5927 513.0618 -0.1490911 0.3216608
Moved 1637.356 304.174 517.3914 -0.1292269 0.3327966
Moved 1637.387 320.8576 519 -0.09060741 0.3369341
Moved 1637.418 337.7444 519 -0.05151768 0.3369341
Moved 1637.449 357.1914 506.9043 -0.006501426 0.3058237
Moved 1637.479 376.9822 496.1556 0.03931055 0.2781779
Moved 1637.51 393.4523 483.6123 0.07743596 0.2459163
Moved 1637.541 413.7816 464.2548 0.1244943 0.1961286
Moved 1637.572 432.0672 446.7773 0.1668223 0.151176
