win first prize in the contest
Direct
0.6 0.6
432 388.8
Moved 512.1031 516.5018 496 0.3622727 0.2777777
Moved 512.1339 489.171 505.9024 0.299007 0.3032468
Moved 512.1646 444.2552 511.9205 0.1950352 0.3187256
Moved 512.1954 405.7739 515.0162 0.105958 0.3266876
Moved 512.226 378.7151 516 0.04332194 0.329218
Moved 512.2568 346.9734 516 -0.03015404 0.329218
Moved 512.2875 322.296 516 -0.08727773 0.329218
Moved 512.3183 310.3686 516 -0.1148875 0.329218
Moved 512.349 303.6107 509 -0.1305309 0.3112139
Moved 512.3797 301.3087 509 -0.1358594 0.3112139
Moved 512.4105 299.7669 509 -0.1394285 0.3112139
Stationary 512.4412 299.7669 509 -0.1394285 0.3112139
Moved 512.4719 322.1682 509 -0.08757354 0.3112139
Moved 512.5026 363.8243 509 0.00885268 0.3112139
Moved 512.5334 421.266 518.121 0.1418195 0.3346732
Moved 512.5641 470.64 529.3292 0.2561112 0.363501
Moved 512.5948 495.0698 531.8967 0.3126615 0.3701045
Moved 512.6256 510.1867 534.4373 0.3476545 0.3766391
Moved 512.6563 515.9654 534 0.361031 0.3755144
Moved 512.687 518.4997 534 0.3668975 0.3755144
Moved 512.7177 519 534 0.3680556 0.3755144
Moved 512.7485 519 524.503 0.3680556 0.3510878
Moved 512.7792 483.4065 500.0549 0.2856632 0.288207
Moved 512.8099 380.4877 426.6853 0.04742513 0.09949915
Moved 512.8407 343.752 396.2016 -0.03761122 0.02109461
Moved 512.8713 314.0378 370.307 -0.1063941 -0.04550675
Moved 512.9022 285.9795 340.9795 -0.1713438 -0.1209375
Moved 512.9329 260.2626 311.5151 -0.2308735 -0.1967204
Moved 512.9636 244.9034 293.3181 -0.2664275 -0.2435234
Moved 512.9943 233.4299 280.4299 -0.2929864 -0.2766722
Moved 513.0251 226.8995 274.5997 -0.3081031 -0.2916675
Moved 513.0558 222.7451 271.7451 -0.3177197 -0.2990095
Moved 513.0865 219.5916 272 -0.3250194 -0.2983539
Moved 513.1173 209.8174 319.4001 -0.3476449 -0.1764401
Moved 513.148 209 393.043 -0.349537 0.01297056
Moved 513.1787 223.5889 438.2086 -0.3157664 0.1291372
Moved 513.2095 234.779 476.6335 -0.2898635 0.2279667
Moved 513.2402 248.7476 516.369 -0.2575287 0.3301671
Moved 513.2709 255.981 532.9621 -0.2407846 0.3728448
Moved 513.3017 261.1084 541.1085 -0.2289157 0.3937974
