the collapse of the Roman empire
Direct
0.6 0.6
432 388.8
Began 547.8407 345 490 -0.03472224 0.2623456
Stationary 547.8714 345 490 -0.03472224 0.2623456
Stationary 547.9022 345 490 -0.03472224 0.2623456
Stationary 547.9329 345 490 -0.03472224 0.2623456
Stationary 547.9636 345 490 -0.03472224 0.2623456
Moved 547.9944 361.0543 468.7131 0.002440512 0.2075955
Moved 548.0251 377.3876 430.3923 0.04024903 0.1090335
Moved 548.0558 383.7031 406.3361 0.05486826 0.0471608
Moved 548.0865 384 382.3872 0.0555556 -0.01443627
Moved 548.1172 384 370.2198 0.0555556 -0.04573092
Moved 548.1479 373.6239 368 0.03153672 -0.05144041
Moved 548.1787 326.9115 408.0826 -0.07659376 0.05165268
Moved 548.2094 296.0305 447.6259 -0.1480775 0.1533588
Moved 548.2402 274.2253 475.7945 -0.1985525 0.2258088
Moved 548.2709 258.6422 501.1337 -0.2346245 0.2909815
Moved 548.3016 245.3548 518.6451 -0.2653823 0.3360214
Moved 548.3323 235.9861 527.0092 -0.2870691 0.3575339
Moved 548.363 230.119 530.881 -0.3006504 0.3674921
Ended 548.3937 229 531 -0.3032407 0.3677982
Began 549.1005 290 227 -0.162037 -0.4140947
Stationary 549.1312 290 227 -0.162037 -0.4140947
Stationary 549.1619 290 227 -0.162037 -0.4140947
Moved 549.1926 317.334 264.3342 -0.09876385 -0.3180705
Moved 549.2234 347.3178 312.1007 -0.02935693 -0.1952142
Moved 549.2541 378.7029 363.113 0.04329384 -0.06400991
Moved 549.2848 396.5425 394.3138 0.08458922 0.01623903
Moved 549.3155 411.5 421 0.119213 0.08487643
Moved 549.3463 439.5119 457.2296 0.1840554 0.1780594
Moved 549.377 456.2034 475.2034 0.2226931 0.2242886
Moved 549.4077 466.4393 491.7687 0.2463872 0.2668948
Moved 549.4384 476.546 498.5977 0.2697823 0.2844591
Moved 549.4692 494.6522 507.0435 0.3116948 0.3061816
Moved 549.4999 508.1895 510 0.3430314 0.3137859
Moved 549.5306 517.8115 510 0.3653044 0.3137859
Moved 549.5613 526.3268 495.1219 0.3850158 0.2755192
Moved 549.592 532.6486 472.4603 0.3996494 0.2172331
Moved 549.6227 535 452.3464 0.4050927 0.1655
Moved 549.6535 535 431.6207 0.4050927 0.1121931
Moved 549.6843 506.8566 390.186 0.3399457 0.005622479
Moved 549.715 470.2347 353.4736 0.2551731 -0.08880246
Moved 549.7457 403.6093 327.8448 0.1009475 -0.1547201
Moved 549.7764 322.4609 324 -0.08689607 -0.164609
Moved 549.8071 267.6895 334.2069 -0.2136818 -0.1383568
Moved 549.8378 216.802 344.8396 -0.3314769 -0.1110093
Moved 549.8686 189.569 347.633 -0.3945161 -0.1038247
Moved 549.8994 173.0102 350.3979 -0.4328467 -0.09671309
Moved 549.9301 165.4735 353.2632 -0.4502929 -0.08934358
Moved 549.9608 165 359.4031 -0.4513889 -0.0735516
Moved 549.9915 244.4912 413.7501 -0.2673815 0.06622954
Moved 550.0222 363.8607 462.3511 0.008936724 0.1912323
Moved 550.0529 466.0606 480.6734 0.2455107 0.2383574
Moved 550.0837 532.5004 487.2895 0.3993065 0.2553742
Moved 550.1144 560.2904 489.7863 0.4636352 0.261796
Moved 550.1451 575.9722 493 0.4999357 0.2700616
Moved 550.1759 580 495 0.5092593 0.2752057
Moved 550.2066 580 496.032 0.5092593 0.2778601
Moved 550.2373 524.8947 489.261 0.3817007 0.2604448
Moved 550.2681 442.0408 468.5644 0.1899092 0.2072129
Moved 550.2988 355.1854 445.0957 -0.01114498 0.146851
Moved 550.3295 294.6127 428.175 -0.1513594 0.1033308
Moved 550.3602 252.8134 411.6349 -0.2481173 0.06078928
Moved 550.3909 226.3105 401.1552 -0.3094665 0.03383534
Moved 550.4216 211.1891 394.0945 -0.3444696 0.01567523
Moved 550.4524 201.8088 389.2059 -0.3661833 0.003101443
Moved 550.4832 196.7233 387.7233 -0.3779554 -0.000711802
Moved 550.5139 194.9239 388 -0.3821206 -3.924585E-08
Moved 550.5446 195 404.8 -0.3819444 0.04320977
Moved 550.5753 206.2409 434.7226 -0.3559239 0.1201712
Moved 550.6061 220.5751 469.5795 -0.3227428 0.2098237
Moved 550.6368 229.9583 491.236 -0.3010225 0.2655247
Moved 550.6675 231.8165 500.4493 -0.2967212 0.2892215
