the bathroom is good for reading
Direct
0.6 0.6
432 388.8
Moved 679.2968 313.7335 454.5215 -0.1070983 0.1710943
Moved 679.3275 289.8667 466.5667 -0.1623457 0.2020746
Moved 679.3583 272.925 474.3583 -0.2015625 0.222115
Moved 679.389 263 479 -0.2245371 0.2340534
Moved 679.4198 253.4946 484.5054 -0.2465403 0.2482135
Moved 679.4506 252.5 484 -0.2488426 0.2469135
Moved 679.4813 252 486 -0.25 0.2520575
Moved 679.512 289.5 486 -0.1631944 0.2520575
Moved 679.5428 372.6428 486 0.02926578 0.2520575
Moved 679.5735 446.9964 486 0.2013806 0.2520575
Moved 679.6043 482.0453 486 0.2825122 0.2520575
Moved 679.635 508.0091 486 0.3426137 0.2520575
Moved 679.6658 521.9401 488.735 0.3748612 0.2590921
Moved 679.6965 528.575 490 0.3902199 0.2623456
Moved 679.7274 530 492 0.3935185 0.2674896
Stationary 679.7579 530 492 0.3935185 0.2674896
Moved 679.7888 513.7274 480.5456 0.3558504 0.2380287
Moved 679.8196 473.5579 417.0217 0.2628655 0.07464416
Moved 679.8503 433.8781 311.0488 0.171014 -0.1979198
Moved 679.881 422.4133 249.7196 0.1444752 -0.3556594
Moved 679.9119 423 225 0.1458333 -0.4192387
Ended 679.9426 431 219 0.1643519 -0.4346708
Began 680.6806 465 471 0.2430555 0.2134772
Stationary 680.7114 465 471 0.2430555 0.2134772
Moved 680.7421 448.2347 471 0.2042469 0.2134772
Moved 680.7728 400.0474 448.7988 0.09270231 0.1563755
Moved 680.8036 320.6145 412.8635 -0.09117021 0.06394916
Moved 680.8344 280.7087 393.0229 -0.1835447 0.01291883
Moved 680.8651 255.2047 381.0026 -0.2425818 -0.01799744
Moved 680.8959 247.5273 378 -0.2603535 -0.02572024
Ended 680.9266 247 378 -0.2615741 -0.02572024
Began 681.6954 328 391 -0.07407407 0.007715971
Stationary 681.7262 328 391 -0.07407407 0.007715971
Moved 681.757 343.4016 379.1526 -0.03842235 -0.02275561
Moved 681.7877 356.2241 378.1776 -0.008740474 -0.02526342
Moved 681.8184 393.3128 378 0.07711302 -0.02572024
Moved 681.8492 439.0575 404.5531 0.1830033 0.04257485
Moved 681.8799 470.8712 418.7485 0.2566463 0.0790855
Moved 681.9106 498.655 439.9155 0.3209607 0.1335275
Moved 681.9414 516.6473 457.9218 0.3626094 0.17984
Moved 681.9722 526 478 0.3842592 0.2314814
Moved 682.0029 528 493.4734 0.3888889 0.2712793
Moved 682.0336 521.693 505.5228 0.3742894 0.3022706
Moved 682.0644 494.0537 512.1622 0.3103094 0.3193471
Moved 682.0952 443.1877 499.4676 0.1925641 0.2866964
Moved 682.1259 379.1471 471.6882 0.04432191 0.2152475
Moved 682.1566 336.5061 440.5045 -0.05438402 0.1350422
Moved 682.1874 311.5778 409.4722 -0.1120885 0.05522673
Ended 682.2181 304.3744 396.7488 -0.1287629 0.02250212
Began 683.6328 328 391 -0.07407407 0.007715971
Stationary 683.6635 328 391 -0.07407407 0.007715971
Moved 683.6942 375.2755 399.2239 0.03535996 0.02886807
Moved 683.725 431.6401 412.7757 0.1658335 0.06372342
Moved 683.7558 478.6085 426.4316 0.2745567 0.09884657
Moved 683.7866 505.1248 440.1804 0.3359369 0.1342089
Moved 683.8172 518.1747 451.381 0.3661453 0.163017
Moved 683.848 520 457.7242 0.3703704 0.1793317
Moved 683.8787 499.9858 477.6989 0.3240412 0.2307069
Moved 683.9095 443.8852 489.5143 0.1941787 0.2610965
Moved 683.9402 385.3642 489 0.05871336 0.2597736
Moved 683.9695 348.0036 489 -0.02776946 0.2597736
Ended 684.0016 335 489 -0.05787035 0.2597736
Began 684.8627 369 502 0.02083332 0.2932098
Stationary 684.8935 369 502 0.02083332 0.2932098
Moved 684.9242 357.8829 502 -0.004900744 0.2932098
Moved 684.955 348.0566 502 -0.02764667 0.2932098
Moved 684.9857 325.0542 502 -0.08089299 0.2932098
Moved 685.0165 295.9009 502 -0.1483776 0.2932098
Moved 685.0472 277.7464 502 -0.1904018 0.2932098
Moved 685.0779 265.0177 502 -0.2198664 0.2932098
Moved 685.1088 256.9856 493.2249 -0.2384592 0.27064
Moved 685.1395 244.2871 482.5016 -0.2678539 0.2430597
Moved 685.1702 230.3569 458.0424 -0.3000998 0.1801502
Moved 685.201 216.7468 427.6182 -0.3316045 0.1018986
Moved 685.2318 205.3572 402.8216 -0.3579694 0.03812126
Moved 685.2625 196.711 385.7776 -0.3779837 -0.005716119
Moved 685.2933 189.4509 375.4509 -0.3947897 -0.03227665
Moved 685.324 185.5434 370.2717 -0.4038348 -0.04559756
