the bathroom is good for reading
Direct
0.6 0.6
432 388.8
Began 625.9824 334 496 -0.06018519 0.2777777
Moved 626.0131 347.701 476.9485 -0.02846986 0.2287768
Moved 626.0438 375.8997 439.9459 0.03680488 0.1336056
Moved 626.0746 397 412.5 0.0856481 0.06301432
Moved 626.1052 405.2594 401.6109 0.1047671 0.03500738
Moved 626.1359 406 397.5 0.1064815 0.02443408
Moved 626.1667 360.711 424.9052 0.001645883 0.09492065
Moved 626.1974 291.5508 476.4214 -0.1584473 0.2274212
Moved 626.2282 270.0512 497.2736 -0.2082148 0.2810535
Ended 626.2589 263.5881 504.6179 -0.2231757 0.2999429
Began 626.9964 385 271 0.05787035 -0.300926
Stationary 627.0272 385 271 0.05787035 -0.300926
Stationary 627.0579 385 271 0.05787035 -0.300926
Stationary 627.0886 385 271 0.05787035 -0.300926
Moved 627.1194 356.5 281.5 -0.008101861 -0.2739198
Moved 627.15 253.6031 340.6553 -0.246289 -0.1217713
Moved 627.1808 208.793 365.1242 -0.3500161 -0.05883691
Moved 627.2115 195.3147 373.7902 -0.381216 -0.03654786
Moved 627.2422 190.4042 376.2979 -0.3925829 -0.03009804
Moved 627.273 187.7199 379.2801 -0.3987966 -0.02242783
Moved 627.3037 186 381.1604 -0.4027778 -0.01759164
Moved 627.3345 183.963 382 -0.4074932 -0.01543218
Moved 627.3652 184 386.3701 -0.4074074 -0.00419236
Moved 627.3959 207.4403 410.1152 -0.3531475 0.05688051
Moved 627.4266 251.597 445.9478 -0.2509328 0.1490425
Moved 627.4574 284.6758 466.2275 -0.1743616 0.2012024
Moved 627.4881 306.4042 478.2021 -0.1240643 0.2320012
Moved 627.5188 317.8438 483.6146 -0.09758382 0.2459222
Moved 627.5496 323.496 485 -0.08450007 0.2494856
Moved 627.5803 328.1505 486 -0.07372573 0.2520575
Moved 627.611 347.4059 467.0802 -0.02915303 0.2033955
Moved 627.6418 382.9559 413.0662 0.05313863 0.06447054
Moved 627.6725 410.5 376 0.1168981 -0.03086435
Moved 627.7032 428.1495 355.6205 0.1577535 -0.08328057
Moved 627.7339 439.4916 343.6313 0.1840084 -0.1141171
Moved 627.7646 440.9826 341.0174 0.1874597 -0.1208401
Moved 627.7954 441 339.7947 0.1875 -0.123985
Moved 627.8261 442.375 340 0.1906829 -0.1234569
Stationary 627.8569 442.375 340 0.1906829 -0.1234569
Stationary 627.8876 442.375 340 0.1906829 -0.1234569
Stationary 627.9183 442.375 340 0.1906829 -0.1234569
Stationary 627.949 442.375 340 0.1906829 -0.1234569
Stationary 627.9798 442.375 340 0.1906829 -0.1234569
Stationary 628.0106 442.375 340 0.1906829 -0.1234569
Moved 628.0412 442 354.6435 0.1898148 -0.08579355
Moved 628.072 432.2052 367.8909 0.1671416 -0.05172093
Moved 628.1027 410.3543 393.6457 0.116561 0.01452077
Moved 628.1334 386.3489 417.501 0.06099293 0.07587695
Moved 628.1642 357.6841 439.2187 -0.005360842 0.1317352
Moved 628.1949 333.9075 456.395 -0.06039937 0.1759131
Moved 628.2256 322 465.5 -0.08796295 0.1993312
Moved 628.2563 316.6831 470.6339 -0.1002707 0.2125356
Moved 628.2871 312.8069 474.1931 -0.1092432 0.22169
Moved 628.3178 312 478.1447 -0.1111111 0.2318534
Moved 628.3486 340.9626 497.8505 -0.04406795 0.2825371
Moved 628.3793 427.7129 528.138 0.1567428 0.3604372
Moved 628.41 479.4233 538.0168 0.2764428 0.3858457
Moved 628.4407 502.2543 540.209 0.3292924 0.3914841
Moved 628.4714 511.2729 541 0.3501686 0.3935184
Moved 628.5022 517.6302 541 0.3648847 0.3935184
Moved 628.5329 522 541 0.375 0.3935184
Moved 628.5637 523.0132 541 0.3773453 0.3935184
Moved 628.5944 524.374 541 0.3804953 0.3935184
Stationary 628.6251 524 541 0.3796296 0.3935184
Moved 628.6558 519.5383 528.8896 0.3693015 0.3623704
Moved 628.6866 467.2908 435.2081 0.2483583 0.1214198
Moved 628.7173 440.9197 375.4378 0.187314 -0.03231017
Moved 628.748 440 330.8438 0.1851852 -0.1470067
Moved 628.7787 440 302 0.1851852 -0.2211935
Moved 628.8095 440 287.1314 0.1851852 -0.2594357
Ended 628.8402 440 288 0.1851852 -0.2572017
Began 629.3319 487 536 0.2939814 0.3806583
Stationary 629.3627 487 536 0.2939814 0.3806583
