want to join us for lunch
Direct
0.6 0.6
432 388.8
Moved 756.2365 434.5705 493.2953 0.1726168 0.2708211
Moved 756.2671 386.9525 500.2698 0.06239017 0.2887599
Moved 756.2979 347.2484 505.146 -0.02951756 0.3013013
Moved 756.3286 322.9174 506 -0.08583938 0.3034978
Moved 756.3594 312.3943 506.5352 -0.1101983 0.3048745
Moved 756.3901 305.1669 507 -0.1269285 0.3060699
Moved 756.4208 300.4445 507 -0.13786 0.3060699
Moved 756.4516 298.1177 507 -0.143246 0.3060699
Moved 756.4823 297 507 -0.1458333 0.3060699
Ended 756.5131 297 508.1601 -0.1458333 0.3090537
Began 757.0663 532 385 0.3981481 -0.007716127
Stationary 757.097 532 385 0.3981481 -0.007716127
Stationary 757.1277 532 385 0.3981481 -0.007716127
Stationary 757.1584 532 385 0.3981481 -0.007716127
Moved 757.1892 512.5004 397.9993 0.3530101 0.02571824
Moved 757.22 485.576 427.28 0.2906852 0.1010286
Moved 757.2507 463.1849 454.6458 0.238854 0.171414
Moved 757.2814 449.7822 472.9484 0.2078293 0.2184886
Moved 757.3122 438.3843 487.821 0.1814451 0.2567411
Moved 757.3429 430.842 497.237 0.1639861 0.2809593
Moved 757.3737 427.0502 501.8995 0.1552089 0.2929513
Moved 757.4044 424.5 503.5 0.1493057 0.2970678
Moved 757.4351 423.8752 503 0.1478594 0.2957818
Moved 757.4658 424 462.2642 0.1481481 0.1910086
Moved 757.4966 424 358.106 0.1481481 -0.07688797
Moved 757.5273 428.4938 333.3705 0.1585504 -0.1405081
Moved 757.558 432.5144 302.8845 0.1678575 -0.2189187
Moved 757.5888 434 283.0533 0.1712963 -0.2699247
Moved 757.6195 435 272.1788 0.1736111 -0.2978942
Moved 757.6502 435 265.3474 0.1736111 -0.3154645
Moved 757.681 435 261.2996 0.1736111 -0.3258757
Moved 757.7117 435 258.5 0.1736111 -0.3330762
Moved 757.7425 435 256.8843 0.1736111 -0.3372318
Moved 757.7732 435 256 0.1736111 -0.3395062
Moved 757.8039 435 254.574 0.1736111 -0.343174
Moved 757.8347 435 253 0.1736111 -0.3472223
Moved 757.8654 413.854 246.2847 0.124662 -0.3644941
Moved 757.8961 387.7984 242.8799 0.06434818 -0.3732514
Moved 757.9268 356.0469 241.0052 -0.009150605 -0.378073
Moved 757.9576 336.174 240.4534 -0.05515278 -0.3794924
Moved 757.9883 318.9082 240 -0.09511992 -0.3806585
Moved 758.0191 311.4166 240 -0.1124616 -0.3806585
Moved 758.0498 307.1387 240 -0.1223641 -0.3806585
Moved 758.0806 305 248.3557 -0.1273148 -0.3591675
Moved 758.1113 305 262.3094 -0.1273148 -0.3232782
Moved 758.142 317.8467 282.5645 -0.09757707 -0.2711819
Moved 758.1728 334.9838 302.9858 -0.0579078 -0.2186578
Moved 758.2035 352.2357 319.3631 -0.01797293 -0.1765352
Moved 758.2342 364.2316 330.2316 0.009795329 -0.1485814
Moved 758.265 373.5 339.5 0.03125002 -0.1247429
Moved 758.2957 378.1595 344.3189 0.04203578 -0.1123486
Moved 758.3264 382.0342 346 0.05100508 -0.1080248
Ended 758.3572 382 346 0.05092591 -0.1080248
PhraseEnd 759.5865
