that is a very nasty cut
Direct
0.6 0.6
432 388.8
Began 1231.856 355 495 -0.01157408 0.2752057
Stationary 1231.886 355 495 -0.01157408 0.2752057
Stationary 1231.918 355 495 -0.01157408 0.2752057
Stationary 1231.948 355 495 -0.01157408 0.2752057
Moved 1231.979 363.5119 471.4082 0.008129378 0.2145272
Moved 1232.01 381.6698 435.6603 0.05016168 0.1225831
Moved 1232.04 391.9312 411.1836 0.07391473 0.05962851
Moved 1232.071 396.5212 395.8726 0.08453995 0.02024835
Moved 1232.102 397 382.4408 0.0856481 -0.01429844
Moved 1232.133 373.4892 369.5468 0.03122509 -0.04746213
Moved 1232.163 325.3179 365 -0.08028258 -0.05915646
Moved 1232.194 281.5121 365 -0.181685 -0.05915646
Moved 1232.225 246.0897 365 -0.2636813 -0.05915646
Moved 1232.255 218.3847 365 -0.3278131 -0.05915646
Moved 1232.286 207.4297 365 -0.3531721 -0.05915646
Moved 1232.317 202 365 -0.3657407 -0.05915646
Moved 1232.348 209.6726 387.2792 -0.3479801 -0.001853856
Moved 1232.378 254.6394 433.1594 -0.2438904 0.1161507
Moved 1232.409 303.3414 471.256 -0.1311542 0.2141358
Moved 1232.44 324.4765 485.5812 -0.08223027 0.2509805
Moved 1232.47 339.6131 495.0754 -0.04719188 0.2753996
Moved 1232.501 353 503.5 -0.01620372 0.2970678
Ended 1232.532 365.5 506.5 0.01273145 0.3047839
Began 1233.208 485 502 0.2893518 0.2932098
Stationary 1233.238 485 502 0.2893518 0.2932098
Stationary 1233.269 485 502 0.2893518 0.2932098
Moved 1233.3 473.1658 502 0.2619578 0.2932098
Moved 1233.331 449.0289 488.5145 0.2060854 0.2585249
Moved 1233.361 401.087 464.7053 0.09510874 0.1972873
Moved 1233.392 344.8106 439.2702 -0.03516068 0.1318677
Moved 1233.423 271.8437 411.465 -0.2040655 0.06035239
Moved 1233.453 255.5574 401.3097 -0.2417652 0.03423271
Moved 1233.484 237.9826 391.5895 -0.2824477 0.009232312
Moved 1233.515 229.6518 386.3259 -0.301732 -0.004305937
Moved 1233.546 226.8093 385 -0.3083118 -0.007716127
Ended 1233.576 227 385 -0.3078704 -0.007716127
Began 1234.221 174 375 -0.4305556 -0.03343629
Stationary 1234.252 174 375 -0.4305556 -0.03343629
Stationary 1234.283 174 375 -0.4305556 -0.03343629
Ended 1234.313 174 375 -0.4305556 -0.03343629
Began 1235.634 344 234 -0.03703703 -0.3960905
Stationary 1235.665 344 234 -0.03703703 -0.3960905
Stationary 1235.696 344 234 -0.03703703 -0.3960905
Moved 1235.726 344 248.7903 -0.03703703 -0.3580498
Moved 1235.757 333.3845 275.2697 -0.06160989 -0.2899442
Moved 1235.788 311.2196 333.8951 -0.1129175 -0.1391587
Moved 1235.819 302.1301 355.3984 -0.1339582 -0.08385199
Moved 1235.849 282.4209 396.1581 -0.1795812 0.02098284
Moved 1235.88 266.2679 427.4641 -0.2169723 0.1015022
Moved 1235.911 258.3683 443.2634 -0.2352586 0.1421384
Moved 1235.941 255.5 454 -0.2418981 0.169753
Moved 1235.972 252.7743 461.6772 -0.2482077 0.1894988
Moved 1236.003 251.9 466.1 -0.2502315 0.2008743
Moved 1236.034 252 468.972 -0.25 0.2082612
Moved 1236.064 252 473.728 -0.25 0.2204936
Moved 1236.095 267.8582 481.1149 -0.2132912 0.239493
Moved 1236.126 285.5164 491.7582 -0.1724158 0.2668677
Moved 1236.156 297.4774 497.1193 -0.1447283 0.2806566
Moved 1236.187 306.083 499.6943 -0.1248078 0.2872796
Moved 1236.218 315.2681 502 -0.1035461 0.2932098
Moved 1236.249 326.7653 503 -0.07693227 0.2957818
Moved 1236.279 342.8947 505.985 -0.03959557 0.3034593
Moved 1236.31 361.2863 508.8572 0.00297755 0.3108467
Moved 1236.341 376.667 509 0.03858099 0.3112139
Moved 1236.371 386.8239 509 0.06209224 0.3112139
Moved 1236.402 391.1114 509 0.07201701 0.3112139
Moved 1236.433 397.9779 509 0.08791178 0.3112139
Ended 1236.464 400.8614 509 0.0945866 0.3112139
Began 1237.723 430 236 0.162037 -0.3909465
Stationary 1237.754 430 236 0.162037 -0.3909465
Stationary 1237.785 430 236 0.162037 -0.3909465
Stationary 1237.815 430 236 0.162037 -0.3909465
Stationary 1237.846 430 236 0.162037 -0.3909465
