this is a very good idea
Direct
0.6 0.6
432 388.8
Began 890.97 342 527 -0.04166668 0.3575102
Stationary 891.0007 342 527 -0.04166668 0.3575102
Moved 891.0314 342 507.1597 -0.04166668 0.3064807
Moved 891.0621 362.9389 471.1324 0.006802976 0.2138178
Moved 891.0928 381.1951 434.6099 0.04906267 0.1198813
Moved 891.1236 401.7667 397.8199 0.09668212 0.02525698
Moved 891.1543 417.1071 372.2286 0.1321924 -0.04056428
Moved 891.185 426.302 358.5973 0.1534769 -0.07562425
Moved 891.2158 433.6324 357 0.1704452 -0.07973259
Moved 891.2464 446.6159 381.8015 0.2004999 -0.01594284
Moved 891.2772 458.5627 422.8604 0.2281545 0.08966128
Moved 891.3079 462.9353 456.2233 0.2382761 0.1754713
Moved 891.3386 464 480.5172 0.2407408 0.2379557
Moved 891.3693 464 491.9733 0.2407408 0.2674209
Moved 891.4001 460.2912 497.5298 0.2321556 0.2817124
Moved 891.4308 444.0258 499 0.1945041 0.2854938
Moved 891.4615 391.4878 477.2251 0.07288833 0.2294884
Moved 891.4922 314.5248 438.0336 -0.1052666 0.1286871
Moved 891.5229 244.5 395 -0.2673611 0.01800408
Ended 891.5536 183.3474 356.2316 -0.4089181 -0.08170893
Began 893.1205 478 526 0.2731481 0.3549381
Moved 893.1512 455.7714 526 0.2216929 0.3549381
Moved 893.1819 428.9241 508.7837 0.1595466 0.3106575
Moved 893.2127 384.8066 491.9275 0.05742272 0.2673032
Moved 893.2433 300 454.5 -0.1388889 0.171039
Moved 893.2741 191.3493 389.3957 -0.390395 0.003589622
Ended 893.3048 185 385 -0.4050926 -0.007716127
Began 894.3802 159 393 -0.4652778 0.01285996
Stationary 894.4109 159 393 -0.4652778 0.01285996
Ended 894.4416 159 393 -0.4652778 0.01285996
Began 895.7012 352 255 -0.01851852 -0.3420782
Stationary 895.7319 352 255 -0.01851852 -0.3420782
Moved 895.7626 345.9345 273.0655 -0.03255894 -0.2956135
Moved 895.7933 336.5 298 -0.05439813 -0.2314816
Moved 895.824 321.5074 341.5763 -0.08910318 -0.1194025
Moved 895.8548 303.2279 380.5767 -0.1314169 -0.01909287
Moved 895.8855 287.7655 410.622 -0.1672094 0.05818418
Moved 895.9163 274.698 433.0833 -0.1974584 0.1159548
Moved 895.9469 263.0888 453.139 -0.2243315 0.1675384
Moved 895.9777 258.8953 466.4188 -0.2340386 0.2016943
Moved 896.0084 257 473.9409 -0.2384259 0.2210412
Moved 896.0391 257 482.7528 -0.2384259 0.2437057
Moved 896.0699 283.2552 501.9786 -0.1776501 0.2931549
Moved 896.1006 330.3153 520.5633 -0.06871462 0.3409549
Moved 896.1313 389.2455 533.4261 0.06769796 0.3740383
Ended 896.162 435.5183 537.8398 0.1748108 0.3853904
Began 898.4662 360 385 0 -0.007716127
Moved 898.497 385.3557 390.7795 0.05869389 0.007148868
Moved 898.5277 440.9999 415.6818 0.1874997 0.07119787
Moved 898.5584 482.1332 436.4222 0.2827158 0.1245426
Moved 898.5891 513.5286 469.6299 0.3553902 0.2099534
Moved 898.6199 534.889 504.1299 0.4048358 0.2986878
Moved 898.6506 542.5187 522.0749 0.4224971 0.3448427
Moved 898.6813 544 530.1397 0.4259259 0.3655855
Moved 898.712 544 533.9414 0.4259259 0.3753636
Moved 898.7427 544 535.8232 0.4259259 0.3802036
Moved 898.7735 533.5 537 0.4016204 0.3832304
Moved 898.8042 523.0093 537 0.3773364 0.3832304
Moved 898.8349 501.3904 525.7387 0.3272926 0.3542662
Moved 898.8657 439.1861 478.8589 0.1833011 0.2336904
Moved 898.8964 374.5494 430.8311 0.03367921 0.1101621
Moved 898.9271 315.2169 392.0099 -0.1036647 0.01031361
Moved 898.9578 269.858 367.429 -0.208662 -0.05290899
Moved 898.9885 198.8267 343.8764 -0.3730864 -0.1134867
Ended 899.0192 198.8267 343.8764 -0.3730864 -0.1134867
Began 900.7704 520 516 0.3703704 0.329218
Stationary 900.8011 520 516 0.3703704 0.329218
Stationary 900.8318 520 516 0.3703704 0.329218
Moved 900.8626 504.4998 508.1246 0.3344903 0.3089624
Moved 900.8933 491.5056 497.9034 0.3044112 0.2826732
Moved 900.924 473.9603 485.5374 0.2637969 0.2508678
Moved 900.9548 450.3398 468.7124 0.20912 0.2075935
Moved 900.9855 420.8581 447.9097 0.1408752 0.1540887
