why do you ask silly questions
Direct
0.6 0.6
432 388.8
Began 667.3505 215 514 -0.3356481 0.324074
Stationary 667.3812 215 514 -0.3356481 0.324074
Stationary 667.4119 215 514 -0.3356481 0.324074
Stationary 667.4426 215 514 -0.3356481 0.324074
Moved 667.4733 263.0961 470.7231 -0.2243146 0.2127652
Moved 667.5041 305.0622 435.3797 -0.1271708 0.1218613
Moved 667.5349 336.1889 412.8531 -0.05511835 0.06392247
Moved 667.5656 353.2673 396.7327 -0.01558502 0.02246064
Moved 667.5964 366.6997 383.7252 0.01550853 -0.01099488
Moved 667.627 373.9121 377.392 0.03220389 -0.02728411
Moved 667.6578 378.3661 376 0.0425141 -0.03086435
Moved 667.6885 383.2705 376 0.053867 -0.03086435
Moved 667.7193 392.5317 388.4305 0.07530491 0.001107322
Moved 667.7501 403.5356 411.1422 0.1007768 0.05952203
Moved 667.7808 407.0354 433.2479 0.1088782 0.1163782
Moved 667.8115 407 457.322 0.1087963 0.1782972
Moved 667.8423 397.4149 478.5477 0.08660863 0.2328902
Moved 667.8729 393.322 495.7121 0.07713427 0.2770372
Moved 667.9037 388.6215 505.757 0.06625345 0.302873
Moved 667.9345 386.9455 510.0545 0.06237388 0.3139262
Ended 667.9652 386.9455 510.0545 0.06237388 0.3139262
Began 668.5493 253 353 -0.2476852 -0.09002065
Stationary 668.58 253 353 -0.2476852 -0.09002065
Stationary 668.6108 253 353 -0.2476852 -0.09002065
Moved 668.6415 289.6604 376.1069 -0.1628231 -0.03058916
Moved 668.6722 362.56 416.28 0.005925894 0.0727365
Moved 668.703 424.3751 449.425 0.1490164 0.1579861
Moved 668.7337 457.2819 468.4899 0.2251896 0.2070213
Moved 668.7645 475.9372 479.6248 0.2683731 0.2356603
Moved 668.7952 491.3403 487.2552 0.3040284 0.2552859
Moved 668.8259 500.3976 491 0.3249945 0.2649176
Moved 668.8567 502 492 0.3287037 0.2674896
Ended 668.8875 502 492 0.3287037 0.2674896
Began 669.3793 363 511 0.006944438 0.3163579
Stationary 669.41 363 511 0.006944438 0.3163579
Stationary 669.4407 363 511 0.006944438 0.3163579
Moved 669.4715 390.8241 490.6719 0.07135212 0.2640738
Moved 669.5023 419.4961 478.4016 0.1377225 0.2325142
Moved 669.533 433.9551 475.9045 0.1711923 0.2260917
Moved 669.5637 458.6924 473.0342 0.2284548 0.2187092
Moved 669.5944 482.5 472 0.2835648 0.2160493
Moved 669.6252 512.9714 472 0.3541006 0.2160493
Moved 669.6559 546.242 481.6484 0.4311157 0.2408651
Moved 669.6866 553.4155 484.1662 0.447721 0.2473409
Moved 669.7174 559.246 488.869 0.4612176 0.2594365
Moved 669.7481 561 494.5276 0.4652777 0.2739908
Moved 669.7788 561 502.1756 0.4652777 0.2936614
Moved 669.8096 540.4617 512.7692 0.4177354 0.3209082
Moved 669.8404 504.6462 524.3384 0.3348293 0.3506647
Moved 669.8711 457.2498 530 0.2251153 0.3652262
Moved 669.9019 433.876 530 0.1710092 0.3652262
Moved 669.9326 424.7823 530 0.1499591 0.3652262
Moved 669.9633 421.5 530 0.1423611 0.3652262
Moved 669.9941 421 530 0.1412037 0.3652262
Ended 670.0248 421 530 0.1412037 0.3652262
Began 670.6089 161 375 -0.4606481 -0.03343629
Stationary 670.6396 161 375 -0.4606481 -0.03343629
Stationary 670.6703 161 375 -0.4606481 -0.03343629
Stationary 670.7011 161 375 -0.4606481 -0.03343629
Moved 670.7318 177.7944 375 -0.4217722 -0.03343629
Moved 670.7626 195.0047 383.1442 -0.3819336 -0.01248944
Moved 670.7933 214.4088 388.0681 -0.3370167 0.0001751542
Moved 670.824 236.6786 392.9541 -0.2854662 0.01274195
Moved 670.8548 254.8227 394.8318 -0.2434659 0.01757159
Moved 670.8856 276.3038 396 -0.1937412 0.02057605
Moved 670.9163 316.7678 396 -0.1000746 0.02057605
Moved 670.947 356.1713 396 -0.008862664 0.02057605
Moved 670.9778 395.9646 396 0.0832515 0.02057605
Moved 671.0085 429.5168 396 0.1609186 0.02057605
Moved 671.0392 451.7697 387.6043 0.2124299 -0.001017841
Moved 671.07 466.3538 383.4585 0.2461893 -0.01168098
Moved 671.1007 479.5956 379.8511 0.2768417 -0.02095925
Ended 671.1315 486 376 0.2916667 -0.03086435
Began 672.3918 208 360 -0.3518518 -0.07201654
