this is too much to handle
Direct
0.6 0.6
432 388.8
Began 762.174 344 533 -0.03703703 0.3729423
Stationary 762.2047 344 533 -0.03703703 0.3729423
Moved 762.2355 388.6821 464.8727 0.06639381 0.1977179
Moved 762.2662 410.8253 434.8245 0.1176512 0.1204334
Moved 762.2969 435.4714 392.9515 0.1747023 0.01273524
Moved 762.3277 439.0022 384.9956 0.1828755 -0.00772743
Moved 762.3585 440.5528 383 0.1864649 -0.01286016
Moved 762.3892 445.2084 400.9377 0.1972416 0.03327589
Moved 762.42 448.3852 435.3187 0.2045953 0.1217043
Moved 762.4507 448 453.3253 0.2037037 0.1680177
Moved 762.4815 403.8055 476.9321 0.1014016 0.2287349
Moved 762.5123 370.6851 478 0.02473404 0.2314814
Moved 762.5429 297.3722 441.5554 -0.1449718 0.1377452
Moved 762.5737 262.759 414.5831 -0.2250949 0.06837197
Ended 762.6044 247.1971 399.5576 -0.2611179 0.0297263
Began 763.035 517 516 0.3634259 0.329218
Moved 763.0658 498.8479 516 0.3214071 0.329218
Moved 763.0966 458.5817 506.749 0.2281984 0.3054244
Moved 763.1273 371.1394 477.0464 0.02578566 0.2290288
Moved 763.1581 275.1945 425.3322 -0.1963091 0.09601883
Moved 763.1888 226.1737 387.277 -0.3097832 -0.001859665
Moved 763.2195 210.069 371.4254 -0.3470625 -0.04263026
Ended 763.2503 207.5 370 -0.3530093 -0.04629637
Began 763.7424 317 490 -0.09953702 0.2623456
Stationary 763.7731 317 490 -0.09953702 0.2623456
Moved 763.8039 347.2751 490 -0.02945577 0.2623456
Moved 763.8346 404.0887 490 0.1020573 0.2623456
Moved 763.8654 457.4074 490 0.22548 0.2623456
Moved 763.8961 495.4343 494.0031 0.3135053 0.2726416
Moved 763.9269 526.7167 497 0.3859182 0.2803498
Ended 763.9576 543.2979 498.4075 0.4243007 0.2839699
Began 764.2651 469 275 0.2523148 -0.2906379
Stationary 764.2959 469 275 0.2523148 -0.2906379
Moved 764.3267 469 316.3241 0.2523148 -0.1843517
Moved 764.3574 453.5406 368.9727 0.2165292 -0.04893856
Moved 764.3881 452 434.6871 0.2129629 0.1200799
Moved 764.4189 451 471.657 0.2106482 0.215167
Moved 764.4496 448.7294 503.4352 0.2053922 0.2969011
Moved 764.4804 447.1968 517.016 0.2018445 0.3318312
Moved 764.5112 446 526.077 0.199074 0.3551361
Moved 764.5419 445 530.2212 0.1967593 0.3657951
Moved 764.5726 445 533.162 0.1967593 0.373359
Moved 764.6034 445 535.5 0.1967593 0.3793723
Moved 764.6341 445 537.2761 0.1967593 0.3839405
Stationary 764.6649 445 537 0.1967593 0.3832304
Moved 764.6957 440.7945 528.589 0.1870243 0.3615971
Moved 764.7264 410.4326 482.051 0.1167421 0.2419006
Moved 764.7571 376.1195 422.3837 0.0373137 0.08843528
Moved 764.7879 339.8172 354.0335 -0.04671936 -0.08736245
Moved 764.8187 323.3332 321.7081 -0.08487681 -0.170504
Moved 764.8495 313 296 -0.1087963 -0.2366256
Moved 764.8802 310.9433 288.8299 -0.1135572 -0.2550672
Moved 764.9109 311 284.7087 -0.113426 -0.2656671
Moved 764.9417 330.1099 300.5539 -0.06918997 -0.2249129
Moved 764.9725 358.2436 337.21 -0.004065683 -0.1306328
Moved 765.0032 372.0372 353.8767 0.02786388 -0.08776566
Moved 765.0339 389.6335 375.0418 0.06859601 -0.03332876
Ended 765.0646 409 392 0.113426 0.01028803
Began 765.4952 349 511 -0.02546296 0.3163579
Stationary 765.5259 349 511 -0.02546296 0.3163579
Moved 765.5568 399.9012 511 0.09236395 0.3163579
Moved 765.5875 458.0919 511 0.2270647 0.3163579
Moved 765.6182 498.2944 520.2941 0.320126 0.3402626
Moved 765.649 525.6692 523.8521 0.3834935 0.3494138
Moved 765.6797 541.0403 524 0.4190747 0.3497942
Ended 765.7105 547 524 0.4328704 0.3497942
Began 766.5715 425 392 0.150463 0.01028803
Stationary 766.6023 425 392 0.150463 0.01028803
Moved 766.6331 415.2943 392 0.1279959 0.01028803
Moved 766.6638 387.2767 381.8553 0.06314059 -0.01580423
Moved 766.6945 323.1081 375.4557 -0.085398 -0.0322641
Moved 766.7253 244.9494 370.962 -0.2663208 -0.043822
Moved 766.7561 200.143 367.9286 -0.3700393 -0.05162407
Moved 766.7868 177.6961 367 -0.4219998 -0.05401234
