is there any indication of this
Direct
0.6 0.6
432 388.8
Began 1043.27 474 521 0.2638889 0.3420781
Stationary 1043.301 474 521 0.2638889 0.3420781
Stationary 1043.331 474 521 0.2638889 0.3420781
Moved 1043.362 462.3947 510.6841 0.2370246 0.3155455
Moved 1043.393 444 496 0.1944444 0.2777777
Moved 1043.423 403.6127 463.7194 0.1009554 0.1947515
Moved 1043.454 368.0659 436.0549 0.01867105 0.123598
Moved 1043.485 335.537 407.7609 -0.05662734 0.05082538
Moved 1043.516 318.5 392 -0.0960648 0.01028803
Moved 1043.547 308.9814 383.9814 -0.1180985 -0.01033587
Moved 1043.577 300.744 377.872 -0.1371665 -0.02604944
Moved 1043.608 289.209 371.6045 -0.1638681 -0.04216959
Moved 1043.639 277.9065 364.9532 -0.1900312 -0.0592767
Moved 1043.669 267.2447 361.1224 -0.2147113 -0.06912977
Moved 1043.7 258.0202 356.0101 -0.2360643 -0.08227846
Moved 1043.731 253.9478 354.9739 -0.2454912 -0.0849438
Ended 1043.762 251.5 354 -0.2511574 -0.08744855
Began 1044.684 349 551 -0.02546296 0.4192385
Stationary 1044.715 349 551 -0.02546296 0.4192385
Moved 1044.745 349 536.9949 -0.02546296 0.3832171
Moved 1044.776 367.2781 505.564 0.01684755 0.3023766
Moved 1044.807 379.5837 477.3948 0.04533271 0.2299249
Moved 1044.838 390.8214 445.8306 0.07134577 0.1487411
Moved 1044.868 398.7567 420.7298 0.08971473 0.0841815
Moved 1044.899 401 407.7668 0.09490739 0.05084049
Moved 1044.93 402 400.8239 0.09722222 0.03298324
Moved 1044.961 402 398.4038 0.09722222 0.02675877
Moved 1044.991 385.946 398 0.06006012 0.02572008
Moved 1045.022 358.8897 417.9772 -0.002570053 0.07710174
Moved 1045.053 328.9765 439.163 -0.07181367 0.131592
Moved 1045.083 295.9046 462.2199 -0.148369 0.1908948
Moved 1045.114 270.7116 479.1802 -0.206686 0.2345169
Moved 1045.145 250.5309 494.8909 -0.2534007 0.2749252
Moved 1045.176 242.3232 500.6768 -0.2724 0.2898065
Moved 1045.207 239.6116 504.7769 -0.2786769 0.3003519
Moved 1045.237 239 506.9424 -0.2800926 0.3059216
Moved 1045.268 239 510.962 -0.2800926 0.3162603
Moved 1045.299 266.8289 515.4235 -0.2156739 0.3277352
Moved 1045.329 289.5436 519.5087 -0.1630935 0.3382426
Moved 1045.36 305.7361 519.7894 -0.1256108 0.3389643
Moved 1045.391 315.9845 520 -0.1018877 0.3395061
Moved 1045.422 321.9417 520 -0.08809806 0.3395061
Moved 1045.453 326.1394 520 -0.078381 0.3395061
Moved 1045.483 327 520 -0.07638887 0.3395061
Stationary 1045.514 327 520 -0.07638887 0.3395061
Moved 1045.545 304.0587 510.2647 -0.1294936 0.3144667
Moved 1045.576 285.7823 506.9689 -0.1718001 0.3059899
Moved 1045.606 271.6426 503.4106 -0.2045309 0.296838
Moved 1045.637 264.6812 502 -0.2206453 0.2932098
Moved 1045.668 262.7144 502 -0.225198 0.2932098
Ended 1045.698 262.7144 502 -0.225198 0.2932098
Began 1046.651 155 373 -0.474537 -0.03858032
Stationary 1046.682 155 373 -0.474537 -0.03858032
Moved 1046.713 165.0219 373 -0.4513383 -0.03858032
Moved 1046.744 200.9747 359.2658 -0.3681141 -0.07390481
Moved 1046.774 238.7472 342.2682 -0.2806779 -0.117623
Moved 1046.805 285.2875 318.6158 -0.1729456 -0.1784573
Moved 1046.836 317.0864 298.5892 -0.09933705 -0.2299659
Moved 1046.867 344.9416 285.8234 -0.03485734 -0.2628
Moved 1046.897 360.5 279.5 0.001157423 -0.2790638
Moved 1046.928 378.4308 271.7846 0.04266391 -0.298908
Moved 1046.959 390.527 266.7365 0.07066449 -0.3118917
Moved 1046.99 404.1089 261.4455 0.102104 -0.3255002
Moved 1047.02 417 256 0.1319444 -0.3395062
Moved 1047.051 428.1452 255 0.1577435 -0.3420782
Moved 1047.082 434.1979 254 0.1717543 -0.3446502
Moved 1047.113 438.1314 254 0.1808598 -0.3446502
Moved 1047.143 439 277.5 0.1828703 -0.2842079
Moved 1047.174 420.4328 333.918 0.1398907 -0.1390998
Moved 1047.205 398 402.5 0.08796295 0.03729416
Moved 1047.236 384.7398 455.0408 0.05726804 0.17243
Moved 1047.266 375.5 497 0.03587961 0.2803498
