effort is what it will take
Direct
0.6 0.6
432 388.8
Stationary 432.1336 238 500 -0.2824074 0.2880658
Moved 432.1643 288.1176 462.0062 -0.1663945 0.1903452
Moved 432.1951 349.6808 419.4894 -0.02388706 0.08099108
Moved 432.2259 389.0976 392.4797 0.06735553 0.01152168
Moved 432.2566 407.2273 380.4182 0.1093225 -0.01950072
Moved 432.2873 415.514 373.486 0.1285045 -0.03733018
Moved 432.3181 419.0155 369.9844 0.1366101 -0.0463364
Moved 432.3488 419 366.1082 0.1365741 -0.05630619
Moved 432.3795 401.4001 355.2 0.09583344 -0.08436218
Moved 432.4102 346.946 342.3656 -0.03021757 -0.1173725
Moved 432.441 278.1996 341 -0.1893528 -0.1208849
Moved 432.4717 232.3051 341 -0.2955901 -0.1208849
Moved 432.5025 205.5536 349.9209 -0.3575147 -0.09794015
Moved 432.5332 190.6483 350.5879 -0.3920177 -0.09622464
Moved 432.5639 183.3849 352.3076 -0.4088311 -0.09180163
Moved 432.5946 179 355.6198 -0.4189815 -0.08328261
Moved 432.6254 179 357.0517 -0.4189815 -0.07959962
Moved 432.6561 187.564 374.3406 -0.3991575 -0.03513234
Moved 432.6869 214.8522 400.8522 -0.3359904 0.03305588
Moved 432.7176 253.9209 432.7526 -0.2455535 0.1151043
Moved 432.7483 281.4073 451.6852 -0.1819274 0.1637992
Moved 432.7791 310.5274 469.9547 -0.1145198 0.2107886
Moved 432.8098 322.2598 477.1949 -0.08736153 0.2294107
Moved 432.8405 328.8628 479.9314 -0.07207692 0.236449
Moved 432.8713 332.871 482.4355 -0.06279861 0.2428896
Moved 432.902 335.3029 483 -0.05716915 0.2443414
Moved 432.9327 336.5 484.5 -0.05439813 0.2481995
Moved 432.9635 338.7987 485 -0.04907712 0.2494856
Ended 432.9942 339.5 485 -0.04745369 0.2494856
Began 433.5167 464 488 0.2407408 0.2572016
Stationary 433.5475 464 488 0.2407408 0.2572016
Stationary 433.5782 464 488 0.2407408 0.2572016
Stationary 433.6089 464 488 0.2407408 0.2572016
Stationary 433.6397 464 488 0.2407408 0.2572016
Moved 433.6704 446.1019 488 0.19931 0.2572016
Moved 433.701 429.3791 488 0.1605996 0.2572016
Moved 433.7318 410.0616 488 0.1158833 0.2572016
Moved 433.7625 387.3244 488 0.06325086 0.2572016
Moved 433.7933 370.9501 488 0.02534737 0.2572016
Moved 433.824 358.8738 488 -0.002606859 0.2572016
Moved 433.8548 352.3891 488 -0.01761774 0.2572016
Moved 433.8855 346.32 488 -0.0316667 0.2572016
Moved 433.9163 343.4507 488 -0.03830865 0.2572016
Moved 433.947 341.5 488 -0.04282405 0.2572016
Ended 433.9777 342 488 -0.04166668 0.2572016
Began 434.5002 206 493 -0.3564815 0.2700616
Stationary 434.5309 206 493 -0.3564815 0.2700616
Moved 434.5616 223.7508 493 -0.3153918 0.2700616
Moved 434.5924 292.9888 485 -0.1551185 0.2494856
Moved 434.6232 377.1515 496.3923 0.03970245 0.2787867
Moved 434.6539 416.096 500.0107 0.1298518 0.2880932
Moved 434.6846 431.5193 501.8798 0.165554 0.2929007
Moved 434.7153 438.5 503.5 0.181713 0.2970678
Moved 434.7461 442.2696 503 0.1904389 0.2957818
Moved 434.7768 447.1409 503 0.2017149 0.2957818
Moved 434.8075 455.0678 503 0.2200644 0.2957818
Moved 434.8382 467.6154 489.3846 0.2491098 0.2607627
Moved 434.869 498.0432 453.5814 0.3195445 0.1686763
Moved 434.8997 519.975 410.3791 0.3703126 0.05755939
Moved 434.9304 528.5541 392.8918 0.3901715 0.01258183
Moved 434.9612 532.7233 382.8301 0.3998225 -0.0132972
Moved 434.9919 535.5935 377.4065 0.4064664 -0.02724667
Moved 435.0227 537.4666 374.5334 0.4108022 -0.0346362
Moved 435.0534 538 372.0212 0.4120371 -0.04109779
Ended 435.0841 539 370 0.4143518 -0.04629637
Began 435.6681 346 503 -0.03240739 0.2957818
Stationary 435.6989 346 503 -0.03240739 0.2957818
Stationary 435.7296 346 503 -0.03240739 0.2957818
Stationary 435.7603 346 503 -0.03240739 0.2957818
Moved 435.791 266.0423 444.4104 -0.2174947 0.1450884
Moved 435.8218 239.9592 425.0612 -0.2778723 0.09532198
Moved 435.8525 215.0998 408.5748 -0.3354171 0.05291872
Moved 435.8832 203.7394 400.5546 -0.3617142 0.03229055
Moved 435.914 196.3891 396 -0.3787288 0.02057605
Moved 435.9447 194.5117 393.5117 -0.3830748 0.01417619
Moved 435.9754 235.4047 385.5383 -0.288415 -0.006331534
Moved 436.0062 304.6864 380.1361 -0.1280408 -0.02022614
Moved 436.0369 363.3866 380 0.007839303 -0.02057613
Moved 436.0676 397.9774 380 0.08791069 -0.02057613
Moved 436.0984 420.5 380 0.1400463 -0.02057613
Moved 436.1291 437.4619 378 0.1793098 -0.02572024
Moved 436.1598 450.7899 377 0.2101618 -0.02829226
Moved 436.1906 459.4577 376 0.2302262 -0.03086435
Moved 436.2213 464.4558 376 0.2417958 -0.03086435
Moved 436.252 468.1942 375 0.2504495 -0.03343629
Moved 436.2828 469 375 0.2523148 -0.03343629
Stationary 436.3135 469 375 0.2523148 -0.03343629
Moved 436.3443 416.8068 405.8364 0.1314973 0.04587542
Moved 436.375 386.9267 422.3659 0.06233036 0.08838963
Moved 436.4057 367.5319 433.8389 0.01743486 0.1178984
Moved 436.4364 354.9925 444.0075 -0.01159146 0.1440521
Moved 436.4672 339.3636 455.4243 -0.04776935 0.1734163
Moved 436.4979 320.1849 466.3844 -0.09216457 0.2016059
Moved 436.5286 301.8715 476.0643 -0.1345568 0.2265027
Moved 436.5594 292.341 480.9147 -0.1566181 0.2389781
Moved 436.5901 283.6633 484.7789 -0.1767053 0.2489168
Moved 436.6208 275.7109 488.6445 -0.1951136 0.2588593
Moved 436.6516 270 491 -0.2083333 0.2649176
Ended 436.6823 270 493.5 -0.2083333 0.2713476
PhraseEnd 437.2048
