good jobs for those with education
Direct
0.6 0.6
432 388.8
Began 484.8493 342 368 -0.04166668 -0.05144041
Stationary 484.88 342 368 -0.04166668 -0.05144041
Stationary 484.9108 342 368 -0.04166668 -0.05144041
Moved 484.9416 353.2563 377.005 -0.01561046 -0.02827938
Moved 484.9723 398.7755 418.8697 0.08975813 0.07939731
Moved 485.003 428.4388 445.8534 0.158423 0.1487998
Moved 485.0338 455.4619 471.4157 0.2209767 0.2145465
Moved 485.0645 485.4389 497.5324 0.2903678 0.2817191
Moved 485.0952 493.6021 504.3351 0.3092641 0.2992157
Moved 485.1259 500.0424 511.0424 0.3241723 0.316467
Moved 485.1567 502.7854 513 0.3305217 0.321502
Moved 485.1874 503 514 0.3310186 0.324074
Stationary 485.2181 503 514 0.3310186 0.324074
Moved 485.2489 458.4886 490.9935 0.227983 0.264901
Moved 485.2796 422.8467 468.8978 0.1454785 0.2080704
Moved 485.3104 395.0884 453.0443 0.08122326 0.1672948
Moved 485.3411 372.7594 439.0054 0.02953559 0.1311865
Moved 485.3718 354.3722 427.9269 -0.01302739 0.1026927
Moved 485.4026 337.2927 418.1464 -0.0525632 0.07753686
Moved 485.4333 324.0358 410.1633 -0.08325055 0.05700421
Moved 485.464 307.4713 398.3142 -0.1215942 0.02652827
Moved 485.4948 303.3121 395.5414 -0.1312219 0.01939671
Moved 485.5255 298.0088 392.0044 -0.1434982 0.01029933
Moved 485.5562 293.1757 388.5878 -0.1546858 0.001511907
Moved 485.587 290.8246 387 -0.1601283 -0.002572055
Ended 485.6177 290 386 -0.162037 -0.005144111
Began 486.4476 457 367 0.2245371 -0.05401234
Stationary 486.4784 457 367 0.2245371 -0.05401234
Stationary 486.5091 457 367 0.2245371 -0.05401234
Stationary 486.5399 457 367 0.2245371 -0.05401234
Stationary 486.5706 457 367 0.2245371 -0.05401234
Moved 486.6013 457 393.9602 0.2245371 0.01532967
Moved 486.632 484.0371 427.9446 0.287123 0.1027382
Moved 486.6628 501.403 458.0049 0.3273217 0.1800536
Moved 486.6935 508.9764 477.6038 0.3448528 0.2304623
Moved 486.7243 513.0884 487.2652 0.3543712 0.2553116
Moved 486.755 514 492.7021 0.3564815 0.2692955
Moved 486.7857 514 494 0.3564815 0.2726337
Moved 486.8165 514 495 0.3564815 0.2752057
Moved 486.8472 501.7482 495 0.3281209 0.2752057
Moved 486.878 473.8861 459.6633 0.2636252 0.184319
Moved 486.9087 439.406 415.1514 0.1838102 0.06983387
Moved 486.9394 414.0876 370.994 0.1252029 -0.04373966
Moved 486.9701 402.6939 343.2347 0.09882847 -0.115137
Moved 487.0009 394.9496 318.4988 0.08090198 -0.1787584
Moved 487.0316 391.2465 300.7252 0.07232974 -0.2244722
Moved 487.0624 389 287.9431 0.06712963 -0.257348
Moved 487.0931 389 280.1586 0.06712963 -0.27737
Moved 487.1238 389 274.9197 0.06712963 -0.2908446
Moved 487.1546 389 273.0301 0.06712963 -0.2957046
Moved 487.1853 389 270.8779 0.06712963 -0.3012401
Moved 487.216 389 268.9962 0.06712963 -0.3060798
Moved 487.2468 378.1105 269 0.04192253 -0.30607
Moved 487.2775 365.0399 279.7642 0.01166632 -0.2783844
Moved 487.3083 332.5258 305.522 -0.06359756 -0.2121349
Moved 487.339 308.4528 326.5472 -0.1193222 -0.1580577
Moved 487.3697 284.4854 345.0602 -0.1748023 -0.1104418
Moved 487.4004 259.2754 364.8033 -0.2331589 -0.05966225
Moved 487.4312 246.8142 374.4572 -0.2620042 -0.03483234
Moved 487.4619 238.5167 377.4944 -0.2812112 -0.02702053
Moved 487.4927 235.1478 379.9261 -0.2890097 -0.02076639
Moved 487.5234 233.308 381 -0.2932685 -0.01800419
Ended 487.5542 233 383.4741 -0.2939815 -0.01164087
Began 488.3533 328 372 -0.07407407 -0.04115226
Stationary 488.3841 328 372 -0.07407407 -0.04115226
Stationary 488.4149 328 372 -0.07407407 -0.04115226
Stationary 488.4455 328 372 -0.07407407 -0.04115226
Moved 488.4763 352.9983 393.3319 -0.01620774 0.01371372
Moved 488.507 388.0572 421.9691 0.0649473 0.08736905
Moved 488.5377 418.5382 446.8306 0.1355052 0.1513131
Moved 488.5685 440 463.5 0.1851852 0.1941872
Moved 488.5992 458.4649 475.2656 0.227928 0.2244485
