I just cannot figure this out
Direct
0.6 0.6
432 388.8
Moved 89.26285 496 559.273 0.3148148 0.4405169
Moved 89.29359 496 561.1018 0.3148148 0.4452206
Moved 89.32438 477.5584 550.5585 0.272126 0.418103
Moved 89.35512 413.0509 499.7643 0.1228031 0.2874595
Moved 89.38588 340.0531 446.7761 -0.04617343 0.1511729
Moved 89.41663 300.9879 421.1596 -0.136602 0.08528693
Moved 89.44736 277.9046 403.4897 -0.1900357 0.03983968
Moved 89.47811 264.6203 391.6203 -0.2207863 0.009311393
Ended 89.50883 263 390 -0.2245371 0.005143954
Began 89.75484 547 517 0.4328704 0.33179
Stationary 89.78558 547 517 0.4328704 0.33179
Moved 89.81631 530.9269 517 0.395664 0.33179
Moved 89.84703 492.8187 506.4094 0.3074508 0.3045508
Moved 89.87779 452.4145 499.4553 0.2139225 0.2866647
Moved 89.90851 412.9561 497 0.1225835 0.2803498
Moved 89.93929 378.4561 497 0.04272232 0.2803498
Moved 89.97001 342.2854 494.9404 -0.04100596 0.2750524
Moved 90.00079 328.6038 493.5208 -0.07267634 0.271401
Moved 90.03155 320.5206 493 -0.09138748 0.2700616
Ended 90.06228 320 493 -0.09259259 0.2700616
PhraseEnd 90.55419
