this is a very good idea
Direct
0.6 0.6
432 388.8
Began 307.0377 338 527 -0.05092591 0.3575102
Stationary 307.0684 338 527 -0.05092591 0.3575102
Stationary 307.0992 338 527 -0.05092591 0.3575102
Stationary 307.1299 338 527 -0.05092591 0.3575102
Stationary 307.1606 338 527 -0.05092591 0.3575102
Moved 307.1914 347.7672 500.9314 -0.02831678 0.2904613
Moved 307.2221 359.5527 471.6183 -0.001035482 0.2150677
Moved 307.2528 371.6334 442.9165 0.02692918 0.141246
Moved 307.2835 384.0688 414.235 0.05571475 0.06747677
Moved 307.3142 393.7363 396.5274 0.0780933 0.02193259
Moved 307.345 402.0284 383.6288 0.09728798 -0.01124292
Moved 307.3757 408.2289 372.5421 0.1116411 -0.03975801
Moved 307.4064 411.5565 367.8871 0.1193437 -0.05173082
Moved 307.4372 414.3152 364.6848 0.1257296 -0.05996712
Moved 307.4679 415 362.5 0.1273148 -0.06558649
Moved 307.4987 416.2286 363 0.1301589 -0.06430049
Moved 307.5294 418.2701 371.8906 0.1348844 -0.04143381
Moved 307.5601 428.1134 394.1985 0.15767 0.01594261
Moved 307.5909 443.9706 423.9413 0.1943765 0.09244145
Moved 307.6216 453.8544 450.136 0.2172555 0.1598147
Moved 307.6523 459.0445 481.4001 0.2292696 0.2402265
Moved 307.683 459 494.4218 0.2291666 0.2737186
Moved 307.7137 459 500.1374 0.2291666 0.2884192
Moved 307.7445 459 503.0042 0.2291666 0.2957925
Moved 307.7752 459 504 0.2291666 0.2983539
Moved 307.8059 447.3091 504 0.2021043 0.2983539
Moved 307.8367 428.5542 490.9428 0.1586903 0.2647705
Moved 307.8673 388.6356 464.517 0.06628612 0.1968029
Moved 307.8981 353.0617 438.0411 -0.01606092 0.1287066
Moved 307.9289 321.4907 413.9926 -0.08914197 0.06685316
Moved 307.9596 297.084 398.3893 -0.145639 0.02672132
Moved 307.9903 275.7133 382.6523 -0.1951081 -0.01375426
Moved 308.021 260.8822 371.1058 -0.2294393 -0.0434523
Moved 308.0518 250.0751 363.0501 -0.2544557 -0.0641716
Moved 308.0825 245.7147 358.4294 -0.2645493 -0.07605596
Moved 308.1132 239.7287 355.8643 -0.2784058 -0.0826535
Moved 308.144 237.1176 353.1177 -0.2844499 -0.08971798
Moved 308.1747 234.5 352 -0.2905093 -0.09259266
Moved 308.2054 235 352 -0.2893518 -0.09259266
Ended 308.2361 235 352 -0.2893518 -0.09259266
Began 309.4347 483 524 0.2847222 0.3497942
Stationary 309.4654 483 524 0.2847222 0.3497942
Stationary 309.4961 483 524 0.2847222 0.3497942
Stationary 309.5268 483 524 0.2847222 0.3497942
Stationary 309.5575 483 524 0.2847222 0.3497942
Moved 309.5883 440.0787 501.1548 0.1853674 0.2910361
Moved 309.619 394.2914 479.4467 0.07937808 0.2352022
Moved 309.6497 338.8982 457.7593 -0.0488467 0.1794219
Moved 309.6805 304.6079 445.8024 -0.1282224 0.1486687
Moved 309.7112 273.755 434.7291 -0.1996412 0.1201879
Moved 309.7419 251.4454 425.0421 -0.2512837 0.09527265
Moved 309.7726 237.9027 416.5416 -0.2826327 0.07340949
Moved 309.8034 225.2058 407.2057 -0.3120237 0.04939738
Moved 309.8341 223.7347 405.7347 -0.3154289 0.045614
Moved 309.8649 221.5 403.5 -0.3206019 0.03986618
Moved 309.8955 220.7983 402.7983 -0.3222262 0.03806134
Ended 309.9263 221 403 -0.3217593 0.03858017
Began 310.9711 178 396 -0.4212963 0.02057605
Stationary 311.0019 178 396 -0.4212963 0.02057605
Ended 311.0326 178 396 -0.4212963 0.02057605
Began 312.7535 344 236 -0.03703703 -0.3909465
Stationary 312.7842 344 236 -0.03703703 -0.3909465
Stationary 312.8149 344 236 -0.03703703 -0.3909465
Stationary 312.8456 344 236 -0.03703703 -0.3909465
Moved 312.8764 344 250.2163 -0.03703703 -0.354382
Moved 312.9071 317.983 288.7798 -0.09726162 -0.2551959
Moved 312.9378 297.4123 343.3218 -0.1448789 -0.1149133
Moved 312.9686 278.964 404.3152 -0.1875834 0.04196308
Moved 312.9993 271.074 439.6299 -0.2058472 0.1327929
Moved 313.03 264.5371 466.1201 -0.2209788 0.200926
Moved 313.0608 258.6229 483.8799 -0.2346693 0.2466047
Moved 313.0915 252.7419 498.5162 -0.2482827 0.2842495
