where did you get that tie
Direct
0.6 0.6
432 388.8
Moved 982.3893 258.0054 367.8329 -0.2360985 -0.05187022
Moved 982.42 226.014 372.6986 -0.3101527 -0.03935551
Moved 982.4508 208.7324 375 -0.3501565 -0.03343629
Moved 982.4815 202.9081 377.0919 -0.3636387 -0.02805584
Moved 982.5123 202 383.8182 -0.3657407 -0.01075556
Moved 982.543 240.3087 427.3087 -0.2770633 0.1011024
Moved 982.5737 291 471.5 -0.1597222 0.2147633
Moved 982.6044 311.5971 488.3975 -0.1120437 0.2582238
Moved 982.6351 328.3859 501.3087 -0.07318079 0.2914318
Moved 982.6658 337.8437 507.8958 -0.05128771 0.308374
Ended 982.6966 345 511 -0.03472224 0.3163579
Began 984.1712 318 476 -0.09722222 0.2263374
Stationary 984.202 318 476 -0.09722222 0.2263374
Stationary 984.2327 318 476 -0.09722222 0.2263374
Stationary 984.2634 318 476 -0.09722222 0.2263374
Moved 984.2941 335.5 476 -0.05671298 0.2263374
Moved 984.3248 361.0908 476 0.002524952 0.2263374
Moved 984.3556 401.5634 484.2852 0.09621143 0.247647
Moved 984.3863 427.1725 487 0.1554918 0.2546296
Moved 984.417 442.8578 488 0.1918004 0.2572016
Moved 984.4478 452.7607 489 0.2147238 0.2597736
Moved 984.4785 459.9261 489 0.2313103 0.2597736
Moved 984.5092 465.9846 489.9923 0.2453348 0.2623258
Moved 984.5399 468.8689 490 0.2520114 0.2623456
Moved 984.5706 470.2979 490 0.2553191 0.2623456
Moved 984.6014 472.3002 490 0.2599542 0.2623456
Stationary 984.6321 472.3002 490 0.2599542 0.2623456
Moved 984.6628 443.1695 490 0.192522 0.2623456
Moved 984.6935 394.5919 480.144 0.08007387 0.2369957
Moved 984.7242 352.5811 480 -0.01717334 0.2366254
Moved 984.755 301.9995 490.5334 -0.1342604 0.2637174
Moved 984.7857 279.9586 491 -0.1852809 0.2649176
Moved 984.8164 267.9193 491 -0.2131497 0.2649176
Moved 984.8471 263.4588 491 -0.2234751 0.2649176
Ended 984.8779 263 493.4269 -0.2245371 0.2711597
PhraseEnd 985.9224
