this is too much to handle
Direct
0.6 0.6
432 388.8
Began 176.442 341 512 -0.04398147 0.31893
Stationary 176.4727 341 512 -0.04398147 0.31893
Moved 176.5035 347.9926 499.7628 -0.02779479 0.2874557
Moved 176.5342 371.4756 462.3275 0.026564 0.1911714
Moved 176.565 389.6101 426.4747 0.06854196 0.09895744
Moved 176.5957 399.7288 400.0848 0.0919648 0.03108232
Moved 176.6264 404.6339 382.8308 0.1033191 -0.01329532
Moved 176.6572 406.4023 374.793 0.1074127 -0.0339687
Moved 176.688 407.3332 373.3336 0.1095675 -0.03772217
Moved 176.7187 430.8976 409.496 0.1641148 0.05528811
Moved 176.7495 463.3659 465.0587 0.239273 0.1981962
Moved 176.7802 470.6252 481.2504 0.2560768 0.2398414
Moved 176.8109 471 488 0.2569444 0.2572016
Moved 176.8417 471 490.2767 0.2569444 0.2630573
Moved 176.8725 441.4738 481.6762 0.1885968 0.2409367
Moved 176.9032 405.4215 456.9091 0.1051423 0.1772352
Moved 176.934 370.9362 430.4468 0.02531539 0.1091739
Moved 176.9647 338.7824 402.8159 -0.04911477 0.03810678
Moved 176.9954 312.0061 381.5603 -0.1110969 -0.01656316
Moved 177.0262 289.1148 366.7432 -0.1640861 -0.05467285
Moved 177.0569 273.1638 355.1228 -0.2010098 -0.08456077
Ended 177.0876 270.3393 353.6697 -0.2075478 -0.08829823
Began 177.4566 470 511 0.2546296 0.3163579
Moved 177.4874 461.9771 511 0.2360582 0.3163579
Moved 177.5181 440.8695 496.7589 0.187198 0.2797297
Moved 177.5488 398.4442 475.2221 0.08899122 0.2243365
Moved 177.5796 355.1149 446.3358 -0.01130809 0.1500405
Moved 177.6104 320.2213 422.8141 -0.09208044 0.08954248
Moved 177.6411 288.5345 401.1583 -0.1654294 0.03384339
Moved 177.6717 268.8183 387.1559 -0.2110688 -0.002171199
Moved 177.7026 254.6078 377.2059 -0.2439633 -0.02776268
Ended 177.7333 253 376 -0.2476852 -0.03086435
Began 178.2868 340 526 -0.04629632 0.3549381
Stationary 178.3175 340 526 -0.04629632 0.3549381
Stationary 178.3483 340 526 -0.04629632 0.3549381
Stationary 178.379 340 526 -0.04629632 0.3549381
Moved 178.4097 377.4276 526 0.04034181 0.3549381
Moved 178.4404 418.2881 539.822 0.1349262 0.3904887
Moved 178.4712 448.2822 545.7294 0.2043569 0.4056824
Moved 178.502 480.3775 548.1378 0.2786517 0.4118768
Moved 178.5327 497.9208 548 0.3192611 0.4115225
Moved 178.5634 510.3637 548 0.3480641 0.4115225
Moved 178.5942 517.3228 548 0.3641731 0.4115225
Ended 178.6249 523 548 0.3773148 0.4115225
Began 178.8709 445 222 0.1967593 -0.4269547
Moved 178.9017 437.5874 242.1189 0.1796005 -0.3752086
Moved 178.9324 419.5215 310.9584 0.1377811 -0.1981522
Moved 178.9632 415 405.8797 0.1273148 0.04598684
Moved 178.9939 427.6199 457.8596 0.1565275 0.17968
Moved 179.0246 433.6614 477.3073 0.1705126 0.2296996
Moved 179.0554 436 484.4282 0.1759259 0.2480149
Moved 179.0861 436 486 0.1759259 0.2520575
Moved 179.1169 384.2547 427.0528 0.05614519 0.1004444
Moved 179.1476 334.7516 342.878 -0.05844549 -0.1160546
Moved 179.1784 310.3035 290.3749 -0.1150382 -0.2510935
Moved 179.2091 299.4715 268.9431 -0.1401122 -0.3062165
Moved 179.2399 293.7281 255.1843 -0.1534072 -0.3416041
Moved 179.2706 293 254 -0.1550926 -0.3446502
Moved 179.3013 298.5435 261.9193 -0.1422603 -0.3242816
Moved 179.3321 319.0781 287.7708 -0.09472658 -0.2577912
Moved 179.3628 336.0284 310.0332 -0.05548974 -0.200532
Moved 179.3936 348.8365 326.6038 -0.02584139 -0.157912
Moved 179.4243 360 340.5 0 -0.1221709
Moved 179.4551 375.7548 355.8038 0.0364694 -0.08280914
Moved 179.4858 386.1282 365.4188 0.06048192 -0.05807939
Moved 179.5166 391.9509 370.9509 0.07396033 -0.04385081
Moved 179.5473 395.9257 373.9628 0.08316129 -0.03610391
Ended 179.578 396 374 0.08333336 -0.03600823
Began 179.7933 310 466 -0.1157407 0.2006171
Moved 179.8241 316.4669 466 -0.1007711 0.2006171
Moved 179.8548 338.8284 466 -0.04900828 0.2006171
Moved 179.8855 370.4445 482.5334 0.02417723 0.2431413
