I want to hold your hand
Direct
0.6 0.6
432 388.8
Began 1282.344 471 507 0.2569444 0.3060699
Stationary 1282.375 471 507 0.2569444 0.3060699
Stationary 1282.406 471 507 0.2569444 0.3060699
Stationary 1282.436 471 507 0.2569444 0.3060699
Moved 1282.467 471 491.6377 0.2569444 0.2665578
Moved 1282.498 471 483.5808 0.2569444 0.2458354
Ended 1282.529 471 481 0.2569444 0.2391974
Began 1283.882 240 508 -0.2777777 0.3086419
Stationary 1283.912 240 508 -0.2777777 0.3086419
Stationary 1283.943 240 508 -0.2777777 0.3086419
Stationary 1283.974 240 508 -0.2777777 0.3086419
Moved 1284.005 229.8159 480.0889 -0.301352 0.2368542
Moved 1284.035 220.8733 450.5356 -0.3220524 0.1608425
Moved 1284.066 207.7918 415.9795 -0.3523338 0.07196368
Moved 1284.097 199.4294 392.0979 -0.3716913 0.01053979
Moved 1284.128 191.9795 365.9077 -0.3889364 -0.05682179
Moved 1284.158 189.2257 353.6771 -0.3953108 -0.08827908
Moved 1284.189 188 343.6324 -0.3981482 -0.1141142
Moved 1284.22 188 341.0815 -0.3981482 -0.1206751
Moved 1284.251 188 338.2837 -0.3981482 -0.1278712
Moved 1284.281 188 335.1393 -0.3981482 -0.1359587
Moved 1284.312 188 334.5 -0.3981482 -0.1376029
Moved 1284.343 188 333.8536 -0.3981482 -0.1392653
Moved 1284.374 188 332.6409 -0.3981482 -0.1423845
Moved 1284.404 188 332 -0.3981482 -0.144033
Moved 1284.435 200.0423 332 -0.3702723 -0.144033
Moved 1284.466 212.8257 332 -0.3406814 -0.144033
Moved 1284.497 226.9982 343.1996 -0.3078744 -0.1152272
Moved 1284.527 239.7386 346.9477 -0.278383 -0.1055872
Moved 1284.558 255.8332 348 -0.2411268 -0.1028807
Moved 1284.589 270.6799 348 -0.2067596 -0.1028807
Moved 1284.62 288.9491 336.6568 -0.1644696 -0.1320556
Moved 1284.65 313.3209 320.3112 -0.1080536 -0.1740967
Moved 1284.681 341.1534 294.9354 -0.04362642 -0.2393638
Moved 1284.712 362.8592 273.3037 0.006618599 -0.2950007
Moved 1284.743 380.5448 256.046 0.04755735 -0.3393878
Moved 1284.773 393.4457 244.5542 0.07742067 -0.3689449
Moved 1284.804 402.3421 238.658 0.09801408 -0.3841102
Moved 1284.835 408.0556 235.4722 0.1112399 -0.3923041
Moved 1284.866 411.2847 233.7153 0.1187145 -0.3968228
Moved 1284.896 415.1111 234 0.1275719 -0.3960905
Stationary 1284.927 415.4964 234 0.1284638 -0.3960905
Moved 1284.958 417.1309 234 0.1322474 -0.3960905
Moved 1284.989 418 242.0331 0.1342593 -0.3754293
Moved 1285.019 419.3517 244.3517 0.1373883 -0.3694658
Moved 1285.05 420.2307 247.2307 0.139423 -0.3620609
Moved 1285.081 420 250.984 0.1388889 -0.3524075
Moved 1285.112 420 256.2354 0.1388889 -0.3389007
Moved 1285.142 420 263.6331 0.1388889 -0.3198739
Moved 1285.173 412.6136 281.4631 0.1217908 -0.2740147
Moved 1285.204 404.2679 307.8795 0.1024719 -0.2060712
Moved 1285.235 393.2729 339.3177 0.07702063 -0.1252117
Moved 1285.265 382.4391 373.5731 0.05194227 -0.03710641
Moved 1285.296 373.05 398.4998 0.03020843 0.02700566
Moved 1285.327 364.7392 424.7823 0.01097043 0.09460472
Moved 1285.358 356.3685 449.7718 -0.00840634 0.158878
Moved 1285.388 348.7959 468.4081 -0.02593537 0.2068109
Moved 1285.419 343.2834 479.4332 -0.03869588 0.2351677
Ended 1285.45 343 484 -0.03935183 0.2469135
Began 1286.403 317 453 -0.09953702 0.167181
Stationary 1286.434 317 453 -0.09953702 0.167181
Stationary 1286.465 317 453 -0.09953702 0.167181
Stationary 1286.495 317 453 -0.09953702 0.167181
Moved 1286.526 346.105 463.2582 -0.03216431 0.1935651
Moved 1286.557 389.7738 476.2418 0.06892075 0.2269594
Moved 1286.588 431.3801 486.64 0.1652317 0.2537037
Moved 1286.618 455.8055 491.2006 0.2217719 0.2654336
Moved 1286.649 477.1467 494 0.271173 0.2726337
Moved 1286.68 490.3955 495 0.3018414 0.2752057
Ended 1286.711 501 495 0.3263889 0.2752057
Began 1287.572 400 321 0.09259263 -0.1723252
Stationary 1287.602 400 321 0.09259263 -0.1723252
Stationary 1287.633 400 321 0.09259263 -0.1723252
