the union will go on strike
Direct
0.6 0.6
432 388.8
Began 519.5539 347 502 -0.0300926 0.2932098
Stationary 519.5846 347 502 -0.0300926 0.2932098
Stationary 519.6154 347 502 -0.0300926 0.2932098
Moved 519.6461 376.8398 481.1602 0.03898104 0.2396095
Moved 519.6768 403.4851 433.5328 0.1006599 0.1171111
Moved 519.7075 415.8499 404.0669 0.1292822 0.04132424
Moved 519.7382 421.487 390.0521 0.1423309 0.005278018
Moved 519.7687 421 385.6239 0.1412037 -0.006111482
Moved 519.7997 380.3385 404.5231 0.04707982 0.04249761
Moved 519.8304 325.3747 442.3544 -0.08015116 0.1398004
Moved 519.8611 285.1677 477.2014 -0.1732229 0.2294275
Moved 519.8919 261.9545 500.0455 -0.2269571 0.2881827
Moved 519.9227 252.9487 510.1027 -0.247804 0.3140501
Ended 519.9534 252 515 -0.25 0.326646
Began 520.5681 426 493 0.1527777 0.2700616
Stationary 520.5989 426 493 0.1527777 0.2700616
Stationary 520.6296 426 493 0.1527777 0.2700616
Stationary 520.6603 426 493 0.1527777 0.2700616
Moved 520.691 422.3933 458.6307 0.144429 0.1816634
Moved 520.7217 409.6922 374.2107 0.1150282 -0.0354664
Moved 520.7525 409 338.3257 0.113426 -0.1277632
Moved 520.7832 408 315.5071 0.1111111 -0.1864529
Moved 520.814 408 305.6904 0.1111111 -0.2117016
Moved 520.8447 408 300.5 0.1111111 -0.2250515
Moved 520.8754 408 301 0.1111111 -0.2237656
Moved 520.9061 408 360.7899 0.1111111 -0.06998486
Moved 520.9369 426.4293 427.5271 0.1537715 0.1016642
Moved 520.9677 437.7509 458.1896 0.179979 0.1805287
Moved 520.9984 443.5615 474.2462 0.1934295 0.2218264
Moved 521.0291 447.1436 485.3591 0.2017214 0.2504091
Moved 521.0598 450.9423 494.7691 0.2105146 0.2746118
Moved 521.0906 456.6294 503.4441 0.2236791 0.296924
Moved 521.1213 467.5 514 0.2488426 0.324074
Moved 521.152 498.73 524.7446 0.3211342 0.3517092
Moved 521.1827 523.9368 529.1339 0.3794834 0.3629985
Moved 521.2135 533.9738 529 0.4027172 0.3626543
Moved 521.2442 537 512.2626 0.4097222 0.3196053
Moved 521.275 501.1583 435.706 0.3267552 0.1227005
Moved 521.3057 454.5265 347.3583 0.2188113 -0.1045313
Moved 521.3364 441.9725 321.7396 0.1897512 -0.1704229
Moved 521.3671 437.8711 311.7422 0.1802573 -0.1961363
Ended 521.3979 433.5 301.5 0.1701389 -0.2224794
Began 522.0126 228 467 -0.3055556 0.2031892
Stationary 522.0433 228 467 -0.3055556 0.2031892
Stationary 522.074 228 467 -0.3055556 0.2031892
Moved 522.1048 242.7591 477.9197 -0.2713909 0.2312748
Moved 522.1355 285.3076 491.3269 -0.1728991 0.2657584
Moved 522.1663 339.1099 499.1013 -0.04835665 0.2857544
Moved 522.197 388.5923 503.1456 0.066186 0.2961564
Moved 522.2277 423.0363 507.1727 0.1459174 0.3065142
Moved 522.2584 449.9743 508 0.2082738 0.3086419
Moved 522.2892 458.7952 509 0.2286927 0.3112139
Moved 522.3199 464.6329 509 0.2422058 0.3112139
Moved 522.3506 481.2474 494.7526 0.2806652 0.2745694
Moved 522.3814 506.0308 468.3934 0.3380343 0.206773
Moved 522.412 518.1082 455.8918 0.3659912 0.1746187
Moved 522.4428 537.8324 438.2415 0.4116491 0.1292218
Moved 522.4736 556.4423 422.5577 0.4547274 0.08888303
Moved 522.5043 565.7234 404.8297 0.4762117 0.04328626
Moved 522.535 567.1514 401.6973 0.4795171 0.03522955
Ended 522.5657 567.1514 401.6973 0.4795171 0.03522955
Began 523.334 370 376 0.02314816 -0.03086435
Stationary 523.3649 370 376 0.02314816 -0.03086435
Stationary 523.3956 370 376 0.02314816 -0.03086435
Moved 523.4263 387.3929 393.3928 0.06340941 0.01387043
Moved 523.457 452.5946 450.9666 0.2143394 0.161951
Moved 523.4878 499.5812 491.1833 0.3231046 0.265389
Moved 523.5185 545.84 528.7 0.4301851 0.3618827
Moved 523.5493 562.3324 541.3324 0.468362 0.3943734
Ended 523.58 564 543 0.4722223 0.3986624
Began 524.0717 541 507 0.4189815 0.3060699
Stationary 524.1025 541 507 0.4189815 0.3060699
Moved 524.1332 529.3081 498.8157 0.3919169 0.2850197
Moved 524.1639 485.5423 442.2726 0.2906071 0.1395901
