a subject one can really enjoy
Direct
0.6 0.6
432 388.8
Moved 810.8455 299 363.9493 -0.1412037 -0.06185885
Moved 810.8762 301 342.4873 -0.1365741 -0.1170595
Moved 810.9069 304.308 320.8437 -0.1289165 -0.1727271
Moved 810.9377 306 300.6439 -0.125 -0.2246815
Moved 810.9683 309.5 285 -0.1168982 -0.2649178
Moved 810.9991 313.271 267.3741 -0.108169 -0.3102519
Moved 811.0298 316.0078 255.9686 -0.1018337 -0.3395869
Moved 811.0605 318.7769 246.4462 -0.0954238 -0.3640788
Moved 811.0912 321.157 240.686 -0.0899144 -0.378894
Moved 811.122 322 237.0184 -0.08796295 -0.3883271
Moved 811.1528 323.3562 234.2877 -0.08482367 -0.3953505
Moved 811.1835 324 231.5 -0.08333336 -0.4025207
Moved 811.2142 324.9221 230.0779 -0.08119886 -0.4061783
Moved 811.2449 325.5 229.5 -0.07986113 -0.4076646
Moved 811.2757 325 228.7604 -0.08101851 -0.409567
Moved 811.3064 326 227.5 -0.07870371 -0.4128087
Stationary 811.3372 326 227.5 -0.07870371 -0.4128087
Moved 811.3679 327.2188 227 -0.07588252 -0.4140947
Stationary 811.3987 327.2188 227 -0.07588252 -0.4140947
Stationary 811.4294 327.2188 227 -0.07588252 -0.4140947
Moved 811.4601 328.113 227 -0.07381241 -0.4140947
Stationary 811.4908 328 227 -0.07407407 -0.4140947
Moved 811.5213 329.3576 227 -0.07093141 -0.4140947
Stationary 811.5523 329.3576 227 -0.07093141 -0.4140947
Stationary 811.583 329 227 -0.07175927 -0.4140947
Moved 811.6138 329 241.7053 -0.07175927 -0.3762724
Moved 811.6445 329 253.0338 -0.07175927 -0.3471352
Moved 811.6752 329 274.4049 -0.07175927 -0.2921685
Moved 811.706 329 301.5687 -0.07175927 -0.2223028
Moved 811.7367 329 339.7082 -0.07175927 -0.1242074
Moved 811.7675 329 390.0125 -0.07175927 0.005175979
Moved 811.7982 332.8107 430.35 -0.06293818 0.1089247
Moved 811.8289 335.5744 458.4462 -0.05654082 0.1811888
Moved 811.8597 339.3411 477.7054 -0.0478216 0.2307236
Moved 811.8904 342.835 488.3401 -0.03973375 0.2580765
Moved 811.9211 344.5411 494.5411 -0.03578449 0.2740254
Moved 811.9519 345 497.3087 -0.03472224 0.2811436
Moved 811.9826 345 499.0754 -0.03472224 0.2856877
Stationary 812.0133 345 499 -0.03472224 0.2854938
Ended 812.0441 345 499 -0.03472224 0.2854938
Began 812.6588 518 523 0.3657407 0.3472221
Stationary 812.6895 518 523 0.3657407 0.3472221
Stationary 812.7202 518 523 0.3657407 0.3472221
Moved 812.751 507.5 506.5 0.3414352 0.3047839
Moved 812.7817 500.3973 491.7946 0.3249938 0.2669612
Moved 812.8124 489.3126 466.6252 0.2993347 0.2022252
Moved 812.8431 476.2473 436.1183 0.269091 0.1237609
Moved 812.8739 466.6183 410.9504 0.2468017 0.05902875
Moved 812.9045 456.3124 377.3536 0.2229453 -0.02738277
Moved 812.9354 449.6815 351.726 0.207596 -0.09329737
Moved 812.9661 444.1861 327.3373 0.1948752 -0.1560254
Moved 812.9968 441.1699 305.5294 0.1878933 -0.2121157
Moved 813.0275 438 285.8507 0.1805556 -0.2627296
Moved 813.0583 435.6452 266.5167 0.1751047 -0.3124573
Moved 813.089 435 252.3777 0.1736111 -0.3488228
Moved 813.1198 434 245.2544 0.1712963 -0.367144
Moved 813.1505 432.6493 240.2985 0.1681695 -0.3798909
Moved 813.1812 428.662 238.8873 0.1589397 -0.3835203
Moved 813.212 399.5 249.5 0.09143522 -0.3562243
Moved 813.2427 348.7132 289.6649 -0.02612685 -0.2529197
Moved 813.2734 325.5732 317.5217 -0.07969176 -0.1812715
Moved 813.3041 304.5779 345.0276 -0.1282919 -0.1105258
Moved 813.3349 288.5956 370.4075 -0.1652879 -0.0452482
Moved 813.3656 277.9416 393.1364 -0.1899501 0.01321074
Moved 813.3964 273.2321 407.8394 -0.2008515 0.05102707
Moved 813.4271 268.9466 421.6335 -0.2107719 0.08650591
Moved 813.4577 265.0929 433.7676 -0.2196923 0.117715
Moved 813.4886 262.2973 443.8108 -0.2261637 0.1435463
Moved 813.5193 259.5391 450.9218 -0.2325483 0.1618357
Moved 813.55 258 456.4358 -0.2361111 0.1760179
Moved 813.5808 256 460.616 -0.2407407 0.1867694
Moved 813.6115 255 465.7316 -0.2430556 0.1999269
Moved 813.6423 255 468.1279 -0.2430556 0.2060901
Moved 813.673 254 469.5 -0.2453704 0.2096193
Moved 813.7037 254 470.3099 -0.2453704 0.2117023
Moved 813.7344 252.9656 471 -0.2477647 0.2134772
Stationary 813.7653 252.9656 471 -0.2477647 0.2134772
Stationary 813.7959 253 471 -0.2476852 0.2134772
Ended 813.8267 253 471 -0.2476852 0.2134772
Began 814.257 313 241 -0.1087963 -0.3780865
Stationary 814.2877 313 241 -0.1087963 -0.3780865
Stationary 814.3185 313 241 -0.1087963 -0.3780865
Stationary 814.3492 313 241 -0.1087963 -0.3780865
Moved 814.3799 304.0664 259.3093 -0.1294758 -0.3309947
Moved 814.4106 285.1286 286.0837 -0.1733135 -0.2621304
Moved 814.4414 266.8346 312.7841 -0.2156607 -0.1934565
Moved 814.472 247.6123 336.517 -0.2601568 -0.1324153
Moved 814.5028 229 360 -0.3032407 -0.07201654
Moved 814.5335 212.2761 382.9702 -0.3419535 -0.01293685
Moved 814.5643 201.0067 400.9888 -0.3680401 0.03340748
Moved 814.595 194 412 -0.3842593 0.06172835
Moved 814.6257 193 418.3278 -0.3865741 0.07800341
Moved 814.6565 193 425.8284 -0.3865741 0.0972953
Moved 814.6872 203.0352 431.3568 -0.3633445 0.1115144
Moved 814.718 213.4438 434.0887 -0.3392503 0.1185409
Moved 814.7487 242.6653 435 -0.2716081 0.1208847
Moved 814.7794 267.9317 425.7671 -0.2131211 0.09713753
Moved 814.8102 288.9716 416.5142 -0.1644175 0.07333885
Moved 814.8409 310.15 403.0278 -0.1153935 0.0386516
Moved 814.8716 328.8391 391.8062 -0.0721317 0.009789604
Moved 814.9023 343.4883 382.107 -0.03822143 -0.01515691
Moved 814.9331 358.2792 371.8139 -0.003983378 -0.04163098
Moved 814.9638 373.5 359 0.03125002 -0.07458848
Moved 814.9946 388.7401 344.5499 0.06652793 -0.1117543
Moved 815.0253 402.2795 332.7764 0.09786933 -0.1420361
Moved 815.056 413.5 321.5 0.1238426 -0.1710391
Moved 815.0868 423.9958 306.7552 0.1481385 -0.2089628
Moved 815.1175 433.0345 295.954 0.1690613 -0.2367437
Moved 815.1482 439.5645 285.6532 0.1841772 -0.2632377
Moved 815.179 445.2891 277.5663 0.1974286 -0.2840374
Moved 815.2097 450.9249 269.0751 0.2104743 -0.3058769
Moved 815.2404 454.7224 262.2776 0.2192647 -0.3233601
Moved 815.2711 457.4905 258.019 0.2256724 -0.3343133
Moved 815.3019 458.9398 257 0.2290274 -0.3369342
Moved 815.3326 460.5 254.5 0.2326389 -0.3433642
Moved 815.3633 461.0367 253.9633 0.2338812 -0.3447449
Moved 815.394 462.2347 253 0.2366545 -0.3472223
Moved 815.4249 462 252 0.2361111 -0.3497943
Ended 815.4556 462 252 0.2361111 -0.3497943
Began 816.0395 319 494 -0.09490739 0.2726337
Stationary 816.0703 319 494 -0.09490739 0.2726337
Stationary 816.101 319 494 -0.09490739 0.2726337
Stationary 816.1317 319 494 -0.09490739 0.2726337
Moved 816.1624 304.0922 483.6614 -0.1294161 0.2460426
Moved 816.1932 292.9976 485 -0.1550982 0.2494856
Moved 816.2239 279.8994 482.9799 -0.1854179 0.2442897
Moved 816.2547 271.6168 483 -0.2045907 0.2443414
Moved 816.2853 261.5409 482 -0.2279147 0.2417695
Moved 816.3162 255.0141 480 -0.2430229 0.2366254
Moved 816.3468 249.4756 475.4756 -0.2558435 0.2249886
Moved 816.3776 240.2564 466.1077 -0.2771843 0.2008942
Moved 816.4083 226.4335 447.6069 -0.3091817 0.1533099
Moved 816.439 207.9512 423.6016 -0.3519649 0.09156776
Moved 816.4698 192.8536 403.995 -0.386913 0.04113927
Moved 816.5005 181.5883 389.7059 -0.4129901 0.004387647
Moved 816.5313 175.028 380.028 -0.4281758 -0.02050415
Moved 816.562 170.5835 371.7504 -0.4384643 -0.04179432
Moved 816.5928 166.1246 366.2493 -0.4487856 -0.05594324
Moved 816.6235 164 363.4085 -0.4537037 -0.0632498
Moved 816.6542 162.8273 361.8273 -0.4564182 -0.06731661
Stationary 816.6849 163 362 -0.4560185 -0.06687243
Moved 816.7157 163 361 -0.4560185 -0.06944452
Stationary 816.7464 163 361 -0.4560185 -0.06944452
Moved 816.7772 162 361 -0.4583334 -0.06944452
Stationary 816.8079 162 361 -0.4583334 -0.06944452
Stationary 816.8386 162 361 -0.4583334 -0.06944452
Moved 816.8693 179.3702 376.288 -0.4181245 -0.03012362
Moved 816.9001 215.7449 390.385 -0.3339238 0.006134205
Moved 816.9308 257 394.5 -0.2384259 0.01671807
Moved 816.9615 308.9325 396 -0.1182118 0.02057605
Moved 816.9922 349.2425 387.5947 -0.02490173 -0.001042527
Moved 817.0229 390.9921 379.6016 0.07174084 -0.021601
Moved 817.0538 423.1031 373.2242 0.146072 -0.03800349
Moved 817.0845 459.2671 365.6787 0.229785 -0.0574108
Moved 817.1152 483.822 360.1507 0.286625 -0.07162903
Moved 817.1459 499.0224 357.8296 0.3218111 -0.07759886
Moved 817.1767 512.5662 354.8113 0.3531624 -0.08536194
Moved 817.2074 527.822 350.2712 0.3884769 -0.09703922
Moved 817.2382 536.3918 348.8694 0.4083145 -0.1006446
Moved 817.2689 542.6908 347.1031 0.4228953 -0.1051876
Moved 817.2996 549.1178 346 0.4377727 -0.1080248
Moved 817.3304 554.2758 343.8621 0.4497124 -0.1135234
Moved 817.3611 557.9035 344 0.45811 -0.1131688
Moved 817.3918 562.7207 343 0.4692609 -0.1157408
Moved 817.4225 564.1033 341.8967 0.4724614 -0.1185786
Moved 817.4533 566.5 342 0.4780093 -0.1183128
Moved 817.4841 567.1193 342 0.4794429 -0.1183128
Moved 817.5148 568.3601 340.6399 0.482315 -0.121811
Moved 817.5455 569.1249 341 0.4840854 -0.1208849
Stationary 817.5762 569.1249 341 0.4840854 -0.1208849
Moved 817.607 559.6566 341 0.4621681 -0.1208849
Moved 817.6377 529.7011 371.6868 0.3928266 -0.04195782
Moved 817.6684 496.0792 396.8443 0.3149981 0.0227476
Moved 817.6992 459.6978 436.1627 0.2307819 0.123875
Moved 817.7299 437.5542 460.4457 0.1795237 0.1863316
Moved 817.7606 424.0672 471.9328 0.1483037 0.2158764
Moved 817.7914 415.5426 478.4574 0.1285709 0.2326579
Moved 817.8221 408.0076 483.9962 0.1111287 0.2469037
Moved 817.8528 403 487.5 0.09953707 0.2559156
Moved 817.8836 397.5533 491.2233 0.0869289 0.265492
Moved 817.9143 393.0139 493 0.0764212 0.2700616
Moved 817.945 390.2358 493 0.06999026 0.2700616
Ended 817.9758 389.5 493 0.06828706 0.2700616
Began 818.6212 242 524 -0.2731481 0.3497942
Stationary 818.6519 242 524 -0.2731481 0.3497942
Stationary 818.6827 242 524 -0.2731481 0.3497942
Stationary 818.7134 242 524 -0.2731481 0.3497942
Moved 818.7442 264.7509 509.041 -0.2204841 0.3113192
Moved 818.7749 288.3818 485.5227 -0.1657828 0.2508299
Moved 818.8057 311.138 455.9457 -0.1131064 0.1747573
Moved 818.8362 332.3672 419.3179 -0.06396472 0.08055016
Moved 818.8671 354.4919 386.5134 -0.01275018 -0.003823488
Moved 818.8978 372.5708 353.1203 0.02909899 -0.08971116
Moved 818.9286 387.0803 326.8555 0.06268591 -0.1572648
Moved 818.9593 395.5 310 0.08217593 -0.2006174
Moved 818.9901 406.6376 292.9374 0.1079573 -0.2445026
Moved 819.0208 417.6778 277.9833 0.1335133 -0.2829647
Moved 819.0515 421.1875 272.8125 0.1416377 -0.2962642
Moved 819.0823 426.2999 266.7001 0.1534719 -0.3119853
Moved 819.113 430.9318 261.0682 0.1641939 -0.3264706
Moved 819.1437 434.4715 257.5285 0.1723877 -0.3355749
Moved 819.1744 437.5 254.5 0.1793981 -0.3433642
Moved 819.2051 439.9445 252.0554 0.1850567 -0.3496517
Moved 819.2359 442.6992 249.3008 0.1914334 -0.3567367
Moved 819.2667 445.4672 246.5328 0.1978408 -0.3638559
Moved 819.2974 448.2319 244 0.2042405 -0.3703704
