I can play much better now
Direct
0.6 0.6
432 388.8
Began 262.6797 435 471 0.1736111 0.2134772
Stationary 262.7104 435 471 0.1736111 0.2134772
Ended 262.7412 435 471 0.1736111 0.2134772
Began 263.5403 295 318 -0.150463 -0.1800412
Stationary 263.571 295 318 -0.150463 -0.1800412
Moved 263.6018 269.6842 334.5439 -0.2090644 -0.1374901
Moved 263.6324 245.1725 351.6019 -0.2658045 -0.09361659
Moved 263.6632 203.1755 376.9043 -0.3630197 -0.02853841
Moved 263.694 172.2875 397.1417 -0.4345197 0.02351243
Moved 263.7247 158.1197 405.4401 -0.4673155 0.04485628
Moved 263.7554 152.4109 408.2946 -0.4805304 0.05219793
Moved 263.7862 151 410 -0.4837963 0.05658428
Moved 263.8169 186.8609 412.0374 -0.4007849 0.06182462
Moved 263.8476 281.3948 392.1513 -0.1819565 0.01067715
Moved 263.8784 394.4854 365.5166 0.0798273 -0.05782774
Moved 263.9091 427.1446 354.7421 0.1554273 -0.0855398
Moved 263.9398 443.7735 347.6132 0.1939202 -0.1038755
Moved 263.9706 447 345.3032 0.2013889 -0.1098168
Ended 264.0013 447 345 0.2013889 -0.1105968
Began 264.7082 560 514 0.462963 0.324074
Stationary 264.7389 560 514 0.462963 0.324074
Stationary 264.7697 560 514 0.462963 0.324074
Stationary 264.8004 560 514 0.462963 0.324074
Moved 264.8311 535.0803 471.4366 0.4052785 0.2146002
Moved 264.8619 516.2072 439.3453 0.3615907 0.132061
Moved 264.8926 501.6373 413.1154 0.3278642 0.06459703
Moved 264.9233 492.5026 398.7538 0.3067189 0.02765903
Moved 264.9541 484.2433 387.9911 0.2876004 -2.284109E-05
Moved 264.9848 469.2048 376.5456 0.2527889 -0.02946092
Moved 265.0156 430.6668 362.2281 0.1635807 -0.06628578
Moved 265.0463 371.9021 354 0.02755105 -0.08744855
Moved 265.077 304.0567 354 -0.1294984 -0.08744855
Moved 265.1078 248.3251 365.6125 -0.2585067 -0.05758105
Moved 265.1385 226.0668 366 -0.3100305 -0.05658444
Moved 265.1692 215.5638 368 -0.334343 -0.05144041
Moved 265.2 211.4086 369.5914 -0.3439615 -0.04734738
Moved 265.2305 211 376.8608 -0.3449074 -0.02865034
Moved 265.2614 249.5605 414.6429 -0.255647 0.06852586
Moved 265.2921 310.7484 462.8323 -0.1140082 0.1924697
Moved 265.3228 357.0947 491.4895 -0.006725192 0.2661766
Moved 265.3536 389.2275 509.215 0.06765624 0.3117668
Moved 265.3844 408.5628 519.2814 0.1124139 0.3376578
Moved 265.4151 418.0149 523.005 0.1342938 0.347235
Ended 265.4458 422 524 0.1435185 0.3497942
Began 265.9991 479 294 0.275463 -0.2417696
Stationary 266.0298 479 294 0.275463 -0.2417696
Moved 266.0605 462.9661 327.0679 0.2383474 -0.1567185
Moved 266.0913 438.9841 374.0319 0.1828335 -0.03592636
Moved 266.1219 421.8842 419.331 0.1432503 0.08058371
Moved 266.1527 413.3283 460.3585 0.1234452 0.1861071
Moved 266.1835 409.2407 487.8342 0.1139831 0.2567751
Moved 266.2142 409 503.1304 0.113426 0.2961172
Moved 266.2449 406.8268 510.1732 0.1083953 0.3142315
Moved 266.2757 406 513.0493 0.1064815 0.3216288
Moved 266.3064 381.414 489.7675 0.04956951 0.2617477
Moved 266.3372 327.5363 408.5605 -0.0751475 0.05288187
Moved 266.3679 309.8314 374.353 -0.116131 -0.03510031
Moved 266.3986 293.0933 342.0052 -0.1548766 -0.1182993
Moved 266.4293 287.2044 321.2266 -0.1685082 -0.1717424
Moved 266.4601 287 311.7838 -0.1689815 -0.1960293
Moved 266.4908 287 308.5173 -0.1689815 -0.2044307
Moved 266.5216 301.7723 309 -0.1347863 -0.2031893
Moved 266.5522 330.2425 344.117 -0.06888305 -0.1128679
Moved 266.583 360.7003 380.4448 0.001621048 -0.01943227
Moved 266.6138 379.0721 401.0721 0.04414827 0.03362153
Moved 266.6445 389.4705 412.4705 0.0682188 0.0629385
Moved 266.6752 394.0614 417.0613 0.07884572 0.0747462
Ended 266.706 396 418 0.08333336 0.07716041
Began 267.5051 376 300 0.03703703 -0.2263375
Stationary 267.5358 376 300 0.03703703 -0.2263375
Stationary 267.5665 376 300 0.03703703 -0.2263375
Stationary 267.5973 376 300 0.03703703 -0.2263375
Stationary 267.628 376 300 0.03703703 -0.2263375
