I can still feel your presence
Direct
0.6 0.6
432 388.8
Began 51.21547 482 528 0.2824074 0.3600822
Stationary 51.24622 482 528 0.2824074 0.3600822
Ended 51.27695 482 528 0.2824074 0.3600822
Began 51.64588 291 229 -0.1597222 -0.4089506
Stationary 51.67659 291 229 -0.1597222 -0.4089506
Stationary 51.7073 291 229 -0.1597222 -0.4089506
Moved 51.73812 278.7051 229 -0.1881825 -0.4089506
Moved 51.76885 266.3648 249.2974 -0.2167482 -0.3567455
Moved 51.79961 245.769 275.0388 -0.2644237 -0.290538
Moved 51.83037 225.0211 303.4684 -0.3124512 -0.2174167
Moved 51.86113 213.2342 319.6878 -0.3397357 -0.1757002
Moved 51.89183 209.6717 326.9849 -0.3479821 -0.1569319
Moved 51.92259 208 332.1456 -0.3518518 -0.1436584
Moved 51.95323 241.4888 347.076 -0.2743315 -0.1052573
Moved 51.98408 304 349 -0.1296296 -0.1003086
Moved 52.01481 346.9655 312.0247 -0.03017257 -0.1954099
Moved 52.04554 380.6602 281.8718 0.04782468 -0.2729635
Moved 52.0763 404.6628 265.4095 0.1033862 -0.3153046
Moved 52.10707 417.8233 258.0884 0.1338502 -0.3341348
Moved 52.13782 425.4249 253.2876 0.1514465 -0.3464826
Moved 52.16856 430.9444 252 0.1642232 -0.3497943
Ended 52.19925 432 251 0.1666667 -0.3523664
Began 52.50675 218 357 -0.3287037 -0.07973259
Stationary 52.5375 218 357 -0.3287037 -0.07973259
Moved 52.56826 270.6562 422.9645 -0.2068145 0.08992913
Moved 52.61433 301.1537 461.1956 -0.1362184 0.1882601
Moved 52.64507 319.6263 480.8552 -0.09345759 0.2388251
Moved 52.67582 330 491 -0.06944443 0.2649176
Moved 52.70658 341.1631 498.8723 -0.04360402 0.2851652
Moved 52.73729 362.9629 505.3926 0.006858508 0.3019356
Moved 52.76804 395.4831 510.9138 0.0821367 0.3161363
Moved 52.79877 427.9181 514.2131 0.1572179 0.3246222
Moved 52.82952 444.438 514 0.1954582 0.324074
Moved 52.86024 458.5223 514 0.228061 0.324074
Moved 52.89098 474.075 491.7459 0.2640624 0.2668361
Moved 52.92171 486.8123 461.6255 0.293547 0.1893661
Moved 52.95246 492.537 435.5095 0.3067986 0.122195
Moved 52.98323 496 407.2045 0.3148148 0.04939417
Moved 53.01396 497.883 395.3511 0.3191735 0.0189072
Moved 53.04472 500.2942 388.7058 0.3247551 0.001815356
Moved 53.07541 504.2143 382.7857 0.3338294 -0.01341125
Ended 53.10625 504.2143 382.7857 0.3338294 -0.01341125
Began 53.65969 332 375 -0.06481484 -0.03343629
Stationary 53.69037 332 375 -0.06481484 -0.03343629
Stationary 53.72112 332 375 -0.06481484 -0.03343629
Moved 53.75186 318.063 383.8867 -0.0970765 -0.01057966
Moved 53.78262 289.133 424.5173 -0.164044 0.09392298
Moved 53.81338 267 470.5 -0.2152778 0.2121912
Moved 53.84409 261.5035 494.7379 -0.2280012 0.2745314
Moved 53.87488 260.3427 503.3146 -0.2306883 0.2965911
Moved 53.90561 260 508.8369 -0.2314815 0.3107944
Moved 53.93633 260 511.1884 -0.2314815 0.3168424
Moved 53.96709 260 512.5 -0.2314815 0.3202159
Moved 53.99786 271.9996 503.2731 -0.2037047 0.2964842
Moved 54.02861 309.2709 466.8805 -0.1174285 0.2028818
Moved 54.05935 341.0688 441.6519 -0.04382233 0.1379933
Moved 54.0901 373.5 424 0.03125002 0.09259254
Moved 54.1208 410.0832 409.5834 0.1159333 0.05551271
Moved 54.15159 438.4988 399.4504 0.1817101 0.02945052
Moved 54.18233 464.4876 392.7805 0.2418695 0.01229553
Moved 54.21306 479.307 390.9386 0.2761736 0.007558085
Moved 54.24382 491.3456 391 0.3040406 0.007715971
Moved 54.27455 502.3755 391 0.3295729 0.007715971
Moved 54.30527 510.0615 391 0.3473645 0.007715971
Ended 54.33604 517 390 0.3634259 0.005143954
Began 54.85868 406 504 0.1064815 0.2983539
Stationary 54.88941 406 504 0.1064815 0.2983539
Stationary 54.92021 406 504 0.1064815 0.2983539
Stationary 54.95093 406 504 0.1064815 0.2983539
Moved 54.98158 430.6475 513.0139 0.1635359 0.3215376
Moved 55.0124 464.6399 523.5466 0.242222 0.3486281
Moved 55.04317 491.3759 528.2751 0.3041109 0.3607899
Moved 55.07386 507.9511 530.3902 0.3424794 0.3662298
